ProteinID,Log2Rep1
O15460;E7EPI9;E7ENX0;E7ERI1;A8MXE0;C9JX45;C9JCP0;C9JIG4;C9JN43;H7BZL9,2.6148451031
Q9H0J9;G5E9U9,1.7321166786
Q460N5;Q460N5-1;Q460N5-4;H7C5R8;Q460N5-3;Q460N5-5;H7C4Y3,1.7173822785
Q8IXQ6;Q8IXQ6-2;Q8IXQ6-3;G5E9U8,3.4227369932
Q16822;B4DW73;H0YML5;H0YM31;Q16822-2;P35558;B4DT64,2.6281623827
Q9UHG3;B7Z9P8;B7Z3Y2;F8W8W4;C9K055;C9JM55;C9JGT6,1.5874460727
Q53EL6;Q53EL6-2;Q5VZS7,2.0271456262
Q9BY49;B4DJS2,1.1333372712
O75192;B4DV88,2.131566084
P17858;P17858-2,1.8884878694
Q01813;Q5VSR7;B1APP6;Q5VSR5;B1APP8;Q5VSR6;H0Y757;H0Y3Y3,1.5381781119
P00558;B7Z7A9;E7ERH5;P07205,1.9812518959
P36871;P36871-2;P36871-3,2.0118206858
Q9NXJ5;Q8IVT1,1.8673310384
O00264;B7Z1L3,1.0377101117
O15173,1.6443973019
B4DR87;Q02809;Q5JXB7;Q5JXB8;Q5JXB9,1.174653963
O00469-2;O00469;E7ETU9;B3KWS3;C9JXZ0,3.9533720457
O15162;C9J7K9;B4DTE8;C9JE06;C9J9P4;C9J0H3;H7C5I5,2.9862161846
P29590;P29590-11;P29590-8;P29590-3;P29590-9;P29590-5;P29590-2;P29590-4;P29590-13;P29590-12;H3BT57;E9PBR7;P29590-10;P29590-14;H3BT29;H3BUJ5;H3BVD2,2.0358749605
Q9H2U2-2;Q9H2U2;E2QRM6;Q9H2U2-3;H0Y9D8;Q9H2U2-6;B4DFH3;D6RGV9;D6R967;Q9H2U2-4;D6RAD3;D6RGI1,1.5217218905
P45877,1.3274569842
P30044;P30044-2;P30044-3;A6NC19,1.5405264127
Q9BYK8;Q9BYK8-4;Q9BYK8-2,1.7695510238
B1AVU8;P07602-3;C9JIZ6;P07602-2;P07602,1.4659383976
P40306;J3QQN1;J3QL48,2.8707037928
P28062;P28062-2;B0UZC1;Q5JNW7,1.3402946018
Q06323;A6NJG9;H0YNE3;H0YLU2;H0YKK6,1.2784785942
Q9UL46;H0YM70;H0YKU2;H0YLD2;H0YLG1,1.329558454
Q14914;Q14914-2;Q5JVP3;F2Z3J9;Q5JVP2;F6XGT7,1.1642052487
P29350-4;P29350-3;P29350;P29350-2;F5H0N8;F5H1Z8;F5H5H9;F5GZM7;F5GXD4;F5H4Z1;F5H1V7,1.09548122
B4DMU0;P32322;P32322-2;J3KQ22;E2QRB3;J3QKT4;J3QL24;J3QL32;J3QL23;J3QLK9;J3QRZ0;J3QR88;J3KSA9;J3QKT3;J3KTA8,1.1931398011
Q15293;B7Z1M1;E9PJD5;E9PNT6;E9PP27,2.0988145063
Q8TC12;Q8TC12-2;B4DDW0;H0YJ46;G3V234;G3V2G6;H0YIZ8;H0YJ10,1.3998444485
Q96HR9,1.8289469316
O00584;D6RHI9;D6REQ6;H0YAE9;O00584-2;J3QQ64,1.4506364025
P06703,1.0580824012
Q5K651;C9JKF1,2.0835692168
Q9Y3Z3;Q9Y3Z3-2;A6NDZ3,2.866804757
Q14108;Q14108-2,2.3194775957
Q8NBX0,2.0890217939
O00767,2.930600288
P22307;C9JC79;A6NM69;P22307-4;P22307-2;H0YF61;E9PLD1;P22307-3;H0YCB0,1.340696482
Q12765-2;Q12765;Q12765-3;C9K052;B4DIV7;C9J7U9;B8ZZP4,1.1900752489
P31040;E9PBJ5;D6RFM5;H0Y8X1,2.0358749605
P21912,1.8703872619
Q99643;Q99643-3;Q99643-5,1.1962439346
Q13228;Q13228-2;Q13228-3;A6PVW9;A6PVX1;H0Y532;F8WCR4;F2Z2W8,3.0115879743
P49281-4;P49281-3;P49281;P49281-2;P49281-5;F8W1P7;F8W1F2;F8VWB0;F8W1C0;F8W154;F8VZL6,3.5941034602
O15427;J3KTI8;J3QSC3;J3QQV2;J3QQS9,2.6350466345
Q96BI1;E9PRM7,1.7658666044
P53007;B4DP62,1.7729490202
O14975;O14975-2;G3V1R7,1.3246718228
P11166;C9JIM8;A6NL68,1.5250396716
P23497;P23497-4;E7EUA7;P23497-3;P23497-2;E9PBK3;P23497-5;E9PHV6;P23497-6;P23497-7;C9JBL0;Q9H930;Q9H930-2;Q9H930-1;H7BYP4;Q9H930-3,2.2076943505
Q14534;E7EVQ6;H0YBN7,1.3147325935
P42224;J3KPM9;P42224-2;D2KFR9;E7EPD2;E7ENM1;E9PH66;H7BZB5;H7BZ88,2.2044325169
Q96I99-2;Q96I99;E9PDQ8;H0Y852,1.7280484994
B1AZV3;Q03518;F5H648,4.5379434919
O15533-3;A2AB90;A2ABB9;A8MUD0;D3YTI9;O15533;O15533-2;F8VS90;O15533-4;C9JA35;Q6P1N7,2.2686081911
Q8WUY1;H0YAR9,1.1212354287
Q6JUT2;Q9Y3B3;Q9Y3B3-2;G3V2Y2,1.791108225
P49755;G3V2K7,1.3857141939
Q15363;E7EQ72;F5GX39,1.5424162139
Q7Z7H5;Q7Z7H5-3;Q7Z7H5-2;F8W7F7,1.5519025313
Q9BVK6,1.3610457502
Q9BW30,3.2518135922
Q16762;B1AH48,1.7618490445
Q9H3M7;F6RIS4,2.266454759
O14933;O14933-2,1.1340336901
Q9UDW1,1.1084874882
P14927;B7Z2R2;P14927-2;E5RHG9,1.0796609612
P31930,1.0270868235
P23381;P23381-2;G3V3Y5;G3V3H8;G3V277;H0YJP3;G3V2Y7;G3V456;G3V5U1;G3V227;G3V3P2;G3V423;G3V3X0;G3V3S7;G3V5W1;G3V4N8;G3V4C7;G3V4N0;G3V2C0;G3V339;G3V313;G3V4S4;G3V3R3;G3V2F2;G3V4Q0;G3V4A3;P78534;G3V5H5,1.6946014189
Q75MJ1;Q9UG63;C9JZV3;C9JHK9,-1.8191776655
O60218;C9JRZ8-2;C9JRZ8,-2.1596291858
E9PB61;Q86V81,-1.1401242239
P54709;F8WBY4;H7C547,-1.5211512696
Q9P287;Q9P287-2;Q9P287-3;Q9P287-4;B4E318,-1.2726801676
P20290;P20290-2;D6RDG3;H0Y9Y1,-1.836287733
Q9Y6E2;E7ETZ4;Q75MG1;B5MCH7;B5MCE7;E7EMS9;F8WDX8;C9JF98;E9PFD4,-1.0429244452
Q8IVT2,-1.1536756498
A8MSH5;Q9BY42;A2A2L5;A2A2L6,-1.0442542149
Q9HB71;Q5R370;Q9HB71-2;B2ZWH1,-1.2270016746
Q14444;Q14444-2;G3V153;E9PLA9;E9PP31,-1.4464679861
O15446-2;O15446,-1.7648556713
P61024;Q5T179;Q9BZU3,-1.69603834
P54105;J3KN38;E9PMI6,-1.6653472881
P62633-6;P62633-4;P62633;P62633-5;P62633-2;P62633-3;B4DP17,-1.3659164539
B4DUT8;Q99439;B4DDF4;Q99439-2;H3BTZ5;H3BVI6;K7ES69;H3BQH0;H3BQR6,-1.5847701286
Q14019;H3BT58,-1.8914969581
P16989;P16989-2;P16989-3;Q9Y2T7,-1.7143993969
G5E9Q2;O75534-3;O75534;O75534-2;E9PLT0;E9PNG3;E9PLD4,-1.6370073552
Q9NR30;Q9NR30-2,-1.3838839702
O00571;O00571-2;O15523;B4DXX7;B4E132;C9J081;Q9NQI0;D6RDK4;Q9NQI0-2;Q9NQI0-3;D6RCM4;B4E3C4;H0Y960;C9J8G5,-1.094911647
Q99615;K7ELJ8;Q99615-2;K7ESP1;K7EIH8;K7EPP7;K7ER44;K7EJV7;K7EN19;K7EJL5;K7EJ24;K7EK03;K7EJE9;K7ENB7,-1.3284343833
P24534;C9JZW3;F2Z2G2;F8WF65,-1.0503275536
E9PRY8;P29692-2;P29692;E9PK01;E9PI39;E9PQ49;E9PL12;E9PPR1;H0YCK7;E9PIZ1;E9PMW7;P29692-4;E9PQZ1;E9PK06;E9PK72;E9PKK3;H0YE72;H0YE58;E9PJD0;E9PNW6;E9PQC9,-1.2348691517
P29692-3;E9PL71;E9PN91,-1.2354819953
K7EM18;P41567,-1.2216296524
Q7L2H7;B4E2Q4;J3KNJ2;H0YCQ8;E9PN86;E9PRY0;E7ESM3;E9PRI2,-1.0041777608
E7EX17;P23588;B4DS13;F8VX11;F8VP89;F8VSC7;F8VYE9;F8VRU1;F8W0K0,-1.1458078624
Q9BQ52;G5E9D5;Q9BQ52-4;E7ES68;Q9BQ52-3;Q9BQ52-2;H7C2I4;H7C3Y9,-1.0530418073
P62495;B7Z7P8;Q96CG1;I3L492;D6RJE8;D6RCB3,-1.0979478355
Q9GZU8;H3BU93;H3BMX9;H3BUL4;H3BP64;H3BSY6;H3BTP8;H3BTI2;H3BQQ6,-1.2681948228
Q8N103-3;O95684;O95684-2,-1.3383388347
P21333;P21333-2;Q5HY54;E9PHF0;F8WE98;H0Y5C6;H0Y5F3,-2.311474052
O75369-8;O75369;O75369-9;O75369-2;O75369-3;O75369-6;O75369-7;E7EN95;O75369-4;O75369-5;Q14315;Q14315-2;H7C5L4,-1.0501882233
P35637;P35637-2;H3BPE7,-1.3823352425
Q13283;F5H4D6;E5RIZ6;E5RJU8;Q5HYE9;E5RH42;E5RIF8;E5RI46,-1.2138760434
P48507,-1.4491123195
O76003,-1.2209490045
Q12849;H0YAK1;H0Y8R1;F5H5I6;Q12849-5;H0YAM1,-1.1301401353
O14929;O14929-2;F8W9G7,-1.9759969576
P16403,-1.0760801695
Q9UK76-2;Q9UK76;F5GY98;Q9UK76-3;B8ZZT7;J3KT51;J3KSH8,-2.1112984534
B4DLH4;Q9H910;A6NGP5;Q9H910-2;H3BU16;H3BMV3;H3BTV5;H3BMT0;B4E1P3;H3BMM8,-1.4036494815
P11142;E9PKE3;E9PNE6;P11142-2;A8K7Q2;E9PN89;E9PLF4;E9PK54;E9PQK7;E9PQQ4;E9PS65;E9PPY6;P54652;E9PM13;E9PN25;E9PI65,-1.0453730711
Q9NZL4;Q9NZL4-2;C9JNI7;K7EL16;K7EMM7;K7EKM6;K7ERT9;K7EN20,-1.4005379296
Q92598;Q92598-2;Q92598-3;B4DY72;Q5TBM3,-1.2693324297
P12268;H0Y4R1;E7ETK5,-1.2058303852
Q9UI26-2;Q9UI26;F8WDV0;D6RJB1;D6RCN7,-1.3990069865
O00410-3;O00410;H0Y8C6;B4E0R6;E7ETV3;H0Y3V4;C9JMV5;E7EV12;E7EQT5;E7EX05;E7EWK4;E7ETV8;E7ESZ1;E7ESA1;C9JQT6;C9J875;C9JZD8;C9J5I6;C9JXE0,-1.6412223112
O95373;E9PLB2;E9PLJ0,-1.191120426
O75153;K7EIG1,-1.5315686088
Q92876;Q92876-2,-2.0381200746
P52292;J3KS65;J3QLL0,-2.1697326293
E9PDI4;O00515;H0Y901,-1.3250409555
P18858;B4DTU4;F5GZ28;Q2TB12;M0R0Q7,-1.0710074933
P49736;H0Y8E6,-2.0067647819
B4DWW4;P25205;J3KQ69,-1.6528765148
P33991;J3KPV4;E5RFJ8;E5RG31;E7ER43,-1.8009516549
P33992;B1AHB1;B1AHB2,-1.5931146965
Q14566,-1.6994183725
P33993;P33993-3;P33993-2;C9J8M6,-1.5118222177
Q9BTE3;Q9BTE3-2;Q9BTE3-3,-1.3698852023
Q14676;E9PGY5;Q14676-2;E7EVA7;F8VV34;Q14676-3;F8VU38;F8VZP8;F8W1C2;Q14676-4,-1.3174198498
P46013;P46013-2,-1.711803236
P98088,-1.3127813279
Q86UY6;B4DR03;B4DU10,-1.0746424379
E9PAV3;Q13765-2;Q13765;H0YHX9;F8VZJ2;F8W0W4;F8VNW4;F8W1N5,-1.0057592693
Q96HR8;Q96HR8-2,-1.7873906709
P49321-3;P49321;P49321-2;F5H3J2;Q5T624;H0YF33;E9PRH9;H0YDS9;E9PI86;E9PPQ8,-1.2134406067
Q15021;F5GZJ1;E7EN77;REV__Q02790,-2.142707502
Q86XI2-2;Q86XI2;H0Y6U5;E7EUH9;F5H7R2,-1.600555219
Q9NVX2;K7EN33;Q9NVX2-2;K7ERN7,-1.2447653076
Q9Y3C1,-1.1491943192
O75607,-1.0862402758
O15294;O15294-3;C9JZL3;O15294-2;O15294-4,-2.0302301238
Q9BPZ3;D6RA77,-1.1535459519
P12004,-1.449746239
Q9BRP1,-1.6936765166
Q9H2J4,-1.2687338011
O15355,-1.0930192331
P30154-2;P30154-3;P30154;A8MY67;J3KR29;P30154-4;H0YDG7,-2.1761950949
P61289-2;P61289;K7ESG5;B3KQ25;K7ENH2;K7EKR3;K7EPX6;K7EMD0;B7Z8D3,-1.3717261219
P43487;C9JXG8;C9JGV6;C9JJ34;C9JDM3;C9JIC6;Q5T0Z6;Q5T0Z7;Q9C010,-1.1692836611
P06400,-1.5885167667
P98179,-1.4396231376
P23921;E9PD78;E9PL69;F5H861;H0YCY7;E9PP77,-1.466339988
P31350-2;P31350;C9JXC1,-1.515207819
A3KN83;A3KN83-2;A3KN83-3,-1.4081140104
Q8NC51;Q8NC51-2;Q8NC51-3;Q8NC51-4,-1.1241957716
P36952;P36952-2;C9JLM5,-1.2898934699
P35237;H0Y3G3,-1.1145669227
Q86XZ4;F8VS10,-1.4672794805
Q13501;E7EMC7;E3W990;Q13501-2;C9J6J8;D6RBF1;E9PFW8;C9JRJ8,-1.8634231102
Q96SB4-3;H3BLV9;Q96SB4;B4DS61;Q5R363;P78362-2;P78362;E7ETV6;Q9UPE1;Q9UPE1-4;A8MPY5;Q9UPE1-3;A8MPP7;Q9UPE1-2;H7C5L6;H7C521;D6RBM8;H7C2I2,-1.1158322987
B4DNJ6;Q9Y3F4;B0AZV0;H0YH33,-1.3718376173
Q96A49,-1.0150693217
Q9Y3D8;Q9Y3D8-2,-1.7001733499
K7ERV3;P04183;K7ERJ1;K7ES52;K7ENW5,-1.0053999877
P63313;CON__P21752,-1.0206266506
Q15785,-1.32964029
P11388-4;P11388-3;P11388-2;P11388;J3KTB7,-1.1152330484
Q5W0H4;P13693;E9PJF7;J3KPG2;Q8TBK7;Q56UQ5;H0YCX0;Q9HAU6,-1.1837723256
Q14134;Q14134-2,-1.3303862989
Q9UI30;F5GX77;M0R242;J3KNG5;F5GYQ2,-1.1314577855
Q6P3X3;F8WCH1,-1.2637555731
P40222,-1.0775848293
O14530;Q8TB70;B8ZZX4,-1.7596245803
Q16881;B7Z904;Q16881-6;E7EW10;Q16881-3;E7ESI6;E9PNQ6;Q16881-4;B7Z2S5;Q16881-2;E2QRB9;Q16881-5;B2R5P6;E9PIR7;E9PMY9;F5H780;E9PKD3;E9PIZ5;E9PKI4;E9PLT3;E9PQI3;E9PJU2;E9PRI8,-1.1650436495
Q14157-5;Q14157;F8W726;Q14157-3;Q14157-1;Q14157-4;Q5VU77;Q5VU78;Q5VU79;Q5VU80;Q5VU81,-1.1886541178
Q8N806;G3V2G3;H0YJA0;G3V336;G3V253,-1.3483457451
Q9BZX2;Q9BZX2-2;B4DGD3,-2.0021624212
Q96T88-2;Q96T88,-1.9106559208
Q9HAV4;H0Y3W3;E2QRM3;H0Y3Q8,-1.103195473
P67809;H0Y449;C9J5V9,-1.3076033867
Q9H900;Q9H900-2;H3BQ07;H3BSG1;H3BPI7,-1.3502709242
Q15942;H0Y2Y8;B4DQR8;B4DQX7;C9JJK5,-2.1981169292
