"Protein IDs","Gene Names","t-test P2-Adh Difference","t test P2 Adh p value","t-test Difference_P5-Adh","t-test p value_P5-Adh"
F5H2S7;Q13561-2;Q13561-3;Q13561;F8WAG8;F5H223;A8K8J9;F8W1I6;F8VW18;H0YI98;F8VRV7;F8VX93;H0YHL1;F8W0U6;F8VZD2,DCTN2;DCTN50;hCG_2016464,-1,0.00115,-1.1,0.000606
F5H6I0;P61769;H0YLF3,B2M;CDABP0092;HDCMA22P,NA,NA,-1.69,0.00805
F8VQ10;Q13838-2;Q13838;Q5STU3;H0Y7G4;B4DP52;H0Y7X6;F8VZL8;F6WLT2;F6TRA5;F6UN21;E9PP12;F6UJC5;F6S4E6;H0Y557;H0Y800;B4DIJ6;H0Y6G9;H0Y4V8;H0Y400;F8W0J0;H0Y6N8;F6R6M7;F6QYI9;F6V772;H0YCC6;E7EMX2;F6SXL5;F6S2B7;F6U6E2;F6QWI5;H0Y6Y9;H0Y6J9,BAT1;UAP56;DADB-26I14.7-006;DAMA-25N12.12-006;DAMA-BMC190B12.8-006;DAQB-72H16.1-006;DASS-161H22.1-006;XXbac-BPG296P20.6-006;hCG_2005638,1.09,0.00164,1.46,0.000271
F8VTL3;P35580-3;F8W6L6;P35580-2;P35580;E7ERA5,MYH10,0.67,0.00142,NA,NA
F8W8J4;Q9NZM1;Q9NZM1-6;C9JCN0;Q9NZM1-3;Q9NZM1-2;Q9NZM1-5;H0YD14;Q9NZM1-7;Q9NZM1-8;Q9NZM1-4;O75923-13;O75923-7;O75923-8;O75923-2;O75923-10;O75923-4;O75923-11;O75923-5;O75923-12;O75923-6;O75923-14;O75923;O75923-9;O75923-3;E7ETW8;O75923-15,FER1L3;KIAA1207;MYOF,1.16,0.000383,0.9,0.00182
F8WCP6;Q7Z4S6-4;Q7Z4S6;Q7Z4S6-2;F5H219;F8W762;Q7Z4S6-3;F5H0C3;H0YHT2;F5H0V8;H0YI78;H0YIM6;H0YHG9;H0YIM7,KIAA1708;KIF2;KIF21A,NA,NA,-9.22,2.75E-06
G3V1L9;Q07157;G5E9E7;Q07157-2,TJP1;ZO1,NA,NA,3.44,0.00533
G3V1Z5;P46379-3;P46379;B0UX83;P46379-2;F8VX53;F8VXY4;E7EMZ4;F6TH84;F6S6P2;E7EPC5;E9PEC8;C9JAY9;F6U341;F6X9W3;F6VEM6;F6WML8;F6RG75;H0Y710;F6XTU0;F6U1F2;F6UR09;H0Y4L1;F6TC96,BAT3;G3;DADB-70P7.10-003;DAMA-236L13.16-003;DAMC-157M7.11-003;hCG_2005629,-0.7,0.00114,-0.55,0.00183
G3V2F7;Q13404-1;Q13404-2;Q13404-7;Q13404;Q13404-6;Q5TGE0;A5PLL7;Q5TGE1;Q5TGE2;D6RG00;E5RGE2,CROC1;P/OKcl.19;UBE2V;UBE2V1;UEV1,-1.12,0.00137,-1.11,0.00422
G3V3A4;Q13573;G3V4X8;E9PGQ7;G3V5R3,SKIIP;SKIP;SNW1,1.27,0.00346,1.19,0.00237
