"Protein IDs","Gene Names","t-test P2-Adh Difference","t test P2 Adh p value","t-test Difference_P5-Adh","t-test p value_P5-Adh"
P56182;F8W984;D6RE82,D21S2056E;NNP1;NOP52;RRP1;RRP1A,9.71,1.93E-05,9.66,2.92E-06
P56385,ATP5I;ATP5K,-0.96,0.00231,-1.4,0.000124
P56537;B7ZBG9;B7ZBH1;F8WDS6;F8WD20,EIF3A;EIF6;ITGB4BP;OK/SW-cl.27;RP4-614O4.1-005;RP4-614O4.1-008,NA,NA,0.23,0.00324
P57678,GEMIN4,NA,NA,0.96,0.00285
P57737;P57737-2;B3KSY4;E7EP81,CORO7;hCG_1787779,NA,NA,-0.46,0.00408
P60174;P60174-1;B7Z5D8,TPI;TPI1,-1.17,0.000201,-1.17,0.000326
P61026;Q9H082;Q14964;A8MYT0;Q96AX2;Q96AX2-2;Q15771;B7Z3L0;A8MZI4;A8MTC6;A8MXF5;A8MSP2;E9PMZ4;A8MUU7;E9PMJ1;H0YDK7;Q6MZH2;E9PBQ0;E9PS06;E9PNB9;E9PRF7;E9PJQ5;C9JFM7;E9PI18;C9JB90;H0YL94;H0YLJ8,RAB10,NA,NA,-0.45,0.00957
P61077-3;P61077-2;P61077;P62837;D6RAH7;Q96RP6;D6RFM0;D6RAW0;D6RA11,UBCH5C;UBE2D3;UBC4;UBCH5B;UBE2D2;hCG_26910;PUBC1,-0.92,0.00422,NA,NA
P61081,UBC12;UBE2M,NA,NA,-0.48,0.00624
P61086;C9JGP1;P61086-2;B4DIZ2;D6RDM7,HIP2;LIG;UBE2K,NA,NA,-0.55,0.00145
P61163;B4DXP9;F5H3I4,ACTR1A;CTRN1,-1.11,0.00171,-1.19,0.00259
P61604;B8ZZL8;B8ZZ54,HSPE1;hCG_21429,NA,NA,0.37,0.00295
P61978-3;Q5T6W5;Q5T6W2,HNRNPK;RP11-575L7.1-001;RP11-575L7.1-005,NA,NA,0.65,0.000672
P61981;B4DE78;B4DHC4,YWHAG,NA,NA,-0.96,0.00784
P62258;P62258-2,YWHAE,-0.94,0.000781,-1.1,0.00454
P62280,RPS11,NA,NA,-1.02,0.0089
P62805,H4/A;H4/B;H4/C;H4/D;H4/E;H4/G;H4/H;H4/I;H4/J;H4/K;H4/M;H4/N;H4/O;H4F2;H4FA;H4FB;H4FC;H4FD;H4FE;H4FG;H4FH;H4FI;H4FJ;H4FK;H4FM;H4FN;H4FO;HIST1H4A;HIST1H4B;HIST1H4C;HIST1H4D;HIST1H4E;HIST1H4F;HIST1H4H;HIST1H4I;HIST1H4J;HIST1H4K;HIST1H4L;HIST2H4;HIST2H4A;HIST2H4B;HIST4H4,1.98,0.00174,1.04,0.00353
P62937;B4DM82;C9J5S7;F8WE65;Q567Q0;E5RIZ5,CYPA;PPIA,NA,NA,-0.5,0.00835
P62993;P62993-2,ASH;GRB2,-1.32,1.34E-05,-1.37,0.000113
P62995;E7EQD1;P62995-3,SFRS10;TRA2B,10.46,1.89E-05,10.76,1.28E-06
P68104;Q5VTE0;Q6IQ15;F8W6I0;Q5JR01;A6PW80,EEF1A;EEF1A1;EF1A;LENG7;EEF1AL3,NA,NA,-0.79,0.00189
P78406;E9PQ57;E9PPG9;B0QZ36;B0QZ37,MRNP41;RAE1,0.63,0.00293,0.78,0.00304
P78527;P78527-2;E7EUY0;H0YG84;F5GX40,HYRC;HYRC1;PRKDC,1.83,0.00191,1.93,0.00163
P78560;F8VVY5;F5H7C2;F8VV49;B7Z2Q5,CRADD;RAIDD,-8.97,3.58E-06,-9.2,1.79E-07
P80303;P80303-2;E7EV42;E9PKG6;E9PLE9;E9PLR0;H0YEG8;E9PM22;H0YD18;E9PJP3,NEFA;NUCB2,NA,NA,-1.45,0.00208
P82650;G5E9V5;G5E9W7;Q9H3I1;E9PGX2;C9J5D8,C3orf5;GK002;MRPS22;RPMS22,0.77,0.00584,0.97,0.000602
P82673;P82673-2;H0YG82,HDCMD11P;MDS023;MRPS28;MRPS35;PSEC0213,NA,NA,0.54,0.0101
P82979;H0YHG0;F8VZQ9,HCC1;HSPC316;SARNP,NA,NA,1.07,0.000223
P83111;P83111-2,LACTB;MRPL56;UNQ843/PRO1781,NA,NA,1.12,0.00546
P83731;C9JNW5;C9JXB8,RPL24;hCG_2023003,-0.91,0.00483,NA,NA
P84077;P61204;F5H3A6;F5H423;B7ZB63;F5H0C7;H0YGG7,ARF1;ARF3,NA,NA,-0.69,0.000548
P84103;B4E241,SFRS3;SRP20;hCG_14802,0.78,0.0057,1.22,0.00141
P85037;F5H8G8;P85037-2,FOXK1;MNF,0.76,0.00434,0.68,0.00504
P98088;E9PJ98;E9PGF7,MUC5;MUC5AC,NA,NA,-11.46,2.53E-05
P98170;B1AKU2,API3;BIRC4;IAP3;XIAP,NA,NA,-9.86,1.22E-05
P98175;P98175-2;P98175-3;P98175-4,DXS8237E;GPATC9;GPATCH9;KIAA0122;RBM10,0.81,0.000952,1.19,0.00188
P99999;C9JFR7;CON__P62894,CYC;CYCS,NA,NA,-0.95,0.00525
Q00341;E7EM71;H0Y394;E7EU12;C9JIZ1;C9J5E5;C9JZI8;C9JES8;C9JHZ8;C9JHS7;C9JK79;C9JT62;C9JHN6;C9JKQ5;C9JEJ8;C9JBS3;C9JQ82;C9JMQ6;C9J739;C9JHS9,HBP;HDLBP;VGL,NA,NA,-0.44,0.000823
Q00577;Q9H598,PUR1;PURA,NA,NA,-0.61,0.00661
Q00653;Q00653-4;Q00653-3,LYT10;NFKB2,NA,NA,-9.36,2.84E-05
Q00839;Q00839-2;B3KX72;Q5RI18,HNRNPU;HNRPU;SAFA;U21.1,1.37,6.02E-06,1.33,6.77E-05
Q01082;Q01082-2;Q01082-3;F8W6C1;O95084;B4E2J3;E9PRR2,SPTB2;SPTBN1,1.16,0.00483,1.42,0.000372
Q01085;A8K4L9;Q49AS9;E7ETC0;E7ETJ9;A6NKZ9,TIAL1,NA,NA,0.72,0.000155
Q01469;A8MUU1,FABP5,0.65,0.00569,NA,NA
Q01518;F5H6Z3;Q5T0R1;E7ENY9;Q5T0R2;Q5T0R3;Q5T0R4;Q5T0R5;Q5T0R6;Q5T0R7;Q5T0S3;B7Z214;Q5T0R8,CAP;CAP1;RP11-115D7.1-018;RP11-115D7.1-011;RP11-115D7.1-008;RP11-115D7.1-017;RP11-115D7.1-012;RP11-115D7.1-010;RP11-115D7.1-007,-0.63,0.0016,-0.83,0.000487
Q01813;Q5VSR7;H0Y3P8;B1APP6;B1APP8;Q5VSR5;H0Y757;Q5VSR6;H0Y3Y3,PFKF;PFKP;RP11-298E9.2-004,-0.91,0.00217,-1.15,0.000484
Q02127;A6NCA4,DHODH,10.46,1.78E-06,11.2,1.37E-06
Q02750;Q02750-2,MAP2K1;MEK1;PRKMK1,-1.8,8.69E-05,-2.01,4.73E-05
Q03252,LMN2;LMNB2,NA,NA,12.46,6.94E-07
Q03426;F5H8H2;B7Z1C2;F5H092;F5GXC0;F5H368;F5H163,MVK;hCG_40321,-0.78,0.00426,-1.07,0.00362
Q05639;E7EPH7;REV__Q6NUS8;REV__B7Z8Q8;REV__E9PD17,EEF1A2;EEF1AL;STN,-0.91,0.00492,-0.76,0.00482
Q06210;Q06210-2;O94808;E5RJP4,GFAT;GFPT;GFPT1,-1.37,0.000416,-1.59,5.77E-06
Q06323;A6NJG9;H0YNE3;H0YLU2;H0YKK6,IFI5111;PSME1,-0.59,0.00608,-0.77,0.00744
Q06830,PAGA;PAGB;PRDX1;TDPX2,NA,NA,-0.87,0.00163
Q07666;E7ET98;Q07666-2;Q07666-3;Q5VWX1;O75525;F5H5F6;O75525-2;E5RJZ9;E5RG12;F5H7G8;REV__O75426-2;E5RHD3,KHDRBS1;SAM68,NA,NA,0.85,0.00709
Q07820;E7ENM2;Q07820-2,BCL2L3;MCL1,9.1,6.8E-05,8.75,3.37E-05
Q07954,A2MR;APR;LRP1,-9.09,0.00045,-9.31,0.000405
Q07955;Q07955-2;Q07955-3,ASF;OK/SW-cl.3;SF2;SF2P33;SFRS1,1.64,0.000269,1.85,0.000687
Q08211;F5GXA5;Q08211-2,DDX9;DHX9;LKP;NDH2,NA,NA,1.09,0.0055
Q08722;E9PB22;Q08722-4;Q08722-3;Q08722-2,CD47;MER6,10.19,0.000111,8.95,8.94E-06
Q08J23;B4DQW2;G3V1R4;D6RAS3,NSUN2;SAKI;TRM4;hCG_18368,0.61,0.00393,0.85,0.00131
Q10570;E9PIM1,CPSF1;CPSF160,1.3,0.00192,1.23,0.00273
Q12769;G3V198;C9JIP0;E9PR16;Q12769-3;C9J0U6;E9PSI3,KIAA0197;NUP120;NUP160,NA,NA,1.49,0.00127
Q12788,SAZD;TBL3,11.4,1.06E-06,NA,NA
Q12789;Q12789-3,GTF3C1,1.04,0.00371,1.63,0.000982
Q12874;E7EUT8,SAP61;SF3A3,NA,NA,1.32,0.00666
Q12888-2;F8VY86;Q12888;A6NNK5;C9JXV0,TP53BP1,NA,NA,0.71,0.0033
Q12905,ILF2;NF45;PRO3063,NA,NA,1.39,0.00862
Q12931;F5H897,HSP75;TRAP1,1.2,0.00123,1.21,0.000958
Q12996;F5H0G6;H0YE74;E9PLP8,CSTF3,NA,NA,1.31,0.00605
Q13057-2;Q13057;E9PDM5,COASY;PSEC0106,NA,NA,-0.58,0.00677
Q13123;E7EQZ7;Q9H4P6;D6REL4,IK;RED;RER,NA,NA,0.98,0.00864
Q13151,HNRNPA0;HNRPA0,1.69,0.000249,1.58,0.000294
Q13162;E9PEN3;A6NG45;A6NJJ0,PRDX4,-0.67,0.00141,-1.05,0.000302
Q13228;Q13228-2;B4E1F3;A6PVW9;A6PVX1;H0Y532;F8WCR4;F2Z2W8;C9JVL0;F8WBA9,SBP;SELENBP1;RP11-126K1.7-006;RP11-126K1.7-019,-2.38,5.04E-05,-2.42,0.000128
Q13247;Q13247-3;Q13247-2,SFRS6;SRP55,NA,NA,1.11,0.00713
Q13263;Q13263-2,KAP1;RNF96;TIF1B;TRIM28,0.49,0.00339,0.72,0.00258
Q13268;H0YJG9,DHRS2,3.4,0.00334,NA,NA
Q13362;Q13362-3;Q13362-2;Q96B13;F5GWP3;H0YJ75;Q6ZN33;E9PHN5;G3V2U3;H0YJU0;H0YN84;H0YNR8;H0YK25;G3V5T2,KIAA0044;PPP2R5C,0.44,0.000138,NA,NA
Q13435;E9PPJ0;H0YCG1;E9PJ04;H0YEX5;E9PJT3;H0YDT7;E9PIL8,SAP145;SF3B2,NA,NA,0.88,0.00269
Q13451;B7Z8G2;B7Z7Z8;F5H7R1;H0Y3A5,AIG6;FKBP5;FKBP51,10.9,0.000229,9.68,0.000435
Q13523;F5H2U2;H0YDJ3;H0YEC8,KIAA0536;PRP4;PRP4H;PRP4K;PRPF4B,1.82,0.00209,NA,NA
Q13630;E9PKL9;E9PP14;E9PLH9;H0YE90;E9PP60;H0YCP7,SDR4E1;TSTA3,NA,NA,-1.04,0.0009990000000000001
Q13769;F8WCP5;C9JXG5;C9JCL9;F5GZF3;C9JXU6,C22orf19;KIAA0983;THOC5,NA,NA,1.89,0.00232
Q13813-2,,1.23,0.00193,1.47,0.000549
Q13867;E7EMN3,BLMH,NA,NA,8.1,6.33E-05
Q13895;F8WBL2,BYSL,0.99,0.000409,1.01,0.000742
Q13907-2;Q13907;C9JKM8;C9JD53,IDI1,NA,NA,-2,0.00165
Q14103;Q14103-3;H0Y8G5;Q14103-2;B4DTC3;Q14103-4;H0YA96;D6RAF8;D6RF44;F5H6R6;D6RBQ9;D6RD83,AUF1;HNRNPD;HNRPD,1.04,0.000947,0.95,0.000665
Q14118;E9PE70,DAG1,-0.58,0.00383,-0.7,0.00551
Q14155-5;B7Z6G2;B1ALK7;Q14155-1;Q14155;Q14155-3;Q14155-2;H0YFH7;Q14155-6;E9PDQ5;E7EUY6;Q15052;B7Z3C7;F5H8B2;Q15052-2;B7Z6D9;E7EU80;E7ENL8;B1ANY6;C9JDI6,ARHGEF7;RP11-494P5.1-001;COOL1;KIAA0142;Nbla10314;P85SPR;PAK3BP;PIXB,-9.24,6.65E-05,-9.63,2.55E-05
Q14160-3;Q14160;Q14160-2;H0YCG0,CRIB1;KIAA0147;LAP4;SCRB1;SCRIB;VARTUL,0.57,0.00349,0.6,0.0054
Q14344;F8W818;F5H1G8,GNA13,0.92,0.00017,0.72,0.00351
Q14353;A8K0A0;B4DMJ3,GAMT;hCG_21569,-1.62,0.00116,-1.63,0.00105
Q14376;E9PH43;Q5QPP4;Q5QPP3;Q5QPP2;Q5QPP1;Q5QPP9,GALE;RP5-886K2.6-015;RP5-886K2.6-007;RP5-886K2.6-005;RP5-886K2.6-008,NA,NA,-1.11,0.00993
Q14498-2;Q14498;A2RRD3;E1P5S2;E9PCZ6;G3XAC6;H0Y4X3;Q5QP23;H0YJJ3;Q5QP21;Q5QP22;G3V5Z6,HCC1;RBM39;RNPC2,NA,NA,0.78,0.00591
Q14562;F5H658;F5H521,DDX8;DHX8,NA,NA,8.8,6.15E-06
Q14653;Q5FBY1;Q5FBY4,IRF3,-10.44,1.55E-05,-10.34,1.38E-05
Q14676;E9PGY5;Q14676-2;E7EVA7;F8VV34;Q14676-3;F8VU38;F8VZP8;F8W1C2;Q14676-4;A1Z5I7;E7ENQ0;A2AB05;E7ER07;F8WCC2;A2AB07;A2AB06;H0Y6Z8,KIAA0170;MDC1;NFBD1,NA,NA,1.09,0.0026
Q14690;F5H7X0,KIAA0185;PDCD11,NA,NA,3.12,0.00551
Q14692,BMS1;BMS1L;KIAA0187,9.8,4.41E-06,10.47,1.94E-06
Q14764;E9PHL5,LRP;MVP,NA,NA,-1.55,0.00362
Q14807;B7Z265;E7EUJ5,KID;KIF22;KNSL4;hCG_2039829,NA,NA,1.03,0.00706
Q14839-2;Q14839;F5GWX5;F5H2G1;F5H6N4,CHD4,NA,NA,0.91,0.00573
Q14966;Q14966-3;Q14966-4;F5H330;C9JBI6;Q14966-2;Q14966-5;E7EUZ3;C9JWN0;F5H6M8,NP220;ZFML;ZNF638,NA,NA,0.97,0.00939
Q14974;B7ZAV6;F5H4R7,KPNB1;NTF97,NA,NA,0.28,0.00379
Q14978-2;Q14978;REV__Q9H609,KIAA0035;NOLC1;NS5ATP13,NA,NA,2.65,0.00501
Q14980;Q9BTE9;F5H4J1;F5H6Y5;F5H763;F5H0Z7;F5H3L6;F5H2F3;F5GZW1;F5H1L0;F8W6T3;F5H068;F5H073;F5GWK2;F5GWA2;F5H4Y4;F5H7R5,NUMA;NUMA1,NA,NA,1.08,0.00668
Q14CJ1;Q08117,AES;hCG_2005178;GRG,-10.48,1.79E-05,NA,NA
Q15029;B4DK30,EFTUD2;KIAA0031;SNRP116,1.34,0.000133,1.38,0.000268
Q15050,KIAA0112;RRR;RRS1,10.64,5.02E-05,10.03,1.67E-05
Q15059;Q15059-2;B4DS09;A9J571,BRD3;KIAA0043;RING3L,8.2,8.58E-06,8.94,1.07E-05
Q15149;Q15149-2;Q15149-3;Q15149-6;Q15149-4;Q15149-5;Q15149-9;Q15149-8;Q15149-7;E9PMV1;H0YDN1;E9PKG0;E9PIA2;E9PQ28,PLEC1,-0.61,0.00144,NA,NA
Q15208,NDR1;STK38,NA,NA,-0.42,0.0019
Q15233;F5GYZ3;C9JYS8;C9IZL7;C9J4X2,NONO;NRB54,1.02,0.00173,1.54,0.000388
Q15274;C9JCJ5;F8W702,QPRT,-2.81,0.000919,-2.85,0.000228
Q15287;Q15287-2;Q15287-3,LDC2;RNPS1,NA,NA,2.09,0.00482
Q15365,PCBP1,NA,NA,-0.66,0.00525
Q15369;E5RHG8;E5RGD9;E5RJ89,TCEB1,NA,NA,-0.67,0.000142
Q15392;B7Z817;F5H0H1;B7Z943,DHCR24;KIAA0018,-0.95,0.00165,NA,NA
Q15393;Q15393-3;Q15393-2,KIAA0017;SAP130;SF3B3,NA,NA,0.99,0.00456
Q15397;Q8IYS0;E9PHT3;Q8IYS0-2;C9J7B8,KIAA0020;XTP5,1.89,0.00302,NA,NA
Q15418-2;Q15418;E9PGT3;E9PRI4;Q15418-3;E9PGT4;F2Z2J1;Q15349-2;Q15349-3;Q15349;B7Z3B5;E9PMM7;B7ZL90;Q9UK32;E9PAN7;Q5SVM7;D6RE03;Q5TI62;D6RA62;B1AXG2;D6RHW7,MAPKAPK1A;RPS6KA1;RSK1,NA,NA,-1,0.00899
Q15437;Q5QPE2;E9PBH1;Q5QPE1,SEC23B,NA,NA,-0.98,0.00606
Q15459;E9PAW1;F5H048;F8WB66;F8WC79,SAP114;SF3A1,0.96,0.000114,1.16,0.000114
Q15628,TRADD,NA,NA,-9.51,7.08E-07
Q15637-6;Q15637-2;Q15637;Q15637-3;Q15637-4;C9JJE2;B4DX42;F8WEV5;Q14820,SF1;ZFM1;ZNF162,NA,NA,1.04,0.00115
Q15717,ELAVL1;HUR,1.33,0.00015,1.2,0.000556
Q15738;C9JDR0,H105E3;NSDHL,NA,NA,-0.75,0.000728
Q15847;E9PE14,APM2;C10orf116,NA,NA,-11.4,7.71E-05
Q16540;A6NGQ5;A8MYK1;A8MVT4;A6NJD9,L23MRP;MRPL23;RPL23L,NA,NA,1.17,0.00345
Q16555;B4DR31;Q8NAN9;Q14194-2;Q14194;E9PD68;E5RFU4;Q14195-2;Q14195;H0YBT4;F5GWI3,CRMP2;DPYSL2;ULIP2,NA,NA,-1,0.000569
Q16629;C9JAB2;G5E9M3;A6NNE8;Q16629-2;Q16629-3,SFRS7,NA,NA,11.12,3.61E-06
Q16630-2;Q16630;C9JGC2;F8WJN3;Q16630-3;F8W084,CFIM68;CPSF6,NA,NA,0.89,0.0104
Q16719;Q9BVW3;B8ZZA3;F8WEP1,KYNU,-1.39,0.000407,-1.15,0.000237
Q16762;E7EN05;B1AH48,TST,1.54,0.00109,2.11,0.000396
Q16775-2,,-0.98,0.00638,-1.04,0.00474
Q16822;B4DW73;H0YML5;H0YM31;Q16822-2;H0YMA5;H0YNG4;H0YMU6;P35558;B4DT64;H0YFK2;F5GZM4,PCK2;PEPCK2,1.37,0.00299,1.41,0.00199
Q16891-2;F5GZ32,,0.63,0.00535,0.84,0.00141
Q1KMD3,HNRNPUL2;HNRPUL2,1.06,0.000152,1.03,0.00669
Q27J81;Q27J81-2;Q27J81-3;C9JAR5,C14orf151;C14orf173;INF2,NA,NA,-0.42,0.00247
Q29RF7;Q29RF7-3;H0Y9L9;H0Y9L6,KIAA0648;PDS5;PDS5A;PIG54,0.66,0.00229,1,0.00403
Q2TAY7;B4E3L0,SMU1,NA,NA,1.05,0.00554
Q32P41,KIAA1393;TRMT5,NA,NA,7.43,0.000446
Q32Q12;P22392-2;P22392,hCG_2001850;NME1-NME2;NM23B;NME2,NA,NA,-0.43,0.0044
Q3LXA3;H0YCY6;E9PJG8;E9PQR1,DAK,-0.71,0.00441,-0.69,0.0059
Q3YEC7;Q3YEC7-2;G8JLF3;Q3YEC7-3;F2Z2T0;G3V154;C9JJY3;Q3YEC7-6;Q3YEC7-4;Q3YEC7-5;H0Y7H6;H0Y4Z8;B1AMX5,C9orf86;PARF,-0.83,0.00367,NA,NA
Q3ZCQ8-2;Q3ZCQ8;Q330K1,PRO1512;TIM50;TIMM50,0.93,0.000549,1.21,0.000353
Q4V328;B1B0M1;F5H504;Q4V328-4;Q4V328-2;Q4V328-3,GRIPAP1;KIAA1167;AF207550.7-006,-0.84,0.00474,NA,NA
Q4ZG55;Q4ZG55-4;Q4ZG55-2;Q4ZG55-3,GREB1;KIAA0575,9.86,0.000225,9.98,3.51E-05
Q53GS9;B9A018;B4DHT4;B8ZZD1;G5E9H0;F8WC91;C9JIU2;C9J0X5,CGI-21;HSPC332;PRO2855;USP39,1.52,0.000798,1.49,0.00114
Q53H12;E9PC15;E9PG39;Q53H12-2;F8WDD1,AGK;MULK,NA,NA,0.94,0.00809
Q5HYK3;B4DP72;F8VVX6;F8VP53;Q5HYK3-2;F8VVW7;F8VVD5,COQ5,1.12,0.00139,1.07,0.00214
Q5JSH3;E9PCI7;Q5JSH3-2;F8W913;Q5JSH3-3,WDR44,-8.53,0.000103,-8.38,0.000133
Q5JSP0;F8W7P2;Q5JSP0-2,FGD3;ZFYVE5,NA,NA,7.73,0.000211
Q5JTH9;E9PCK7;Q5JTH9-2;F5H456,KIAA0690;RRP12,1.54,0.00131,1.97,0.00868
Q5JTV8;E9PD36;C9J3B0;Q5JTV8-2;H0Y4R4;H0YD16;H0YDU3,TOR1AIP1,NA,NA,0.58,0.00305
Q5RKV6,EXOSC6;MTR3,0.7,9.4E-05,1.17,6.38E-07
Q5T0W9,C6orf143;FAM83B,NA,NA,1.22,0.00792
Q5T2W1;E7EU02;A8MUH7;A8MUH7-2,CAP70;NHERF3;PDZD1;PDZK1;PDZK1P1;PDZK1P2,10.72,0.000253,10.11,0.000351
Q5T5H1;C9JUF4;A6NMQ3;O43768-4;O43768-3;E9PB69;O43768-7;O43768;O43768-2;O43768-5;O43768-6;D6RE62;O43768-8,ENSA;RP11-54A4.10-004,NA,NA,-0.89,0.00374
Q5VIR6-4;Q5VIR6;Q5VIR6-3;Q5VIR6-2;F6VX93;G3V0H8;E7EVT8;Q8NCR1,PP13624;VPS53,0.27,0.000859,NA,NA
Q5VT52;Q5VT52-3;Q5VT52-2,HSPC099;KIAA0460;RPRD2,NA,NA,0.89,0.0006
Q5VU43-2;F8WAP5;E9PL24,,NA,NA,-8.79,7.63E-06
Q5VWQ0;Q5VWQ0-4;H0YDA9,RSBN1,8.99,3.89E-05,NA,NA
Q5ZPR3;Q5ZPR3-4;H0YK40;Q5ZPR3-3;Q5ZPR3-2;H0YK59;H0YL10;H0YN85;H0YLT8,B7H3;CD276;PSEC0249;UNQ309/PRO352,NA,NA,9.7,0.000315
Q66K14;Q66K14-2;H0YB08;E5RIN2;G3V133;F5H6M5;H0YB58,KIAA0676;TBC1D9B,NA,NA,-1.36,0.00518
Q6DD88;F5GWF8,ATL3,NA,NA,-0.5,0.00283
Q6DKI1;B7Z652,RPL7L1,NA,NA,8.81,4.68E-05
Q6DKK2,TTC19,9.78,0.000285,NA,NA
Q6FI13;Q16777;F5H4B2;A8MQC5,H2AFO;HIST2H2AA;HIST2H2AA3;HIST2H2AA4;H2AFQ;HIST2H2AC,13.95,1.6E-06,NA,NA
Q6GMV3,C2orf79,NA,NA,-1.42,0.00645
Q6IN85;Q6IN85-2;G3V5Z3;H0YIY8;Q6IN85-5;Q6IN85-4;H0YJN6;G3V5A2,KIAA2010;MSTP033;PP4R3A;PPP4R3A;SMEK1,NA,NA,0.75,0.00483
Q6NUK1;Q6NUK1-2,APC1;MCSC1;SCAMC1;SLC25A24,1.21,8.77E-05,0.93,0.00149
Q6NXE6;Q6NXE6-2;B4E1N1;F5H4P3;F5GWV0;F5GYG2;F5H2K4;F5H2X2;F5H6J3;F5GWK8;H0YH65;F5H052;H0YGL0,ARMC6,8.41,0.000163,NA,NA
Q6NXG1;Q6NXG1-3;Q6NXG1-4;E9PB47;Q6NXG1-2;H0YBB3;H0YBR2;E5RI26,ESRP1;RBM35A,0.82,0.00248,NA,NA
Q6P1N0;Q6P1N0-2;E9PGJ9;Q6P1N0-3;C9J1T8;H0Y3I1,CC2D1A,-0.95,0.00101,-0.68,0.00655
Q6P1N9;E5RG17;Q6P1N9-2;G5EA19;H0YBX2;E5RGF2;E5RK70;E5RG62;E5RID7;E5RJY6;E5RI69;E5RH86,CDA11;TATDN1,NA,NA,0.68,0.000556
Q6P2Q9;F5H2I4,PRPC8;PRPF8,1.21,0.00184,1.37,0.00102
Q6P996;E7EPL4;E7EMH5;Q86XE2;H0Y6N6;Q6P996-2;Q6P474;Q6XYB5,KIAA0251;PDXDC1,-0.68,0.00462,-0.93,0.000621
Q6P9B6;F5GWS3;B4DM09,KIAA1609,-10.58,0.000101,-11.14,6.99E-05
Q6P9B9,INTS5;KIAA1698,9.49,4.25E-05,8.85,0.000326
Q6PCB5;Q6PCB5-2;C9JM20,RSBN1L,NA,NA,9.05,3.18E-06
Q6PI48;Q9H9M6,DARS2,NA,NA,1.15,0.00739
Q6PJG6;Q6PJG6-3;Q6PJG6-2,C7orf27,NA,NA,1.22,0.00375
Q6PL18;Q6PL18-2,ATAD2;L16;PRO2000,NA,NA,10.41,1.34E-05
Q6ZRV2,FAM83H,-1.08,0.00462,NA,NA
Q7L014;D6RJA6;F5GYY8;H0Y9U3,DDX46;KIAA0801,0.92,0.00291,0.93,0.00153
Q7L5L3;Q7L5L3-1,GDPD3,NA,NA,-2.33,0.00113
Q7Z3B4;B4DT35;E7EUM5;Q7Z3B4-2,NUP54,0.62,0.0018,NA,NA
Q7Z4H8;Q7Z4H8-2;Q7Z4H8-3;H0YEM3,KDELC2;UNQ1904/PRO4350,-2.2,0.00343,-2.97,0.00111
Q7Z4W1,DCXR,-1.03,0.0038,NA,NA
Q7Z7F0;Q7Z7F0-2;Q7Z7F0-3,BLOM7;KIAA0907,9.08,3.71E-05,8.42,8.83E-06
Q86TS9;G3XCN9;G5E9P5;A6NMQ8;G3V3U6,MRPL52;hCG_41985,NA,NA,10.24,0.000206
Q86TX2;G3V4F2,ACOT1;CTE1,NA,NA,0.29,3.08E-05
Q86U38;A8MY76;B3KVY3;H0YJP7,C14orf21;KIAA2021,NA,NA,1.47,0.00617
Q86U42;Q86U42-2;Q92843-2;G3V4T2;B4DEH8;H0YJH9,PAB2;PABP2;PABPN1,1.17,0.00127,1.12,0.00293
Q86UU0;Q86UU0-2;E9PKJ9;C9K0G3;Q86UU0-4;B5ME99;Q86UU0-3;E9PIW0;H0YCR3;E9PNR0,BCL9L;DLNB11,NA,NA,0.32,0.00144
Q86W42;Q86W42-2;Q86W42-3,PSEC0006;THOC6;WDR58,1.07,0.00436,1.41,6.93E-05
Q86WB0;Q86WB0-2;C9J0I9;Q86WB0-3;C9J672,HSPC216;NIPA;ZC3HC1,9.06,5.42E-06,NA,NA
Q86X55;Q86X55-1;Q86X55-2,CARM1;PRMT4,0.97,0.00211,NA,NA
Q86XP3;Q86XP3-2,DDX42,NA,NA,1.05,0.00218
Q86Y56;Q86Y56-2;H0Y650;F5H8D4;E9PGY2;Q86Y56-3,HEATR2,1.36,0.00299,1.76,0.000161
Q8IUH3;Q8IUH3-3;Q8IUH3-2,DRB1;DRBP1;RBM45,10.2,4.53E-07,9.81,2.13E-06
Q8IWZ8;Q8IWZ8-2;B4DVK3,SF4,NA,NA,9.88,0.00024
Q8IX12;Q8IX12-2;F5H2E6;F5H1H2;F5H3E1;H0YFJ7;F5H218,CARP1;CCAR1;DIS,0.74,0.00632,1.3,0.0024
Q8IXT5;B9ZVT1,RBM12B,8.81,0.000173,8.17,2.19E-06
Q8IY81,FTSJ3;SB92,0.91,0.00625,1.13,0.00379
Q8IYU8;F2Z348,EFHA1,NA,NA,9.28,7.58E-05
Q8IZL8;Q8IZL8-2;C9JFV4;E7EV54;F8WDZ1,HMX3;MNAR;PELP1,NA,NA,0.95,0.00268
Q8N163;Q8N163-2;H0YB24;G3V119;E5RHJ4;E5RFJ3;H0YC58;E5RGU7;H0YC69;E5RHH8,DBC1;KIAA1967,NA,NA,0.88,0.00607
Q8N1F7;B3KPQ8,KIAA0095;NUP93,NA,NA,0.96,0.00954
Q8N2H3,C10orf33;PYROXD2,9.63,2.54E-05,9.25,5.78E-06
Q8N3U4;F8WAK8;B1AMT4;B1AMT3;B1AMT2;B1AMT1,SA2;STAG2,1.35,0.000391,1.7,0.00264
Q8N5N7;B7Z358,MRPL50,NA,NA,1.52,0.00854
Q8N668;B4DFQ4;E9PE85,C2orf5;COMMD1;MURR1,-9.08,1.51E-05,NA,NA
Q8N9N7,LRRC57,-9.27,5.29E-06,NA,NA
