Accession,Gene,114:113,"PVal 114:113",115:113,"PVal 115:113",116:113,"PVal 116:113",117:113,"PVal 117:113",118:113,"PVal 118:113",119:113,"PVal 119:113",121:113,"PVal 121:113"
Q02880,TOP2B,0.962,0.7076,0.965,0.6421,0.791,0.0555,1.615,0.0031,1.859,0.0011,1.773,0.0007,1.516,0.0042
O43390,HNRNPR,1.198,0.1651,0.845,0.1058,1.43,0.0024,0.204,0.0001,0.216,0.0001,0.205,0.0001,0.207,0.0001
Q2KHP4,HSPA5,0.899,0.124,0.998,0.9853,1.635,0,0.266,0,0.253,0,0.254,0,0.3,0
O75533,SF3B1,0.953,0.5808,0.587,0.0002,0.949,0.3659,0.358,0,0.376,0,0.339,0,0.395,0
P16401,HIST1H1B,0.929,0.632,1.286,0.3673,0.837,0.4144,3.504,0.006,3.896,0.0029,2.812,0.0021,2.644,0.006
Q14103,HNRNPD,1.365,0.3669,0.984,0.9279,2.02,0.0319,0.115,0.0009,0.115,0.0025,0.118,0.003,0.113,0.001
Q16531,DDB1,0.888,0.1076,1.068,0.48,0.911,0.216,0.533,0,0.511,0,0.505,0,0.447,0
O00567,NOP56,0.866,0.0273,0.903,0.269,0.82,0.0025,1.219,0.0571,1.528,0.0018,1.39,0.0181,1.345,0.0248
Q92621,NUP205,1.13,0.0118,1.058,0.5284,0.913,0.0573,1.597,0,1.732,0.0001,1.301,0.001,1.34,0.003
P40939,HADHA,0.779,0.0126,0.942,0.5045,0.986,0.7621,1.332,0.0069,1.267,0.0204,1.608,0,1.493,0.0005
Q13724,MOGS,0.976,0.7407,0.975,0.6615,0.868,0.0002,1.275,0.0083,1.271,0.0294,1.471,0.0003,1.169,0.0434
A8K525,-,1.71,0.0372,1.411,0.0203,1.242,0.0972,0.323,0,0.252,0,0.194,0,0.358,0
Q8NI36,WDR36,0.651,0.0027,0.612,0.0014,0.649,0.0012,1.075,0.5355,1.344,0.0356,1.1,0.3724,1.143,0.1832
Q14204,DYNC1H1,0.975,0.6999,1.067,0.3599,1.001,0.9809,1.2,0.0426,1.448,0.0036,1.689,0.0002,1.454,0.0093
Q9Y446,PKP3,1.018,0.7454,1.177,0.0072,1.189,0.0013,1.544,0.0002,1.584,0.0004,1.878,0.0001,1.915,0
P02538,KRT6A,1.346,0.0126,1.19,0.0728,1.037,0.4049,2.479,0.0009,3.475,0.0002,2.272,0.0014,2.407,0.0007
Q59EJ3,-,0.876,0.2897,0.905,0.6043,1.422,0.007,0.555,0.0068,0.553,0.0044,0.55,0.0088,0.692,0.0146
B7TY16,ACTN1,1.136,0.1621,1.523,0.0143,2.077,0,0.578,0.0008,0.681,0.0003,0.754,0.0002,0.658,0.0116
O60437,PPL,1.22,0.137,1.483,0.0631,1.462,0.0009,0.317,0,0.308,0,0.328,0,0.347,0
B7ZLD5,ITGB4,1.159,0.0119,1.529,0.0001,1.26,0.0162,2.282,0.0033,2.309,0.0013,2.641,0.0006,2.53,0.0015
Q6IBN1,HNRPK,0.919,0.356,0.642,0.001,1.212,0.0018,0.194,0,0.217,0,0.206,0,0.25,0
Q9HBD4,SMARCA4,0.905,0.1251,0.765,0.0111,0.925,0.2091,0.536,0,0.564,0,0.54,0,0.536,0
O43143,DHX15,0.949,0.426,0.661,0.0009,0.945,0.3507,0.527,0,0.597,0.0001,0.555,0.0001,0.665,0.0003
Q5SSJ5,HP1BP3,1.042,0.7006,1.048,0.7417,0.886,0.2539,1.44,0.0205,1.876,0.0029,1.821,0.0036,1.514,0.0203
Q9BTV4,TMEM43,1.204,0.0025,1.298,0.0413,0.976,0.5261,1.974,0.0046,2.031,0.0036,2.163,0.0026,1.898,0.0054
Q6PL18,ATAD2,0.885,0.414,0.892,0.4587,0.802,0.0182,2.332,0.002,1.381,0.011,1.103,0.2734,2.014,0.0018
Q14573,ITPR3,1.127,0.061,1.146,0.1424,0.977,0.7262,2.147,0.0001,1.838,0.0007,2.192,0.0001,2.267,0.0001
O60287,URB1,0.837,0.021,0.801,0.0242,0.826,0.0118,0.878,0.0008,1.048,0.4382,0.91,0.1048,1.055,0.2879
Q59FF0,-,0.794,0.0165,0.853,0.0569,1.082,0.2279,0.313,0,0.29,0,0.292,0,0.338,0
Q07065,CKAP4,1.03,0.639,1.318,0.0334,0.907,0.0316,3.979,0,2.693,0.0002,3.295,0.0001,3.375,0.0001
B3KVF5,-,1.341,0.0153,1.513,0.0043,0.852,0.071,6.434,0.0002,3.001,0.0023,3.141,0.0018,3.219,0.0015
Q08945,SSRP1,1.168,0.0728,1.287,0.0884,0.935,0.4424,2.477,0.0073,2.685,0.0038,2.519,0.0084,2.202,0.0163
Q16666,IFI16,1.44,0.0002,1.265,0.0275,1.296,0.0145,0.418,0.0005,0.436,0.0005,0.416,0.0002,0.442,0.0005
B4DR40,-,0.94,0.3432,0.645,0,0.909,0.0489,0.641,0.0039,0.745,0.0307,0.72,0.0155,0.667,0.002
C9JZR2,CTNND1,0.98,0.7998,1.104,0.1023,1.04,0.5058,1.303,0.0112,1.221,0.0371,1.415,0.01,1.353,0.0086
P04844,RPN2,0.978,0.8467,1.435,0.0154,1.14,0.1494,2.508,0.0458,1.775,0.0641,2.811,0.0339,2.335,0.0287
O60306,AQR,0.802,0.0112,0.626,0,0.902,0.0954,0.458,0,0.502,0,0.443,0,0.5,0
P38919,EIF4A3,0.996,0.9577,0.607,0.0016,0.941,0.1849,0.632,0.0069,0.663,0.005,0.606,0.0014,0.663,0.0024
B4DDB6,HNRPA3,1.006,0.9781,0.718,0.0475,1.249,0.0643,0.15,0.0001,0.138,0,0.129,0.0001,0.149,0
Q9Y4A5,TRRAP,0.909,0.0351,0.744,0.0001,0.791,0,1.005,0.9453,1.006,0.9118,0.908,0.0599,1.048,0.413
B4DEA8,-,0.814,0.0248,1.313,0.0091,1.375,0.0008,0.54,0,0.532,0,0.742,0.0006,0.643,3.0324
P13639,EEF2,1.121,0.153,1.173,0.0677,1.231,0.009,1.433,0.0202,2.119,0.0002,1.78,0.0024,1.52,0.0046
Q9Y5B9,SUPT16H,1.191,0.0492,0.912,0.2423,0.93,0.32,1.605,0.0688,1.685,0.0523,1.372,0.2568,1.466,0.1132
Q8NI27,THOC2,1.339,0.0028,0.727,0.0001,1.006,0.903,0.387,0,0.423,0.0001,0.445,0,0.428,0
A6NEM2,HCFC1,1.201,0.1063,1.158,0.1187,1.435,0.0027,0.45,0.0019,0.44,0.0034,0.457,0.002,0.555,0.0123
P12956,XRCC6,1.642,0,1.276,0.008,1.482,0,0.217,0,0.317,0,0.279,0,0.244,0
Q59GX6,-,0.791,0.0075,0.646,0.0023,0.931,0.1216,1.087,0.4275,0.918,0.3011,0.858,0.1471,0.988,0.9415
B2R603,-,0.737,0.3022,0.476,0.022,0.948,0.7234,0.202,0.0342,0.213,0.0378,0.199,0.0356,0.218,0
A0AV37,PKP2,1.118,0.1016,1.117,0.2081,1.002,0.9825,1.436,0.0275,1.365,0.0454,1.535,0.0186,1.461,0.0325
D2K8Q1,ATAD3A,1.082,0.4831,1.1,0.6139,0.81,0.2066,3.108,0.0128,2.17,0.0252,2.173,0.0223,2.204,0.0228
P78347,GTF2I,0.868,0.0755,0.927,0.3386,1.082,0.1776,0.392,0,0.386,0,0.39,0,0.393,0
Q6NT97,RCC1,1.279,0.0089,1.358,0,1.025,0.5644,0.908,0.1132,1.018,0.803,1.002,0.9801,0.841,0.0026
P04264,KRT1,1.239,0.1585,1.27,0.1734,1.784,0.0014,0.727,0.1227,0.61,0.021,0.63,0.0451,0.558,0.0085
Q99623,PHB2,1.068,0.4995,1.299,0.1061,0.93,0.3546,4.755,0.0005,2.242,0.0075,3.256,0.0015,3.466,0.0009
P11387,TOP1,1.013,0.838,0.82,0.0088,0.793,0.0036,0.895,0.1335,1.046,0.5997,0.987,0.8577,0.8,0.0336
P22087,FBL,0.804,0.0502,0.793,0.0616,0.801,0.0002,1.139,0.3708,1.449,0.0054,1.284,0.0579,1.194,0.2323
O95782,AP2A1,1.043,0.6002,1.16,0.229,1.132,0.0782,0.704,0.0381,0.675,0.1073,0.703,0.1926,0.694,0.1072
Q10570,CPSF1,0.859,0.0138,0.586,0.0001,1.146,0.0016,0.351,0,0.341,0,0.303,0,0.357,0
A7E2Y5,DNAJC13,0.993,0.9225,0.98,0.7509,0.919,0.2941,1.584,0,1.296,0.0114,1.492,0.0005,1.439,0.001
O75694,NUP155,1.058,0.3279,1.024,0.7967,0.829,0.0093,2.27,0,2.396,0,1.825,0.0001,1.928,0.0001
Q92616,GCN1L1,1.047,0.5709,1.134,0.3933,0.864,0.0479,2.047,0,2.651,0,2.27,0,2.035,0
P23284,PPIB,1.035,0.8646,1.069,0.7046,1.062,0.6787,0.323,0,0.186,0,0.249,0,0.229,0.0001
P49411,TUFM,0.901,0.2455,0.926,0.5176,0.871,0.1845,2.23,0.0228,1.594,0.0934,2.122,0.0369,1.781,0.0433
Q9H6R4,NOL6,0.846,0.0304,0.919,0.6276,0.856,0.0085,1.35,0.0029,1.678,0,1.523,0.0004,1.606,0.0001
Q6YHK3,CD109,1.45,0,1.874,0,1.403,0.0001,0.922,0.1677,1.159,0.014,1.065,0.2737,1.094,0.0565
P09651,HNRNPA1,1.375,0.2734,0.781,0.3852,1.602,0.1108,0.152,0.0132,0.173,0.0143,0.157,0.0076,0.158,0.0078
B4E2A6,-,1.165,0.087,1.304,0.0311,1.047,0.6871,1.736,0.0669,1.698,0.0627,1.908,0.036,1.394,0.1514
Q96GQ7,DDX27,0.651,0.0003,0.553,0.0007,0.665,0,0.922,0.1995,0.945,0.3474,0.769,0.0001,0.873,0.134
Q53GG0,-,1.102,0.0319,0.976,0.575,1.106,0.0076,1.401,0.0096,1.15,0.1195,1.046,0.6469,1.535,0.0011
Q99459,CDC5L,0.837,0.0395,0.772,0.0346,0.923,0.1247,0.391,0,0.396,0,0.355,0,0.469,0
P07814,EPRS,1.187,0.0076,1.447,0.0036,0.98,0.6662,0.894,0.1316,0.935,0.2929,1.08,0.3129,0.897,0.0448
P51659,HSD17B4,0.853,0.0652,0.959,0.5095,0.821,0.0002,0.515,0.0002,0.407,0.0005,0.384,0,0.393,0
Q53ET4,-,0.58,0.0023,0.68,0.0188,0.704,0.0008,0.479,0.0001,0.311,0,0.422,0.0001,0.386,0
P35222,CTNNB1,1.161,0.1158,1.433,0.0064,1.593,0.0001,1.041,0.703,0.958,0.6617,0.976,0.8167,0.962,0.6735
C9J4C3,TOP2A,1,0.9977,1.003,0.9716,0.734,0.0571,2.576,0.0045,2.38,0.0093,1.601,0.1133,1.773,0.0401
Q12905,ILF2,1.02,0.9096,0.697,0.0436,1.431,0.0297,0.094,0.0002,0.101,0.0001,0.093,0.0002,0.099,0.0002
Q96AG4,LRRC59,1.173,0.189,1.213,0.0901,0.877,0.0393,2.392,0.0015,2.052,0.0023,2.48,0.0016,1.994,0.0004
Q6PUJ7,-,1.158,0.1628,1.721,0.0032,1.019,0.7863,3.806,0,1.806,0.0003,2.6,0,2.788,0
Q8TAQ2,SMARCC2,1.005,0.9749,0.817,0.2867,1.02,0.8342,0.259,0.0258,0.259,0.0346,0.282,0.0236,0.296,0.0195
Q9UMS4,PRPF19,1.306,0.001,0.985,0.8396,1.197,0.0012,0.212,0,0.232,0,0.215,0,0.259,0
P17480,UBTF,1.47,0.0002,1.446,0.0036,1.051,0.6269,1.612,0.0798,1.526,0.0879,1.436,0.1233,1.493,0.1156
O94906,PRPF6,0.819,0.0258,0.696,0.0483,0.857,0.1121,0.911,0.4735,1.091,0.6099,0.985,0.9229,0.979,0.8797
P45880,VDAC2,1,0.9992,1.378,0.1095,1.004,0.9754,9.923,0.0007,5.298,0.0008,5.81,0.0009,4.733,0.0029
Q15397,KIAA0020,0.773,0.106,0.712,0.0439,0.805,0.0075,0.894,0.4302,0.912,0.2461,0.803,0.1012,1.106,0.2408
P23396,RPS3,0.795,0.0002,0.858,0.0219,0.985,0.6806,1.297,0.0011,1.32,0.0135,1.439,0.0012,1.379,0.0037
A7MCZ7,UNC84A,1.076,0.1743,1.239,0.0097,1.06,0.4076,1.507,0.1381,1.586,0.0928,1.54,0.1264,1.491,0.1253
Q71UI9,H2AFV,0.755,0.1214,0.742,0.1736,0.646,0.0454,2.741,0.0099,2.866,0.0094,3.253,0.0055,2.279,0.0125
Q9UM54,MYO6,1.18,0.2391,1.226,0.0809,0.913,0.0923,2.279,0.0002,1.791,0.0022,1.891,0.0002,1.914,0.0007
A8K4T9,-,0.645,0.0526,0.455,0.0009,1.028,0.7884,0.325,0.0001,0.352,0.0001,0.371,0.0006,0.352,0.0071
O60506,SYNCRIP,1.112,0.3128,0.757,0.0078,1.363,0.0008,0.217,0,0.232,0.0001,0.207,0.0001,0.197,0
P49792,RANBP2,1.049,0.4099,1.028,0.7335,1.058,0.2986,1.527,0.0652,1.767,0.0215,1.636,0.0355,1.599,0.0184
A8K485,-,0.812,0.0165,0.513,0,0.853,0.0088,0.305,0,0.33,0,0.295,0.0001,0.38,#VALUE!
Q8TDD1,DDX54,0.875,0.1954,0.732,0.0072,0.923,0.2203,1.04,0.5883,0.971,0.7036,0.884,0.0416,1.035,0.5138
P14618,PKM2,1.265,0.0278,1.257,0.0631,1.123,0.3111,1.629,0.0174,3.089,0.0007,3.61,0.0008,2.63,0.0019
P07355,ANXA2,0.991,0.8886,1.449,0.1145,1.174,0.0644,1.291,0.2604,1.881,0.0421,2.708,0.0046,2.269,0.0094
O60832,DKC1,0.856,0.0435,0.756,0.0009,0.768,0.0011,0.915,0.2217,1.177,0.0269,1.067,0.4639,1.047,0.3333
A4D212,DKFZP586J0619,1.077,0.4618,0.756,0.0419,0.905,0.2904,0.916,0.4774,0.891,0.288,0.848,0.0993,0.915,0.3719
Q8N163,KIAA1967,1.012,0.797,0.531,0.0007,1.346,0,0.333,0,0.414,0,0.362,0,0.384,0
P27708,CAD,0.968,0.6858,1.069,0.4634,0.974,0.7063,1.909,0.0014,1.771,0.0011,1.508,0.0031,1.742,0.0033
Q92945,KHSRP,0.518,0,0.488,0,1.462,0.0031,0.162,0,0.156,0,0.155,0,0.186,0
Q8N1F7,NUP93,1.114,0.2042,1.16,0.0279,0.95,0.4894,1.971,0.0003,2.169,0.0001,1.469,0.0059,1.576,0.0025
B4DVB8,-,0.9,0.269,0.644,0.0145,1.121,0.0941,0.148,0.0001,0.15,0.0004,0.15,0.0002,0.158,0.0002
P39023,RPL3,0.642,0.0304,0.515,0.0328,0.711,0.0224,1.273,0.0273,1.068,0.5494,1.15,0.1679,1.155,0.1443
Q9NVP1,DDX18,0.659,0.0221,0.685,0.1648,0.694,0.0062,1.002,0.9807,1.243,0.1327,1.033,0.6652,1.062,0.5677
P38646,HSPA9,0.638,0,0.811,0.0006,1.146,0.0211,0.297,0,0.296,0,0.286,0,0.269,0
P06748,NPM1,0.636,0.2362,0.842,0.4538,0.683,0.0374,0.895,0.7386,0.892,0.7361,0.939,0.8621,0.86,0.679
O75691,UTP20,0.8,0.0009,0.879,0.4518,0.809,0.0001,1.167,0.0992,1.564,0.0003,1.367,0.0058,1.264,0.1048
Q96T88,UHRF1,0.49,0.0004,0.432,0.0003,0.797,0.0035,0.542,0.0017,0.373,0.0001,0.357,0.0001,0.614,0.0025
Q53HW2,-,0.885,0.1418,0.806,0.0136,0.772,0.0002,0.986,0.8257,0.787,0.0108,0.85,0.0675,0.745,0.0023
P35659,DEK,0.494,0.0022,0.406,0.0003,0.556,0.0037,0.721,0.0015,0.801,0.006,0.639,0.0061,0.598,0
Q6PJG2,C14orf43,1.212,0.0881,1.53,0.0914,1.124,0.1095,0.572,0.0001,0.6,0.0001,0.622,0,0.636,0
Q9UQB8,BAIAP2,0.955,0.7296,0.975,0.852,0.967,0.799,0.827,0.1893,0.603,0.0139,0.561,0.0032,0.747,0.0404
B2RDE1,-,1.337,0.0052,1.223,0.0246,1.206,0.0001,2.979,0.0003,1.955,0.0027,1.876,0.0011,2.371,0.0007
P16615,ATP2A2,1.515,0.1061,1.03,0.854,0.9,0.065,2.166,0.0165,1.769,0.0364,1.831,0.0319,1.665,0.0365
Q13835,PKP1,0.942,0.3491,0.657,0.0004,0.96,0.2315,1.126,0.1043,1.3,0.0035,1.135,0.1171,1.129,0.1047
Q9NRG9,AAAS,1.206,0.1323,1.202,0.025,1.009,0.8893,2.755,0.0089,2.925,0.0062,2.478,0.012,2.479,0.011
O95602,POLR1A,1.232,0.0448,1.332,0.058,1.13,0.0474,0.495,0.0005,0.58,0.0092,0.642,0.0043,0.593,0.0005
Q9BZE4,GTPBP4,0.474,0.0008,0.4,0.0011,0.636,0.0005,1.012,0.8477,0.934,0.4931,0.804,0.0055,1.048,0.4537
Q12788,TBL3,0.737,0.0025,0.674,0.0229,0.707,0.0017,1.105,0.1711,1.296,0.003,1.071,0.2138,1.069,0.2884
B4DRB8,-,1.28,0.0414,1.283,0.0065,1.061,0.3645,2.046,0.0361,2.124,0.0485,1.863,0.0592,1.746,0.0805
P38159,RBMX,0.996,0.9793,0.658,0.0063,1.149,0.2312,0.404,0.0001,0.428,0,0.419,0.0002,0.397,0
O00541,PES1,0.742,0.0033,0.677,0.004,0.753,0.0001,0.794,0.0665,0.842,0.233,0.702,0.0147,0.889,0.3433
B3KMR5,-,0.76,0.0413,0.908,0.4847,0.831,0.012,1.071,0.4096,1.23,0.0469,1.11,0.1949,1.24,0.0398
O94874,KIAA0776,0.793,0.0071,0.961,0.5877,0.854,0.0009,1.658,0,1.093,0.0592,1.282,0.0044,1.413,0.0002
Q6KB66,KRT80,1.268,0.0901,1.325,0.0378,1.005,0.9704,3.407,0.0009,2.409,0.0021,2.937,0.001,2.718,0.0015
Q15459,SF3A1,1.079,0.4148,0.632,0.001,1.048,0.5301,0.337,0,0.369,0.0002,0.314,0.0001,0.351,0
Q5K651,SAMD9,1.082,0.4718,0.871,0.1175,0.887,0.0099,0.574,0.0015,0.517,0.0057,0.467,0.0002,0.513,0.0002
O94832,MYO1D,0.902,0.3633,1.013,0.8589,0.904,0.2471,2.233,0.0036,2.072,0.0071,2.735,0.0015,2.772,0.0021
Q8TED0,UTP15,0.695,0.0217,0.712,0.1051,0.677,0.0264,1.116,0.1335,1.262,0.0689,1.098,0.2514,1.074,0.4729
B3KMC9,-,0.847,0.029,0.722,0.002,1.276,0.0235,0.328,0.0001,0.309,0,0.309,0,0.346,0.0001
B2R9I9,-,0.897,0.4995,0.784,0.1918,0.889,0.1827,0.621,0.0071,0.651,0.0099,0.613,0.0021,0.619,0.0001
A6NHR9,SMCHD1,1.372,0.0094,1.138,0.1126,1.004,0.95,1.491,0.07,1.635,0.0471,1.528,0.0415,1.524,0.0754
Q2TB59,NNT,1.132,0.1543,1.146,0.2736,1.025,0.7636,2.207,0.0003,1.342,0.0605,1.869,0.0007,1.842,0.0021
Q53SS8,PCBP1,1.271,0.2109,1.29,0.042,1.235,0.2414,0.446,0.1289,0.507,0.1472,0.57,0.1738,0.505,0.0914
P22695,UQCRC2,0.79,0.0066,1.276,0.1085,0.886,0.0019,2.608,0.0018,1.366,0.1617,1.699,0.014,1.951,0.0064
