Accession,Name,X115.114,PVal.115.114,X116.114,PVal.116.114,X117.114,PVal.117.114
B2RBS9,B2RBS9,0.801,2.87E-07,0.805,1.84E-09,0.823,4.08E-06
B7Z8B1,B7Z8B1,0.78,3.18E-11,0.8,7.32E-13,0.828,9.44E-10
Q6NUK1,SCMC1,1.066,0.109,1.236,1.76E-10,0.997,0.955
P62805,H4,1.471,0,1.342,0,0.986,0.497
Q16666,IF16,1.176,0.00264,1.141,0.00173,1.305,4.07E-07
Q12905,ILF2,1.211,1.46E-10,1.167,1.43E-07,1.052,0.156
P20700,LMNB1,1.187,1.08E-06,1.221,1.19E-12,0.995,0.863
Q9NVP1,DDX18,1.231,1.45E-07,1.143,3.46E-05,1.089,0.00207
P55060,XPO2,0.662,4.41E-10,0.771,1.33E-09,0.836,2.05E-05
Q59GX7,Q59GX7,0.745,3.08E-07,0.915,0.011,0.663,8.94E-10
B9ZVX0,B9ZVX0,0.801,8.82E-05,0.91,0.000621,0.897,0.00191
O00410,IPO5,0.768,0.000648,0.882,0.0017,0.902,0.0334
Q99460,PSMD1,0.774,2.78E-09,0.85,2.01E-06,0.946,0.0513
Q24JU4,Q24JU4,0.722,1.38E-08,0.782,1.08E-12,0.83,0.00022
P26038,MOES,0.717,8.54E-08,0.939,0.0847,0.897,0.0273
Q16850,CP51A,2.565,1.78E-09,2.13,2.06E-10,1.129,0.0147
P09429,HMGB1,0.716,7.03E-05,0.756,0.000247,0.767,0.000111
P13674,P4HA1,2.17,2.49E-20,2.064,1.03E-19,1.945,2.71E-18
B2R5M9,B2R5M9,1.133,0.000215,1.336,0.00129,1.194,3.62E-05
P09211,GSTP1,0.624,9.55E-40,0.731,1.07E-38,0.685,1.02E-36
Q1KMD3,HNRL2,1.223,9.93E-05,1.18,4.14E-06,1.07,0.0429
P53618,COPB,0.671,4.58E-14,0.807,3.1E-10,0.742,2.46E-12
Q9P2J5,SYLC,0.793,9.09E-08,0.824,2.06E-08,0.891,0.000409
P08865,RSSA,0.883,0.00108,0.737,5.67E-11,0.857,2.7E-05
P42224,STAT1,0.658,1.18E-08,0.765,2.12E-07,0.822,5.1E-06
O00567,NOP56,1.318,5.06E-09,1.228,2.02E-08,1.192,1.2E-05
P26006,ITA3,1.185,0.0532,1.142,0.0119,1.212,0.0126
P16401,H15,1.199,0.000508,1.233,0.00159,1.046,0.205
P49915,GUAA,0.766,3.63E-05,0.806,4.04E-08,0.991,0.772
P17301,ITA2,1.254,6.75E-07,1.322,3.04E-09,1.245,6.56E-07
P63104,1433Z,0.773,6.34E-09,0.819,9.45E-09,0.894,0.00172
Q53FG5,Q53FG5,0.795,7.43E-06,0.802,5.7E-08,0.959,0.311
P50990,TCPQ,0.746,1.77E-12,0.717,1.11E-17,0.77,5.82E-11
A0AV37,A0AV37,1.277,4.13E-08,1.342,9.89E-13,1.154,9E-07
P23528,COF1,0.82,0.0017,0.789,1.39E-09,0.763,3.56E-07
O14980,XPO1,0.813,1.77E-06,0.861,5.05E-07,0.847,3.61E-06
Q8IVF2,AHNK2,1.665,2.03E-13,1.857,8.32E-17,1.602,2.74E-15
O94832,MYO1D,1.27,1.09E-07,1.299,6.54E-08,1.079,0.0305
P06744,G6PI,1.04,0.0982,1.325,1.86E-23,1.023,0.466
Q53GX7,Q53GX7,0.666,1.79E-05,0.761,0.00122,0.74,0.0081
Q14566,MCM6,0.862,0.000272,0.829,5.49E-05,0.941,0.185
Q92621,NU205,1.24,4.1E-05,1.257,4.86E-11,1.177,2.45E-05
P27816,MAP4,0.708,7.75E-08,0.763,0.0106,1.087,0.00355
O95373,IPO7,0.678,1.9E-08,0.797,5.61E-05,0.862,0.0045
Q96HE7,ERO1A,1.794,1.38E-18,1.312,7.57E-13,1.533,2.47E-13
Q9H0A0,NAT10,1.214,0.000119,1.092,0.0174,1.098,0.00301
P27708,PYR1,0.751,0.000589,0.853,0.00246,0.816,0.000203
Q53EM5,Q53EM5,0.583,1.12E-25,0.659,2.84E-29,0.712,2.38E-23
P22102,PUR2,0.711,1.32E-08,0.814,5.55E-06,0.841,9.41E-05
P55209,NP1L1,0.738,9.53E-13,0.801,7.13E-14,0.799,3.3E-08
Q5U0Q1,Q5U0Q1,0.831,3.37E-06,0.759,4.19E-07,0.843,0.000616
P30153,2AAA,0.749,0.000296,0.855,0.00204,0.929,0.342
O75694,NU155,1.216,1.35E-06,1.217,4.96E-06,1.185,0.000155
P60842,IF4A1,0.813,4.62E-05,0.835,0.000102,0.878,0.000256
B0I1S2,B0I1S2,0.594,7.44E-07,0.677,1.49E-06,0.81,0.000778
Q92597,NDRG1,2.195,0.126,2.386,0.00782,1.922,0.00345
O76021,RL1D1,1.399,5.01E-06,1.233,1.16E-06,1.122,0.0743
O94973,AP2A2,1.113,0.00392,1.259,4E-07,1.043,0.298
Q6IBR8,Q6IBR8,0.781,0.00485,0.823,0.0636,0.9,0.00746
A6NFM4,A6NFM4,1.041,0.4,1.185,0.058,1.424,7.91E-10
P12268,IMDH2,0.806,2.44E-07,0.782,1.69E-11,0.835,3.44E-06
P14314,GLU2B,0.626,0.00261,0.757,0.00282,1.074,0.0163
P35659,DEK,1.251,5.84E-06,1.178,0.00038,1.023,0.626
Q15738,NSDHL,1.7,1.83E-16,1.632,1.85E-22,1.22,2.23E-06
Q9Y265,RUVB1,0.892,0.0791,0.829,2.92E-05,0.847,0.025
Q02252,MMSA,0.816,2.93E-07,0.937,0.0209,1.008,0.793
Q9H4G0,E41L1,1.334,0.00119,1.065,0.255,0.89,0.0222
O95602,RPA1,1.155,0.00512,1.094,0.0189,1.27,2.51E-06
Q8IY81,RRMJ3,1.334,4.69E-06,1.13,0.00598,1.163,0.00479
Q00341,VIGLN,0.854,5.13E-05,0.786,9.52E-10,0.928,0.00268
P52209,6PGD,0.514,3.36E-16,0.651,6.67E-17,0.62,1.28E-13
Q9Y2W1,TR150,1.221,0.000194,1.083,0.0035,1.016,0.587
P49588,SYAC,0.668,9.02E-09,0.746,3.64E-07,0.726,4.12E-08
P41250,SYG,0.654,2.15E-10,0.72,5.58E-10,0.716,2.58E-06
P36871,PGM1,0.725,1.12E-06,0.878,0.00373,0.927,0.0407
Q07065,CKAP4,1.36,0.031,1.069,0.79,0.945,0.486
P04792,HSPB1,0.565,2.76E-12,0.667,1.24E-09,0.687,1.19E-05
Q5HYE4,Q5HYE4,0.718,0.000224,0.758,1.98E-05,0.697,1.68E-06
B2R7P8,B2R7P8,0.773,3.27E-09,0.813,1.46E-11,0.858,8.58E-09
Q9H4M9,EHD1,0.709,2.27E-07,0.825,0.0507,0.695,3.23E-07
P43246,MSH2,0.749,0.00449,0.777,0.0158,1.079,0.222
P07384,CAN1,0.82,1.12E-05,0.936,0.0078,0.921,0.0151
P35998,PRS7,0.777,0.00178,0.792,0.00177,0.927,0.318
B2RDY9,B2RDY9,0.798,5.53E-09,0.88,2.86E-05,0.898,0.00775
P06756,ITAV,1.226,0.00202,1.224,0.000386,1.127,0.0342
Q13011,ECH1,1.346,2.62E-07,1.125,0.000349,0.925,0.0965
A8K6X8,A8K6X8,1.126,0.144,1.182,0.0238,1.262,0.00211
Q5T4S7,UBR4,0.826,0.00202,0.833,0.00034,0.871,0.00113
Q5QPT5,Q5QPT5,1.238,1.02E-07,1.162,2.88E-06,1.098,0.021
Q8NI27,THOC2,1.324,2.3E-09,1.19,9.01E-06,1.157,0.00379
P52701,MSH6,0.705,1.33E-06,0.784,5.32E-07,1.054,0.167
P45974,UBP5,0.707,1.14E-05,0.812,0.000909,0.785,3.44E-05
Q86V81,THOC4,1.259,0.000159,1.102,0.000301,0.923,0.0799
A1L0T0,ILVBL,1.29,0.000156,1.384,5.32E-09,1.191,0.000576
Q9NTK5,OLA1,0.686,0.00474,0.795,0.00888,0.893,0.0599
Q8NE71,ABCF1,0.816,0.00558,0.943,0.186,0.973,0.604
Q04695,K1C17,0.8,0.000785,1.507,1.89E-05,1.898,8.88E-07
Q06210,GFPT1,0.668,0.00109,0.747,6.09E-05,0.767,0.000351
Q5SSJ5,HP1B3,1.308,3.82E-05,1.232,0.00171,1.022,0.726
Q13751,LAMB3,1.196,0.0319,1.289,2.64E-05,1.087,0.0301
Q2T9F7,Q2T9F7,1.357,4.22E-05,1.386,5.48E-06,0.956,0.322
Q9BVJ6,UT14A,1.235,0.00123,1.14,0.000638,1.2,0.00572
Q14254,FLOT2,1.101,0.0194,1.218,1.1E-09,1.24,2.29E-08
P56192,SYMC,0.763,5.55E-06,0.78,1.79E-08,0.877,0.00977
Q8NBS9,TXND5,1.031,0.617,0.762,9.46E-09,1.043,0.338
P49321,NASP,0.694,1.52E-08,0.677,3.83E-09,0.944,0.198
A4D2P0,A4D2P0,1.379,2.43E-05,1.207,0.000233,1.105,0.0937
P45880,VDAC2,0.988,0.791,1.13,0.00253,1.234,8.48E-06
A0AVR1,A0AVR1,1.203,0.00415,1.16,0.00114,1.174,0.00176
Q9P2I0,CPSF2,1.211,0.00284,1.131,0.000814,1.108,0.0485
Q6NZI2,PTRF,1.47,1.32E-23,1.45,6.92E-25,1.315,7.19E-16
Q9UNX4,WDR3,1.136,0.0103,1.171,2.08E-05,1.31,1.27E-07
Q96IH1,Q96IH1,0.76,0.000798,0.94,0.272,0.852,0.00335
Q5JWF2,GNAS1,1.271,0.00049,1.266,6.29E-05,1.181,0.00155
P16403,H12,1.302,0.000108,1.229,0.00106,1.094,0.115
B0QY89,B0QY89,0.739,2.58E-06,0.814,5.23E-06,0.888,0.0229
Q96AG4,LRC59,1.367,4.47E-10,1.152,4.12E-08,1.024,0.464
P62158,CALM,0.871,0.328,1.115,0.187,1.222,0.0262
O00231,PSD11,0.77,4.32E-08,0.79,2.04E-07,0.858,4.9E-05
O00468,AGRIN,1.346,0.00171,1.268,5.67E-06,1.42,2.25E-05
P22087,FBRL,1.259,5.37E-06,1.131,0.000436,1.026,0.598
P17980,PRS6A,0.704,8.56E-08,0.73,2.03E-08,0.952,0.142
P11586,C1TC,0.663,7.61E-07,0.703,2.64E-07,0.718,4.69E-06
Q9BWM7,SFXN3,1.348,0.000218,1.411,0.000278,1.272,0.00934
P11717,MPRI,1.066,0.263,1.171,8.41E-05,1.285,2.28E-07
Q8WXF1,PSPC1,1.363,2.54E-05,1.14,0.0153,1.044,0.161
O75131,CPNE3,1.394,7.63E-05,1.283,0.000199,1.287,0.00258
P09382,LEG1,1.258,2.07E-05,1.316,6.77E-12,1.072,0.0072
Q15019,SEPT2,0.821,1.24E-08,0.847,6.1E-09,0.96,0.196
Q16822,PCKGM,0.749,5.47E-08,0.868,3.67E-05,0.819,1.07E-05
Q9BTC0,DIDO1,1.259,0.00208,1.194,0.00126,1.178,0.00168
P30041,PRDX6,0.575,4.2E-11,0.689,5.59E-10,0.74,1.66E-07
Q14444,CAPR1,0.758,0.00246,0.699,0.000852,0.942,0.331
P30520,PURA2,0.735,2.12E-06,0.843,3.76E-05,0.836,0.000201
P14174,MIF,0.799,0.00925,1.037,0.443,0.94,0.407
Q86Y56,HEAT2,0.858,0.0624,0.885,0.074,0.78,0.00284
P11216,PYGB,0.608,0.0167,0.676,0.000226,0.801,0.00103
Q15646,OASL,0.587,6.26E-09,0.714,1.37E-06,0.605,5.84E-08
Q13136,LIPA1,0.842,0.034,0.761,0.00018,0.821,0.00176
Q6IB11,Q6IB11,1.314,0.000112,1.413,1.27E-12,1.045,0.366
Q6LES2,Q6LES2,1.35,2.32E-07,1.681,4.62E-13,1.412,2.54E-11
Q5T5C7,Q5T5C7,0.798,0.00019,0.863,4.4E-06,0.835,9.38E-06
P33176,KINH,0.762,3.97E-05,0.808,7.93E-05,0.865,0.00784
P11387,TOP1,1.289,1.28E-06,1.13,0.00176,0.994,0.869
P46777,RL5,0.859,1.7E-05,0.81,6.54E-09,0.906,0.0104
Q6IAW5,Q6IAW5,0.872,0.308,0.634,1.18E-05,0.734,0.0597
P12830,CADH1,1.252,6.52E-05,1.228,1.03E-06,0.939,0.135
Q96A33,CCD47,1.258,0.000243,1.167,0.000204,0.99,0.784
Q53HS0,Q53HS0,0.805,0.000245,0.85,0.000711,0.906,0.0155
P78344,IF4G2,0.801,0.000703,0.819,0.000245,0.884,0.00688
O43776,SYNC,0.716,3.72E-05,0.796,6.17E-05,0.825,0.00484
P09960,LKHA4,0.672,1.65E-09,0.736,2.91E-07,0.807,0.000274
A8K4W5,A8K4W5,0.921,0.294,0.905,0.171,0.764,0.00565
P08648,ITA5,1.555,7.14E-07,1.781,2.2E-07,1.158,0.0167
B2RDE8,B2RDE8,0.789,1.22E-05,0.781,7.49E-08,1.052,0.191
B2RAR6,B2RAR6,0.591,2.78E-11,0.644,3.3E-12,0.786,2.28E-07
P48449,ERG7,1.437,5.53E-07,1.2,3.14E-05,0.847,0.000139
Q59EN5,Q59EN5,1.536,0.00036,1.532,4.33E-06,1.627,5.68E-05
Q5U0A0,Q5U0A0,0.709,2.7E-08,0.751,3.34E-11,0.757,1.75E-06
Q6FGS1,Q6FGS1,0.769,0.00363,0.855,0.202,0.965,0.531
Q06830,PRDX1,0.626,7.96E-14,0.675,1.37E-11,0.736,5.31E-05
Q15269,PWP2,1.267,6.17E-05,1.211,0.000854,1.221,0.000106
Q15181,IPYR,0.707,1.81E-08,0.783,4.09E-09,0.858,0.00321
Q5VU21,Q5VU21,0.796,0.00179,0.769,1.7E-05,0.866,0.00618
Q8WTT2,NOC3L,1.336,9.72E-07,1.178,2.68E-06,1.231,0.00263
Q07954,LRP1,1.163,0.0823,1.29,0.00123,0.994,0.896
P52789,HXK2,1.464,4.44E-06,1.608,1.81E-07,1.327,2.4E-07
Q14247,SRC8,0.664,1.48E-09,0.729,5.83E-15,0.867,2.34E-07
A6NJB3,A6NJB3,1.154,0.00104,1.232,6.92E-08,1.204,0.000845
P54578,UBP14,0.736,2.98E-05,0.83,6.13E-06,0.829,0.000224
B4E1D5,B4E1D5,0.707,0.00017,0.741,3.39E-05,0.808,0.000526
P62258,1433E,0.723,4.4E-06,0.857,3.31E-05,0.894,6.42E-05
Q6IBM2,Q6IBM2,0.608,2.06E-06,0.718,4.63E-06,0.642,2.5E-06
P43686,PRS6B,0.835,0.000397,0.83,2.84E-06,0.903,0.00235
Q15785,TOM34,0.769,0.00534,0.83,0.00175,0.818,1.36E-05
Q14258,TRI25,0.873,0.00536,0.861,0.000883,0.798,0.000243
P31947,1433S,0.682,6.46E-11,0.804,1.07E-11,0.871,6.12E-05
Q9H4A4,AMPB,0.652,1.28E-05,0.714,6.78E-06,0.768,1.57E-05
P26368,U2AF2,1.322,2.84E-06,1.168,0.0402,1.155,0.00111
Q9BVI4,NOC4L,1.25,3.7E-05,1.202,0.000121,1.127,0.0136
Q5SRT3,Q5SRT3,0.832,0.0352,0.94,0.469,0.821,0.04
P26583,HMGB2,0.746,0.0138,0.922,0.618,0.78,0.0262
P35052,GPC1,1.652,0.000694,1.186,0.0266,1.119,0.0574
Q53XL8,Q53XL8,0.815,2.1E-06,0.853,0.000166,0.887,0.0114
P07686,HEXB,1.365,1.4E-07,1.147,6.43E-06,1.243,1.18E-06
O15371,EIF3D,0.75,5.49E-05,0.746,3.96E-08,0.978,0.572
O75691,UTP20,1.227,0.0259,1.171,0.00474,1.191,0.0849
Q8WYA6,CTBL1,1.277,0.000545,1.128,0.0414,1.025,0.692
Q13501,SQSTM,1.055,0.331,1.331,2.93E-05,1.141,0.0332
Q9UGP8,SEC63,1.221,0.000172,1.144,0.000117,1.063,0.125
Q15021,CND1,0.82,0.00318,0.835,0.0003,0.824,0.000393
P23381,SYWC,0.517,2.38E-09,0.579,1.53E-09,0.589,5.14E-10
Q9UQ80,PA2G4,0.732,9.83E-09,0.818,3E-06,0.866,0.000712
Q9Y2H5,PKHA6,1.441,1.05E-06,1.211,1.42E-05,0.989,0.691
P29590,PML,1.467,0.00276,1.43,0.0003,1.191,0.0802
P35237,SPB6,0.731,0.00108,0.844,0.0253,0.773,0.000806
Q53FI6,Q53FI6,0.954,0.467,1.203,0.00443,1.04,0.427
Q15056,IF4H,0.66,0.000821,0.772,0.00141,0.697,0.000144
Q9Y6N5,SQRD,0.791,0.000107,0.963,0.241,0.929,0.211
P08243,ASNS,0.521,1.29E-07,0.559,3.34E-10,0.532,1.2E-09
Q5U077,Q5U077,0.782,0.0572,0.649,2.09E-08,0.696,0.000155
O00232,PSD12,0.748,1.63E-05,0.798,8.94E-05,0.824,0.00143
P54577,SYYC,0.756,0.00402,0.777,0.00168,0.791,0.000267
O00541,PESC,1.209,0.0364,1.065,0.197,1.172,0.112
Q03252,LMNB2,1.317,6.41E-07,1.241,1.77E-05,0.997,0.95
Q9UNM6,PSD13,0.823,0.000174,0.911,0.0509,1.017,0.618
Q8WUW5,Q8WUW5,0.798,0.00295,0.869,0.011,1.14,0.116
P08708,RS17,0.822,9.35E-06,0.806,1.14E-08,0.866,8.91E-05
Q15392,DHC24,0.781,1.17E-05,0.997,0.902,0.927,0.106
P13797,PLST,0.789,4.13E-05,0.938,0.169,0.888,0.0239
Q5VXV3,Q5VXV3,0.82,5.63E-06,0.834,1.23E-10,0.974,0.469
Q71DI3,H32,1.668,5.44E-07,1.566,1.89E-06,0.963,0.799
P05556,ITB1,1.2,7E-05,1.14,1.82E-06,1.158,0.000365
P30044,PRDX5,0.772,2.13E-07,0.895,0.0106,0.917,0.0451
P37837,TALDO,0.594,5.35E-11,0.629,4.22E-12,0.759,0.000539
Q7Z726,Q7Z726,0.741,0.000562,0.819,8.17E-05,1.015,0.834
P46977,STT3A,0.974,0.645,1.204,0.00441,1.053,0.376
Q12888,TP53B,1.203,0.00887,1.115,0.00181,1.157,0.0116
Q53G35,Q53G35,1.006,0.939,1.024,0.649,0.816,0.0222
B9ZVP3,B9ZVP3,1.287,9.74E-05,1.063,0.247,0.983,0.749
Q7L2H7,EIF3M,0.686,3.52E-09,0.834,1.24E-08,1.088,0.184
Q9H6S3,ES8L2,0.796,0.049,0.912,0.363,0.879,0.161
Q59FI4,Q59FI4,0.805,8.59E-05,0.868,0.000619,0.79,0.0108
C9J8I1,C9J8I1,0.827,0.000457,0.895,0.00439,0.993,0.886
Q07666,KHDR1,1.217,3.64E-06,1.033,0.324,1.071,0.0456
P48637,GSHB,0.735,0.00146,0.743,0.000945,0.759,0.00129
P60903,S10AA,1.471,2E-19,1.476,5.66E-28,1.147,0.000127
Q96I24,FUBP3,0.808,0.0695,0.751,0.0253,0.764,0.0158
B7ZLZ7,B7ZLZ7,0.84,0.00769,0.885,0.147,0.823,0.0125
Q07955,SFRS1,1.375,2.58E-05,1.13,0.00109,0.982,0.681
P51114,FXR1,0.849,0.078,0.816,0.00991,0.875,0.0989
A8MTR8,A8MTR8,1.321,3.12E-05,1.292,0.000499,1.275,0.00137
P61221,ABCE1,0.789,0.00166,0.839,0.000394,0.909,0.0373
O00560,SDCB1,1.377,2.4E-05,1.528,4.57E-07,1.19,0.000411
Q6NT97,Q6NT97,1.322,5.84E-05,1.217,1.3E-05,1.195,3.6E-05
Q53GF5,Q53GF5,0.753,6.83E-07,0.771,4.14E-06,0.813,8.78E-05
P62701,RS4X,0.778,0.00439,0.798,0.00634,0.721,0.0109
Q29RF7,PDS5A,1.329,0.00117,1.069,0.207,1.042,0.36
Q92734,TFG,0.636,0.000707,0.721,0.00289,0.643,0.0119
Q53GQ0,DHB12,1.347,2.14E-05,1.433,2.46E-09,1.141,0.00406
Q9BXW7,CECR5,1.11,0.12,1.239,9.34E-06,1.267,1.96E-05
P46782,RS5,0.885,0.126,0.821,0.00385,0.916,0.0973
Q08945,SSRP1,1.264,0.00144,1.185,0.00199,1.106,0.0512
O15173,PGRC2,1.257,0.0039,1.305,4.99E-07,1.08,0.255
O43242,PSMD3,0.745,0.00513,0.823,0.0226,0.955,0.577
P48147,PPCE,0.657,3.49E-05,0.795,0.000258,0.727,0.00036
O95433,AHSA1,0.673,8.63E-08,0.797,0.000146,0.815,0.000657
Q53X45,Q53X45,0.799,0.0124,0.864,0.132,0.946,0.607
P30419,NMT1,0.701,4.51E-05,0.816,0.00387,0.835,0.00852
Q5T765,Q5T765,0.545,5.34E-07,0.647,1.29E-06,0.66,0.000321
Q07157,ZO1,0.854,0.0745,0.859,0.0128,0.766,0.045
Q6LET3,Q6LET3,0.611,5.22E-06,0.728,1.53E-05,0.643,2.94E-06
P63241,IF5A1,0.886,0.0125,0.813,2.85E-08,0.795,2.37E-08
Q03701,CEBPZ,1.268,3.07E-05,1.139,0.00169,1.074,0.214
Q6UN15,FIP1,1.237,0.000854,1.125,0.0022,1.036,0.519
Q8NCF7,Q8NCF7,0.882,0.0478,1.051,0.0248,1.206,1.55E-06
P35606,COPB2,0.81,0.0345,0.944,0.613,0.984,0.727
