"Accession","Entry","median.115.114","median.116.114","median.117.114"
"K1815_HUMAN","Q7Z2K6",1.03,1.11,1.4
"EBP2_HUMAN","Q99848",0.77,0.77,0.69
"PDCD4_HUMAN","Q53EL6",0.92,0.78,0.71
"PDCD6_HUMAN","O75340",0.94,1.03,1.31
"PHB_HUMAN","P35232",1.01,1.08,1.35
"P4HA1_HUMAN","P13674",1.08,1.33,1.4
"TEBP_HUMAN","Q15185",0.92,0.74,0.57
"PSME1_HUMAN","Q06323",0.89,0.76,0.65
"PSA7_HUMAN","O14818",1.25,1.11,1.62
"BICD2_HUMAN","Q8TD16",1.11,0.89,0.56
"DEK_HUMAN","P35659",1.01,1.07,1.31
"PDIA3_HUMAN","P30101",1.13,1.15,1.31
"PDIA4_HUMAN","P13667",1.11,1.17,1.31
"PDIA6_HUMAN","Q15084",1.11,1.17,1.4
"PDIA1_HUMAN","P07237",1.11,1.16,1.31
"FA62A_HUMAN","Q9BSJ8",0.97,1.33,1.01
"FLII_HUMAN","Q13045",0.98,0.84,0.72
"PKCB1_HUMAN","Q9ULU4",1.01,1.8,1.5
"S10AA_HUMAN","P60903",1.08,1.84,2.9
"S10AB_HUMAN","P31949",1.03,0.81,0.74
"S100P_HUMAN","P25815",1.17,1.12,1.84
"SC23A_HUMAN","Q15436",0.98,0.84,0.72
"PNPH_HUMAN","P00491",1.09,1.22,1.31
"DHX15_HUMAN","O43143",1.11,1.16,0.76
"NOL1_HUMAN","P46087",0.97,1.11,1.35
"ODPA_HUMAN","P08559",1.01,1,1.31
"KPYM_HUMAN","P14618",1.04,1.17,1.31
"QOR_HUMAN","Q08257",1.19,1.22,1.5
"RAC1_HUMAN","P63000",1.17,1.39,1.45
"RAB1A_HUMAN","P62820",1.11,1.2,1.45
"RAB8A_HUMAN","P61006",1.32,1.28,1.23
"IASPP_HUMAN","Q8WUF5",1.03,0.7,0.94
"AL1A1_HUMAN","P00352",0.96,0.96,0.71
"RL1D1_HUMAN","O76021",0.86,0.91,0.68
"FBRL_HUMAN","P22087",1.06,1.28,1.4
"RUVB1_HUMAN","Q9Y265",1.38,1.15,1.45
"RUVB2_HUMAN","Q9Y230",0.98,1.13,1.31
"DCPS_HUMAN","Q96C86",1,1.22,1.31
"SBP1_HUMAN","Q13228",1.09,1.12,0.71
"GLYM_HUMAN","P34897",1.04,1.15,1.31
"PAK2_HUMAN","Q13177",1.04,0.63,0.81
"PP4R1_HUMAN","Q8TF05",0.82,0.81,0.69
"PP1A_HUMAN","P62136",1.13,1.27,1.56
"SERPH_HUMAN","P50454",1.11,0.69,0.75
"ALBU_HUMAN","P02768",0.82,0.41,0.36
"SYSM_HUMAN","Q9NP81",1.3,1.95,1.45
"SHC3_HUMAN","Q92529",1.03,1.3,1.5
"SFXN1_HUMAN","Q9H9B4",1.03,1.06,1.31
"SFXN3_HUMAN","Q9BWM7",1.04,1.04,1.31
"AT1A1_HUMAN","P05023",1.08,1.23,1.4
"AT1B1_HUMAN","P05026",1.01,1.35,1.45
"GTR1_HUMAN","P11166",1.21,1.19,1.69
"SORCN_HUMAN","P30626",1,0.74,1.07
"UAP56_HUMAN","Q13838",0.94,1,1.35
"SF01_HUMAN","Q15637",0.7,1.01,0.51
"ERG1_HUMAN","Q14534",1.3,1.41,1.4
"STMN1_HUMAN","P16949",0.93,0.89,0.71
"NSDHL_HUMAN","Q15738",1.13,1.15,1.31
"ST2B1_HUMAN","O00204",1.06,1.2,1.5
"SODC_HUMAN","P00441",1.19,1.37,1.27
"GPSN2_HUMAN","Q9NZ01",1.35,1.37,1.31
"TLN1_HUMAN","Q9Y490",0.88,0.74,0.66
"RBP56_HUMAN","Q92804",1.17,1.22,1.31
"TCPD_HUMAN","P50991",1.15,1.3,1.45
"TSN3_HUMAN","O60637",1.11,1.27,1.35
"THIO_HUMAN","P10599",1.01,0.54,0.49
"TXND4_HUMAN","Q9BS26",1.21,1.22,1.35
"PRDX3_HUMAN","P30048",1.06,1.01,1.69
"TR240_HUMAN","Q9UHV7",1.11,1.2,0.72
"PURB_HUMAN","Q96QR8",0.82,0.9,0.51
"RHOA_HUMAN","P61586",1.27,0.76,0.71
"TERA_HUMAN","P55072",1.06,1.2,1.31
"TM9S3_HUMAN","Q9HD45",1.11,1.23,0.66
"TMEDA_HUMAN","P49755",1.17,1.52,2.13
"TMPSD_HUMAN","Q9BYE2",0.75,0.68,0.21
"ECHA_HUMAN","P40939",0.96,1.22,1.56
"ECHB_HUMAN","P55084",1.06,1.09,1.35
"TRUA_HUMAN","Q9Y606",0.79,0.9,0.7
"TBA1_HUMAN","P68366",1.25,1.2,1.84
"TBA6_HUMAN","Q9BQE3",1.19,1.13,1.56
"TBAK_HUMAN","P68363",1.21,1.12,1.76
"TPD54_HUMAN","O43399",0.75,0.78,0.75
"TACD1_HUMAN","P16422",1.01,1.08,1.31
"SNRPA_HUMAN","P09012",1.09,1.48,1.45
"U520_HUMAN","O75643",1.27,1.62,1.62
"UCRI_HUMAN","P47985",1.13,1.27,1.45
"UQCR2_HUMAN","P22695",1.09,1.19,1.45
"UBIQ_HUMAN","P0CG47",1.08,1.16,1.93
"GALE_HUMAN","Q14376",1.15,1.13,1.4
"UD13_HUMAN","P35503",0.89,1.2,1.93
"CA077_HUMAN","Q9Y3Y2",0.77,0.92,0.69
"VASP_HUMAN","P50552",0.98,0.84,0.7
"VAPA_HUMAN","Q9P0L0",0.97,0.79,0.76
"NSF_HUMAN","P46459",0.76,0.59,0.61
"LMAN2_HUMAN","Q12907",1.06,1.11,1.45
"VILI_HUMAN","P09327",1.06,1.16,1.31
"VDAC2_HUMAN","P45880",1.13,1.03,1.62
"XPP1_HUMAN","Q9NQW7",0.75,0.36,0.29
