Protein.IDs,Gene.name,Uniprot,Median.Ratio.C.N
IPI00015953;IPI00477179,DDX21;OK/SW-cl.65,Q9NR30-1;Q9NR30;Q3SWU7;Q8NI92;Q9NR30-2,5.49566
IPI00797537;IPI00306398;IPI00789225,CML66;NUDCD1,Q96RS6-1;Q96RS6;Q96RS6-2;Q96RS6-3,5.45299
IPI00307659;IPI00878943;IPI00878493,CBX8;PC3;RC1,Q9HC52;C9JM54;C9J6K3,5.42306
IPI00514012;IPI00025001,CTNNBIP1;ICAT;hCG_18661;RP11-84A14.1-001,A6NNT6;Q9NSA3;Q5T4V2,5.42071
IPI00929268;IPI00004970,DRIM;UTP20,B4DN27;O75691,5.40114
IPI00658000;IPI00940014;IPI00165467;IPI00953668,IGF2BP3;IMP3;KOC1;VICKZ3,O00425-1;O00425;C9JSN3,5.36358
IPI00916503;IPI00916112;IPI00785096;IPI00918019;IPI00180128;IPI00900322;IPI00903257;IPI00916338;IPI00917597;IPI00916463;IPI00915826;IPI00916588,BZAP45;BZW1;KIAA0005;BZW1L1,B4DLZ8;Q53FN7;B4DWF7;Q7L1Q6-1;Q7L1Q6;Q7L1Q6-2;C9IZ80;P0C7T9;B3KU41,5.36147
IPI00306380;IPI00003886;IPI00798037;IPI00789659;IPI00929341;IPI00946884,E2IG3;GNL3;NS,Q9BVP2-1;Q9BVP2;Q9BVP2-2,5.35764
IPI00011200;IPI00642548,PGDH3;PHGDH;RP4-683H9.1-002,O43175;B3KSC3;Q5SZU1;Q8N5M8;Q96RV5;Q96RV6;Q96RV7;Q96RV8;Q96RV9;Q9UMY2;Q9UMY3,5.34353
IPI00024143;IPI00747361;IPI00793524;IPI00791584;IPI00792670;IPI00794723,AAAS;ADRACALA;GL003,Q9NRG9;Q53HS1;B4DDU7;Q5JB47,5.3049
IPI00294501,D7SR;DHCR7,Q9UBM7;A8K0D2;B2R6Z2;B4E1K5,5.27178
IPI00940389,NA,C9IZR5,5.2678
IPI00069309;IPI00555865;IPI00946381;IPI00945271,LRWD1,Q9UFC0;A8K4K2;Q59FT0;C9JBX6,5.24096
IPI00007818;IPI00946752;IPI00807384;IPI00946259,CPSF3;CPSF73,Q9UKF6;Q53F02;Q53RS2;A4UCU1;B4DQR2;Q05BZ5,5.21287
IPI00009032;IPI00916802;IPI00916922;IPI00917386;IPI00917205,SSB;hCG_2005701,P05455;B5BUB5;Q14730;Q15367;Q53XJ4;Q9UMH5;Q9UMH6,5.20069
IPI00940936;IPI00432416;IPI00298625;IPI00797424;IPI00646510;IPI00029769;IPI00946853,LYN,Q6NUK7;P07948-2;P07948;B4DQ79;P07948-1;A8K379,5.16745
IPI00019994;IPI00737270,CXorf15;LSR5;TXLNG,Q9NUQ3,5.11525
IPI00294955,LSM4,Q9Y4Z0,5.10934
