Entry,Gene.Symbol,ACP.NNCM,CIS.NNCM,ICC.NNCM
P00915,CA1,0.58,0.2,0.56
P00918,CA2,0.71,0.15,0.51
P60903,S100A10,0.64,0.15,0.47
P68871,HBB,0.86,0.06,0.35
P98160,HSPG2,0.33,1.46,0.96
Q8WX93,PALLD,0.18,1.07,0.84
P48681,NES,0.29,0.65,0.71
Q14112,NID2,0.25,0.55,0.69
P35749,MYH11,0.62,0.75,0.67
Q9UGI8,TES,0.37,0.68,0.64
P15088,CPA3,0.21,0.43,0.55
P07942,LAMB1,0.35,1.24,0.55
Q9Y490,TLN1,0.14,0.8,0.53
Q96CX2,KCTD12,0.28,0.57,0.47
P14543,NID1,0.29,0.47,0.47
P11047,LAMC1,0.23,0.74,0.44
P12814,ACTN1,0.17,1.13,0.43
P08133,ANXA6,0.15,0.48,0.42
P21333,FLNA,0.1,0.59,0.39
Q9HBL0,TNS1,0.2,0.63,0.37
Q14315,FLNC,0.13,0.73,0.36
Q05682,CALD1,0.03,0.29,0.36
O75083,WDR1,0.4,0.8,0.34
P05556,ITGB1,0.46,0.97,0.33
Q96AC1,FERMT2,0.13,0.66,0.32
P04792,HSPB1,0.13,0.58,0.3
P55268,LAMB2,0.22,0.57,0.29
Q16363,LAMA4,0.22,0.61,0.27
Q9NVD7,PARVA,0.17,0.52,0.26
P02743,APCS,0.04,0.14,0.25
P53814,SMTN,0.15,0.44,0.24
Q9UMS6,SYNPO2,0.11,0.26,0.22
O15061,SYNM,0.08,0.39,0.21
P18206,VCL,0.09,0.38,0.19
Q9BX66,SORBS1,0.1,0.26,0.18
Q01995,TAGLN,0.04,0.55,0.18
Q93052,LPP,0.11,0.49,0.18
Q15746,MYLK,0.08,0.39,0.18
P17661,DES,0.08,0.33,0.17
Q16853,AOC3,0.24,0.36,0.17
Q9NR12,PDLIM7,0.14,0.7,0.16
Q9NZN4,EHD2,0.13,0.26,0.15
P51911,CNN1,0.03,0.26,0.15
P21291,CSRP1,0.13,0.49,0.14
Q15124,PGM5,0.16,0.36,0.13
P21980,TGM2,0.05,0.24,0.13
P60660,MYL6,0.15,0.38,0.13
P07951,TPM2,0.04,0.43,0.13
P09493,TPM1,0.04,0.43,0.12
