IPI.ID,Gene.name,Rsca,UniProt
IPI00291136,COL6A1,-1.243,Q9BSA8;Q14041;Q7Z645;Q14040;P12109;Q05BT9;Q16258;Q8TBN2;O00118;O00117
IPI00291175,VCL,-2.252,Q5SWX2;P18206;Q5JQ13;Q16450;B3KXA2;Q8IXU7;Q7Z3B8
IPI00291737,ITLN1,-2.688,Q9NP67;Q8WWA0;Q6YDJ3;Q5IWS4;Q5VYI4;Q5IWS5
IPI00292150,LTBP2,4.844,Q99907;Q9H3F3;Q59EE6;Q9NS51;Q6AZ94;Q14767
IPI00294615,FBLN5,2.526,O75966;Q86TV4;Q6IAL4;Q9UBX5;Q6UWA3
IPI00294839,LOXL2,3.081,Q9BW70;Q9Y5Y8;Q53HV3;Q9Y4K0
IPI00296058,EFEMP2,5.517,Q96TF5;Q9H3D5;B3KQT1;O75967;Q59GI8;A8K7R4;Q6FH22;B2RCM5;O95967
IPI00296165,C1R,1.251,B4DPQ0
IPI00296534,FBLN1,10.113,Q9UH41;Q5TIC4;Q9UGR4;Q8TBH8;P23144;Q8NBH6;Q9UC21;Q9HBQ5;P23142;P23143;B0QY42;P37888
IPI00297124,IL6ST,-2.247,Q13514;A0N0L4;P40189;Q5FC02;Q5FC04;Q9UQ41;Q5FC05;Q17RA0
IPI00297646,COL1A1,4.933,Q8N473;Q6LAN8;P02452;P78441;Q14037;Q59F64;Q9UML6;Q15176;Q9UMM7;Q13903;Q13902;Q14042;O76045;Q16050;Q9UMA6;Q7KZ30;Q14992;Q8IVI5;Q7KZ34;Q13896;Q15201
IPI00299059,CHL1,-4.26,Q59FY0;O00533;B7ZL03;Q2M3G2
IPI00299150,CTSS,-1.196,Q9BUG3;Q6FHS5;Q5T5I0;P25774
IPI00299404,LAMB3,1.985,Q9UJL1;Q9UJK4;Q14733;Q13751;O14947;Q5THA1
IPI00299547,LCN2,2.13,Q5SYW0;P80188;P30150;Q92683;Q6FGL5;Q5SYV9
IPI00299729,TCN1,3.893,Q8WV77;P20061;A8KAC5
IPI00299738,PCOLCE,4.463,B2R9E1;O14550;Q15113
IPI00301579,NPC2,-1.79,Q53HV6;Q29413;Q15668;P61916
IPI00302679,LTBP1,6.58,Q53SF3;P22064;Q53SD8;Q8TD95;Q59HF7;Q14766;Q53SG1;B7ZLY3;A1L3V1
IPI00303071,CECR1,-5.561,Q8NCJ2;Q96K41;Q6ICF1;A8K9H4;Q86UB6;Q59F13;Q9NZK5
IPI00304962,COL1A2,4.238,Q7Z5S6;Q16511;Q9UEB6;Q14038;Q15947;Q15177;Q9UMM6;Q7KZ71;P08123;Q9UML5;Q9UM83;P02464;Q9UPH0;Q14036;Q9UEF9;Q13997;Q14057;Q13998;Q75N18;Q9UMI1;Q16480;Q13897
IPI00305461,ITIH2,1.787,Q5T985;Q15484;Q5T986;Q14659;P19823
IPI00306322,COL4A2,2.242,Q66K23;Q14052;Q548C3;P08572;Q5VZA9
IPI00328113,FBN1,2.137,Q15972;Q9NP01;Q75N89;Q75N87;Q75N88;P35555;B2RUU0;Q59HB9
IPI00329573,COL12A1,3.525,Q5VYK1;Q5VYK2;O43853;Q5TF09;Q86TG9;Q71UR3;Q99715;Q99716;Q15955
IPI00329685,ARSA,-2.122,Q6ICI5;C9IYR4;Q96CJ0;Q63HL5;B2RCA6;P15289
IPI00387105,,-2.508,P01612
IPI00387110,,-2.836,P01616
IPI00396383,VWA1,1.504,Q6PCB0;B3KUA1;Q7L5D7;A8K692;Q9H6J5
IPI00410241,POSTN,4.789,Q3KPJ5;Q5VSY5;Q29XZ0;Q15063;Q15064;Q8IZF9
IPI00437751,ACE,-1.61,B0LPF0;Q59GY8;Q53YX9;P22966;Q16425;Q3KRI5;Q7M4L4;P12821
IPI00465431,LGALS3,-2.614,Q96J47;Q9H2J6;Q6FGL0;Q16005;Q9H2J5;Q6IBA7;Q86TY5;B2RC38;Q8IXB9;P17931;Q6NVH9;Q6MZI9
IPI00465439,ALDOA,-1.661,Q6FH76;P04075;B4DXI7;Q6FI10;Q96B15;Q9UCN2;Q9BWD9
IPI00477992,C1QB,1.256,Q6LDZ7;Q96H17;Q5T960;P02746;Q5T959
IPI00478003,A2M,-1.315,Q13677;Q9BQ22;Q6PN97;Q6PIY3;Q68DN2;Q59F47;P01023;Q5QTS0
IPI00552937,NHLRC3,-2.289,Q68DP7;Q69YI9;Q5JS37;B4DTL0;B2RTZ2
IPI00553177,SERPINA1,1.498,Q9P1P0;Q5U0M1;Q9UCE6;Q9UCM3;Q2L9S7;Q96BF9;B2RDQ8;Q9P173;Q13672;A6PX14;Q53XB8;P01009;Q86U18;Q7M4R2;Q0PVP5;Q96ES1;Q86U19;Q3I0J7;Q13747
IPI00654888,KLKB1,-2.365,Q17RE8;B2R8H9;Q17RE9;Q4W5C3;P03952;A6NH96
IPI00739099,COL5A2,2.244,Q86XF6;Q59GR4;Q53WR4;P05997;Q5PR22;P78440;Q6LDJ5;Q13908;Q96QB0;Q7KZ55;Q96QB3
IPI00745313,AEBP1,6.656,Q8IUX7;Q7KZ79;Q14113;Q6ZSC7;Q59ER7
IPI00844090,COL5A1,4.347,Q15094;Q59EE7;P20908;Q96HC0;Q5SUX4;Q9UML4
IPI00922121,MMP9,3.84,B7Z7V0
