accession.number,gene.name,Entry,"Entry name",,mTRAQ.ratio..N.C.a,cICAT.ratio..N.C.a
IPI00009634,SQRDL,Q9Y6N5,SQRD_HUMAN,,2.51,2.49
IPI00009829,CPA3,P15088,CBPA3_HUMAN,,12.8,3.25
IPI00010105,EIF6,P56537,IF6_HUMAN,,0.39,0.32
IPI00010153,RPL23,P62829,RL23_HUMAN,,0.39,0.08
IPI00010214,S100A14,Q9HCY8,S10AE_HUMAN,,2.48,2.82
IPI00010779,TPM4,P67936,TPM4_HUMAN,,0.33,0.35
IPI00011200,PHGDH,O43175,SERA_HUMAN,,0.38,0.31
IPI00011250,UCHL3,P15374,UCHL3_HUMAN,,0.37,0.39
IPI00011274,HNRPDL,O14979,HNRDL_HUMAN,,0.33,0.37
IPI00011284,COMT,P21964,COMT_HUMAN,,0.35,0.36
IPI00012007,AHCY,P23526,SAHH_HUMAN,,0.36,0.3
IPI00012074,HNRNPR,O43390,HNRPR_HUMAN,,0.44,0.39
IPI00012119,DCN,P07585,PGS2_HUMAN,,2.9,2.78
IPI00012442,G3BP1,Q13283,G3BP1_HUMAN,,0.39,0.49
IPI00012750,RPS25,P62851,RS25_HUMAN,,0.4,0.26
IPI00012832,MFAP5,Q13361,MFAP5_HUMAN,,2.61,2.65
IPI00013079,EMILIN1,Q9Y6C2,EMIL1_HUMAN,,0.4,0.4
IPI00013214,MCM3,P25205,MCM3_HUMAN,,0.38,0.38
IPI00013219,ILK,Q13418,ILK_HUMAN,,0.36,0.37
IPI00013698,ASAH1,Q13510,ASAH1_HUMAN,,2.08,5.58
IPI00013895,S100A11,P31949,S10AB_HUMAN,,0.39,0.35
IPI00013937,CMA1,P23946,CMA1_HUMAN,,9.99,8.27
IPI00013976,LAMB1,P07942,LAMB1_HUMAN,,0.38,0.42
IPI00014516,CALD1,Q05682,CALD1_HUMAN,,0.19,0.2
IPI00014572,SPARC,P09486,SPRC_HUMAN,,0.12,0.24
IPI00014625,CLCA1,A8K7I4,CLCA1_HUMAN,,21.38,52.09
IPI00015018,PPA1,Q15181,IPYR_HUMAN,,0.29,0.36
IPI00015262,CNN2,Q99439,CNN2_HUMAN,,0.24,0.2
IPI00015361,PFDN5,Q99471,PFD5_HUMAN,,0.33,0.39
IPI00015872,TSPAN8,P19075,TSN8_HUMAN,,2.59,3.06
IPI00015953,DDX21,Q9NR30,DDX21_HUMAN,,0.14,0.23
IPI00015973,EPB41L2,O43491,E41L2_HUMAN,,0.37,0.42
IPI00016418,LPCAT2,Q7L5N7,PCAT2_HUMAN,,0.46,0.47
IPI00016862,GSR,P00390,GSHR_HUMAN,,2.52,2.61
IPI00017617,DDX5,P17844,DDX5_HUMAN,,0.32,0.22
IPI00017964,SNRPD3,P62318,SMD3_HUMAN,,0.38,0.35
IPI00018146,YWHAQ,P27348,1433T_HUMAN,,0.49,0.43
IPI00018219,TGFBI,Q15582,BGH3_HUMAN,,0.27,0.21
IPI00018350,MCM5,P33992,MCM5_HUMAN,,0.29,0.32
IPI00018452,CPNE1,Q99829,CPNE1_HUMAN,,0.4,0.38
IPI00018909,TFF3,Q07654,TFF3_HUMAN,,13.67,9.26
IPI00019502,MYH9,P35579,MYH9_HUMAN,,0.47,0.49
IPI00020501,MYH11,P35749,MYH11_HUMAN,,0.3,0.34
IPI00020513,ZYX,Q15942,ZYX_HUMAN,,0.27,0.32
IPI00021264,CNN1,P51911,CNN1_HUMAN,,0.2,0.3
IPI00021700,PCNA,P12004,PCNA_HUMAN,,0.28,0.35
IPI00021727,C4BPA,P04003,C4BPA_HUMAN,,0.4,0.38
IPI00021827,DEFA3,P59666,DEF3_HUMAN,,0.04,0.03
IPI00021840,RPS6,P62753,RS6_HUMAN,,0.27,0.35
IPI00022621,MFAP2,P55001,MFAP2_HUMAN,,0.15,0.18
IPI00022744,CSE1L,P55060,XPO2_HUMAN,,0.33,0.34
IPI00022892,THY1,P04216,THY1_HUMAN,,0.25,0.22
IPI00022977,CKB,P12277,KCRB_HUMAN,,5.24,2.99
IPI00023122,PDLIM7,Q9NR12,PDLI7_HUMAN,,0.24,0.27
IPI00023234,UBA2,Q9UBT2,SAE2_HUMAN,,0.41,0.45
IPI00023704,LPP,Q93052,LPP_HUMAN,,0.45,0.48
IPI00023824,FBLN2,P98095,FBLN2_HUMAN,,0.22,0.24
IPI00023860,NAP1L1,P55209,NP1L1_HUMAN,,0.29,0.28
IPI00024007,SMTN,P53814,SMTN_HUMAN,,0.32,0.35
IPI00024990,ALDH6A1,Q02252,MMSA_HUMAN,,3.51,3.3
IPI00025039,FBL,P22087,FBRL_HUMAN,,0.39,0.28
IPI00025057,ADAR,P55265,DSRAD_HUMAN,,0.41,0.49
IPI00025091,RPS11,P62280,RS11_HUMAN,,0.36,0.35
IPI00025273,GART,P22102,PUR2_HUMAN,,0.37,0.43
IPI00025276,TNXB,P22105,TENX_HUMAN,,2.61,2.67
IPI00025311,BCAS1,O75363,BCAS1_HUMAN,,11.55,14.21
IPI00025344,NDUFS6,O75380,NDUS6_HUMAN,,2.01,2.39
IPI00025465,OGN,P20774,MIME_HUMAN,,4.97,4.29
IPI00026202,RPL18A,Q02543,RL18A_HUMAN,,0.32,0.22
IPI00027201,MUC2,Q02817,MUC2_HUMAN,,20.1,13.83
IPI00027397,HN1L,Q9H910,HN1L_HUMAN,,0.39,0.39
IPI00027486,CEACAM5,P06731,CEAM5_HUMAN,,0.23,0.15
IPI00027509,MMP9,P14780,MMP9_HUMAN,,0.09,0.07
IPI00027701,ACADS,P16219,ACADS_HUMAN,,4.19,4.31
IPI00027769,ELANE,P08246,ELNE_HUMAN,,0.04,0.12
IPI00027827,SOD3,P08294,SODE_HUMAN,,2.23,2.24
IPI00028270,CEACAM7,Q14002,CEAM7_HUMAN,,18.63,89.13
IPI00028888,HNRNPD,Q14103,HNRPD_HUMAN,,0.41,0.49
IPI00029048,TTLL12,Q14166,TTL12_HUMAN,,0.4,0.43
IPI00029079,GMPS,P49915,GUAA_HUMAN,,0.45,0.32
IPI00029111,DPYSL3,Q14195,DPYL3_HUMAN,,0.29,0.36
