"Majority.protein.IDs","t.test.Significant.A.N","t.test.Significant.C.A","t.test.Significant.C.N","Log.2..ratio.A.N","Log.2..ratio.C.A","Log.2..ratio.C.N"
"Q9ULJ7;E9PDW0","+","","",1.44,-0.22,1.22
"Q92625;Q05CP0","+","","",0.61,-0.24,0.37
"Q9H8Y5;B8ZZS4","","","+",0.72,0.42,1.14
"Q9NQW6;Q9NQW6-2","","+","+",0.41,2.38,2.79
"Q9NW15;C9JHS1;Q9NW15-3;Q9NW15-2;Q9NW15-4","+","","+",-0.79,-0.3,-1.09
"B9EGG0;Q4KMQ2;E9PB30;E9PCT2","+","","",0.88,-0.38,0.5
"P39687;F2Z3H3;H0YN26","+","","",0.45,0.03,0.48
"Q9BTT0;Q5TB19;E9PEA6;E9PLC4;E9PPH5","","","+",0.44,0.58,1.02
"P04083;Q5T3N1","","+","+",-0.09,-0.89,-0.98
"P27216-2;P27216","","+","+",-0.44,-1.74,-2.18
"P12429;D6RA82","+","","+",1.37,-0.21,1.15
"P09525","","+","+",0.34,0.52,0.85
"P08758;E7ENQ5;E9PHT9;D6RBE9","+","","",-0.69,0.49,-0.2
"A6NN80;E5RK69","+","","",-1.03,0.65,-0.38
"Q16853","+","+","+",-1.51,-1.27,-2.78
"Q10567;Q10567-2;C9J1E7","","","+",-0.24,-0.17,-0.41
"O75843;Q86V28","","+","",0.39,-0.76,-0.37
"B4DSU4;A6NH01;B7Z3M9;P56377;E9PE78;H0Y673","","+","",-0.91,1.6,0.69
"O94973","","+","",-0.08,-0.28,-0.35
"Q96CW1;Q96CW1-2;E9PFW3;F5H0H0;B4DJB1;C9JJ47","+","","",-0.51,0.19,-0.32
"O00203;E5RJ68;F5GXG9;F5H093","+","+","",-0.33,0.36,0.03
"Q9Y2T2","+","+","",-0.88,0.7,-0.18
"E9PG87;Q92870","","","+",0.41,0.99,1.4
"P02743","+","+","",-1.7,1.19,-0.51
"Q9BZZ5-2;B4DGR0;B4DDR3","","+","+",0.2,0.52,0.72
"Q15847;E9PE14;Q5TBU2","+","","",1.09,-0.66,0.43
"Q9HDC9;H0Y512;Q9HDC9-2","","+","",-0.23,1.09,0.86
"P02647","+","+","",-1.05,1.24,0.19
"Q8NCW5;Q8NCW5-2","","+","",-0.1,0.92,0.81
"P02652","+","","",-2.37,1.56,-0.82
"Q8IUX4","+","","",-1.15,0.89,-0.26
"Q0VD83;Q0VD83-3;C9J815","+","+","+",-0.74,-1.46,-2.2
"P02656","+","+","",-3.07,1.9,-1.16
"C9JF17;P05090;C9JX71","+","+","",-1.07,1.27,0.2
"P02649;H0Y7L5;E7ERP7;E9PEV4","+","+","",-1.36,1.75,0.39
"P02749","+","+","",-0.92,0.97,0.05
"Q9BQE5","+","","+",-1.14,-0.25,-1.39
"P05067;P05067-9;P05067-8;B4DII8;P05067-7;P05067-6;E9PG40;P05067-5;P05067-4;P05067-3;P05067-10;E9PEV8","+","","+",1.08,0,1.08
"Q9UKG1","","+","",0.16,-0.5,-0.34
"Q8NEU8;F8W1P5;F5GZG0","","+","+",-0.08,-0.74,-0.82
"P07741;G5E9J2","+","+","",-0.88,0.94,0.06
"Q7Z2E3;Q7Z2E3-7;Q5T782;Q7Z2E3-10;Q7Z2E3-9;Q7Z2E3-5;Q7Z2E3-3;Q7Z2E3-4;Q7Z2E3-8;C9JZ40;F8W6G5;Q7Z2E3-2","+","","",1.03,-0.06,0.97
"O60306","+","","+",0.76,0.39,1.15
"P10398","+","","+",-0.5,0.1,-0.39
"P15514;D6RFX5","","+","+",0.28,2.52,2.81
"P84077;P61204;F5H423;F5H3A6;B7ZB63","+","+","",-1.3,0.92,-0.38
"P18085;C9JPM4;C9JAK5","+","","+",-1.72,0.64,-1.08
"P62330","","+","+",-0.32,-0.76,-1.08
"Q8N6H7;G5E9L0;E9PQP3;E9PIY6","","+","+",0.22,-0.65,-0.44
"Q9NP61;F5GYF6;E9PB03;C9JZR4","","+","+",-0.45,-0.85,-1.3
"P53367","","+","+",-0.28,-0.57,-0.85
"P53365;P53365-2","","+","+",-0.33,-0.92,-1.25
"P05089;P05089-2;P05089-3","+","+","",-1.4,1.57,0.17
"Q9NWB6","+","","+",1.81,-0.78,1.02
"Q07960;E9PCG8;H0YE29;E9PNR6","+","","",-0.48,0.06,-0.41
"P42331-4;P42331;G5E9G2;P42331-3;E9PFQ7;F5H3I2;E7EU69;P42331-2;C9JB56","+","","+",-1.21,-0.26,-1.47
"Q9UNA1;Q9UNA1-2","+","+","+",0.51,-1.07,-0.55
"Q7Z6I6;Q7Z6I6-3","+","","+",-1.57,-0.29,-1.86
"A7KAX9;A7KAX9-2;H0Y810;G3V174","+","+","",0.74,-0.73,0
"Q17R89;A6NCP5","+","","+",-2.16,-0.56,-2.72
"Q13017;Q13017-2","+","+","",0.75,-0.7,0.05
"F8W6F3;H0Y9T8;P85298;P85298-3;P85298-4;A6ZJ79;P85298-2","","+","+",0.04,-0.61,-0.57
"P52566;F5H3P3;H0YGX7;F5H6Q0;F5H2R5","+","","+",-0.78,-0.36,-1.13
"O15085-2;O15085;F8W8P9","+","","",0.82,-0.35,0.47
"Q9NZN5-2;E9PMR6","+","+","",0.51,-0.89,-0.39
"A1IGU5","","","+",-0.54,-0.63,-1.17
"C9JIB4","","","+",-0.27,-0.76,-1.04
"Q8TER5;Q8TER5-3;Q8TER5-4;Q8TER5-2","","","+",-0.44,-0.46,-0.9
"Q12774;H0Y895","+","+","",0.48,-0.47,0.01
"Q15052;B7Z3C7;F5H8B2;Q15052-2","+","","+",-2.13,0.08,-2.05
"Q14155-5;B7Z6G2;B1ALK7;Q14155-1;Q14155;Q14155-3;Q14155-2;Q14155-6;H0YFH7;E7EUY6;E9PDQ5","+","+","",0.49,-0.49,0
"Q8NFD5-3;Q8NFD5-2;Q8NFD5;G3XAA0;Q8NFD5-4","+","","+",0.56,-0.08,0.48
"Q99856","+","","+",1.42,1.15,2.56
"P29374;P29374-2;P29374-3","+","","",0.89,-0.59,0.3
"Q14865;Q14865-2","","","+",0.62,0.43,1.06
"O95376;H0Y3N1","+","","",0.83,-0.34,0.5
"F8VYN9;P40616;B4DWW1;B4DZG7","+","","+",-1.06,0,-1.06
"Q9Y2Y0;Q9Y2Y0-2","","+","",-0.6,1.48,0.88
