"Majority.protein.IDs","t.test.Significant.A.N","t.test.Significant.C.A","t.test.Significant.C.N","Log.2..ratio.A.N","Log.2..ratio.C.A","Log.2..ratio.C.N"
"F5H1E9;P49736;F5H3V0;H0Y8E6","+","+","+",0.87,0.84,1.72
"P25205","+","+","+",0.99,0.7,1.69
"O60318","+","+","+",2.48,-1.07,1.42
"P33991;E7EM48","+","","+",1.07,0.44,1.51
"P33992;B1AHB1;E7EQY5","+","","+",1.2,0.14,1.34
"Q14566","+","+","+",1.07,0.67,1.74
"P33993;F5H776;F5H4S2;A4D2A2","+","+","+",0.85,0.72,1.57
"Q9BTE3;Q9BTE3-2;Q9BTE3-3","+","","+",0.8,0.23,1.03
"Q6DN12;Q6DN12-2","","","+",-0.57,-1.06,-1.63
"Q9ULC4-3;Q9ULC4;Q9ULC4-2","","+","+",-0.19,1.31,1.12
"Q14676;E9PGY5;Q14676-2;E7EVA7;Q14676-3;F8VV34;F8VZP8;F8W1C2;F8VU38;Q14676-4","+","+","+",0.95,0.94,1.89
"P40925;F5H098","","","+",-0.25,-0.27,-0.52
"Q9NU22","+","+","",1.66,-0.77,0.89
"P48163;B4DZ70;F5H4W0","+","","",1.03,-0.67,0.36
"Q16798;E9PMB9;B7Z6V0","+","+","",1.68,-2.44,-0.76
"Q9HAF1-3;Q9HAF1;Q9HAF1-2;B1AK63","","","+",0.29,1.28,1.57
"Q03112-3;E7EQ57;Q03112;Q03112-5;E7EUL6","+","+","",1.15,-1.15,0
"P51608-2;P51608;F5H1U8","+","","",-0.7,0.03,-0.67
"Q9BV79;Q9BV79-2","+","+","",0.8,-1.09,-0.29
"Q15648;Q15648-3","+","","+",0.69,-0.06,0.63
"Q9BTT4","","","+",-0.07,0.88,0.81
"Q93074-2;Q93074;Q93074-3;F5H3Y1;H0Y7P1","+","","",0.8,-0.27,0.53
"O60244","","","+",0.64,0.27,0.91
"Q9BUE0","+","","",-1.69,1.41,-0.28
"Q15528;Q15528-2;Q5T8T8;E7EN96;Q5T8T7;E9PGW7","+","","",1.29,-0.29,1
"O75448;O75448-2;F8W9R9;F5H0K1;F5H5K2","","","+",0.96,0.53,1.49
"Q9NPJ6;E9PDW1;Q5T911;B4DX67","+","","",1.22,-0.31,0.91
"Q96G25-2;Q96G25;Q96G25-3","+","","",0.9,0.17,1.07
"Q14680;F5H689;F5H0Y0;F5H2R4","","","+",0.41,1.4,1.81
"O00255;O00255-2;E7EN32;O00255-3;E7ENY6","","+","",-0.66,1.64,0.98
"Q16819","+","","",-2.26,1.98,-0.28
"Q7L2J0","","+","+",0.59,0.75,1.34
"P08581;P08581-2","+","","+",1.05,0.17,1.23
"Q9UBP6","","+","+",0.64,0.82,1.46
"B5MDU2;Q5JPI9;E7EVF1;G3V238","+","","",0.55,-0.19,0.36
"Q86W50;B7Z3X7","+","","",1.08,-0.43,0.65
"Q6P1Q9;Q6P1Q9-2","","+","+",-0.35,0.98,0.62
"Q86U44;H0YFV6","+","+","",0.7,-0.65,0.05
"H0YI09;Q9H8H3;F8VQX6;B4DDW1","+","","+",-2.13,-0.3,-2.43
"P55081","+","+","+",1.51,-0.54,0.97
"A8MVM2;P55083","+","","+",-4.11,0.15,-3.96
"O95140;F5H6V5;A6NLD2;O95140-2","+","","",0.54,-0.36,0.17
"P26572;E7EPF6","+","","+",-0.99,-0.3,-1.29
"Q09328","+","","+",1.39,0.26,1.65
"O60502;E9PGF9;O60502-2;O60502-3","+","","+",0.79,0.2,1
"O14880","+","","",-1.69,0.51,-1.18
"Q5JRA6;G8JLC6;Q5JRA6-2","+","+","",0.6,-1.07,-0.47
"G8JLE6;Q8TDZ2-4;Q8TDZ2;Q8TDZ2-2","","","+",-0.45,-0.29,-0.74
"Q7RTP6;Q7RTP6-3;Q7RTP6-4;Q7RTP6-2","+","+","",0.42,-0.71,-0.28
"F6XEV2;Q9BPX6-3;Q9BPX6;E9PQV6;Q9BPX6-2;Q9BPX6-4;Q9BPX6-5","","+","",0.34,-0.75,-0.41
"P14174","+","+","",-0.8,1.05,0.24
"Q9UNW1;B4E394;F5H683","+","","",-1.07,0.29,-0.78
"Q99797","","+","",0.02,0.86,0.88
"P46013;F5H4V4","+","+","+",1.43,0.85,2.28
"Q9BYG3;E9PFS2","+","","+",1.1,0.46,1.55
"P40692;H0Y818;E9PCU2;H0Y3I0;B4DI13;E9PEB4","","","+",0.66,0.72,1.38
"Q8NB16;Q8NB16-2","","+","+",0.1,0.76,0.86
"O14686-3;O14686","","","+",0.39,0.91,1.3
"Q8NEZ4-3;Q8NEZ4;Q8NEZ4-2","+","","",0.92,-0.57,0.35
"P55196-5;P55196;A8MQ02;Q5TIG5;P55196-6;C9IYT9","+","+","",0.92,-0.6,0.32
"Q9BV36-2;Q9BV36;G5E9G5;B4DKW7","","+","+",-0.96,-2.11,-3.07
"Q9NYL2","","+","+",0.84,1.46,2.3
"E9PE45;P08253;B4DWH3","+","","",-0.9,0.66,-0.24
"P09237","+","","",1.13,-0.42,0.72
"P14780;F5GY52","","+","",-0.65,1.4,0.74
"Q9BU76-4;Q9BU76;Q9BU76-3;Q9BU76-2","+","","",1.52,-0.3,1.22
"P51948;G3V1U8","+","","+",1.83,-0.44,1.39
"P41218","","+","",-0.4,1.14,0.74
"Q96BX8","","+","+",-0.57,-1.1,-1.68
"O96007;E9PKT9","","+","",-0.77,1.04,0.27
"O95396","","+","+",0.4,1.09,1.5
"Q3SYC2;Q3SYC2-2","+","+","+",-1.08,-3.18,-4.26
"Q13724;F5H6D0;C9J8D4","+","","",-0.55,0.31,-0.23
"Q7Z3U7;Q7Z3U7-4;B9EGP5;F8VWA6;Q7Z3U7-2;F8W1Z6;F8VZV1","+","","+",-0.74,-0.08,-0.82
"E9PGS1;Q14149","+","","",0.75,-0.52,0.23
"B3KTM8;Q9UBU8-2;Q9UBU8;H0YLJ3;H0YMJ0;B7Z6R1","+","","",0.7,-0.23,0.47
"Q15014;Q5JXX3;Q5JXX2;Q5JXX1","","+","+",0.08,1.43,1.51
"Q8NHP6;Q8NHP6-2","","+","+",0.23,1.97,2.2
"Q9HCE1;Q5JR04;Q9HCE1-2;Q9H8T8","","","+",0.15,0.53,0.67
"P56378;G3V556;G3V5Q3","+","","",-1.09,0.34,-0.75
"O00566","+","","+",1.65,-0.31,1.34
"P34949;F5GX71;P34949-2;Q8NHZ6","","","+",-0.18,-0.62,-0.8
"P05164-3;P05164;P05164-2","","+","+",-0.46,2.68,2.23
"B9A001;Q9NZW5;B8ZZG1;C9J4Q3","+","","+",1.39,0.45,1.84
"Q5T2T1;B4DWL9","+","","",0.61,-0.53,0.08
"Q6WCQ1-2;Q6WCQ1;Q6WCQ1-3","+","+","",2.1,-1.2,0.9
"E7EWP3;P25189","+","","+",-2.04,0.06,-1.98
"O95297;O95297-2;O95297-4;O95297-3;Q9UEL6","","","+",-0.22,-0.42,-0.65
"P22897","+","","+",-1.38,-0.61,-1.99
"Q9UBG0","+","","",-1.17,0.64,-0.53
"P49959;B3KTC7;F8W7U8;P49959-2","+","","+",1.07,-0.06,1.01
"Q9NV56","","+","+",0.76,1.89,2.65
"Q9BV20;Q9BV20-2","","","+",0.36,0.63,0.98
"Q6IN84","+","","+",0.99,-0.05,0.94
"P49406","+","","",0.59,-0.27,0.32
"Q9P0M9;D6RAN8","+","","",1.11,-0.26,0.85
"Q13084;Q4TT38;A2IDC6;Q4TT37;A2IDC7","+","","",0.36,-0.31,0.05
"Q13405;H0YDP7","+","","",0.39,-0.4,-0.02
"Q96EL3","+","","",0.59,-0.36,0.23
"Q9Y676;Q5STN0","","+","",0.29,-0.45,-0.16
"Q9Y3D5;D6RCM2;H0YAG5","+","","",-1.14,1.28,0.14
"Q9Y2Q9;H0YAT2;E5RGC7","","+","",-0.73,1.1,0.37
"P82909","","+","+",-0.23,-1.09,-1.32
"Q9UKD2","+","+","+",0.91,0.65,1.55
"P43246;E9PHA6;E7EU21;E7EQQ1","+","+","+",0.97,0.6,1.56
"P20585;F5GXK1","+","","",0.64,-0.22,0.42
"P52701;B4DF41;F5H2F9;P52701-2;F5H769","+","","+",1.19,0.22,1.42
"Q68DK7;Q68DK7-2","+","","",1.12,-0.53,0.58
"Q15800;D6R952;D6RDP9","","+","+",-0.39,2.86,2.48
"P26038","+","","+",-0.85,-0.21,-1.06
"B4E0Y9;Q9P289;E7ERH7;Q8NBY1;C9JGW8;Q9P289-3","","+","+",0.11,1.09,1.2
"P13640","","+","+",-0.65,-2.23,-2.89
"Q13330-3;Q13330;E7ESY4;Q13330-2","+","","+",0.69,0.27,0.96
"O94776;Q68DB1","","+","+",0.1,0.68,0.77
"P00846","+","","",-1.27,-0.07,-1.35
"Q9NZJ7;Q9NZJ7-2;H0Y8C3;F8W7H0;Q5TDC2","+","","",-0.68,0.51,-0.17
"Q9Y6C9;E9PNT8","+","","",-0.54,0.57,0.03
"P00403","","","+",-0.58,-0.65,-1.23
"Q15390;E5RJS5;E7EP84;H0YBZ4","+","","",1.54,-0.57,0.97
"Q6UB35","+","+","+",1.14,1.17,2.32
"P13995;Q7Z650;B8ZZU9;B9A062","","+","",-0.18,1,0.81
"Q2M296;Q2M296-2;H0YGN7","","+","",-0.28,1.26,0.98
"Q9NXD2","+","","",0.64,-0.34,0.3
"P03915","+","","",-3.12,1.64,-1.48
"Q9NVV4","","","+",0.39,0.3,0.68
"P58546;C9JL85","+","","",-0.64,0.1,-0.54
"Q9ULD2;Q9ULD2-2;B4DH03;Q9ULD2-3;Q9ULD2-4","+","+","+",0.69,-1.59,-0.89
"Q9UKN1;F5GWV9","+","","",-1.95,1.1,-0.85
"Q9H3R2","+","+","",-1.28,2.47,1.19
"E7EUV1","+","+","+",-1.79,-2.82,-4.61
"E9PDY6;E7ENC5;E7ESK3;E7EWN1;Q99102-13;Q99102-12;E7ETT5;E7EQT2;E7EUL9;E7ERK0;E7EW47","+","","+",-1.41,-0.17,-1.57
"P98088","","+","",2.33,-3.72,-1.39
"Q96DR8;F8VV13","+","+","",-3.12,2.82,-0.3
"P22033","","+","+",0.11,-0.67,-0.56
"E5KP25;Q9UIF7;Q9UIF7-2;Q9UIF7-3;Q9UIF7-4;Q9UIF7-5;Q9UIF7-6;Q5T413;E9PM53;E9PMH1","+","","+",1.02,0.25,1.27
"P53602","+","+","",-0.92,0.98,0.06
"Q14764;E9PHL5","","","+",-0.32,-0.31,-0.63
"P20591;F8W8T1","+","","",-1.11,1.45,0.34
"P84157;P84157-3;F8W875","+","","+",-1.84,0.33,-1.51
"P10242-4;E9PNL6;E9PNA4;F8W8G5;P10242;P10242-2;E9PLZ5;E9PRS2;P10242-6;Q708E1;E9PLN0;E9PJF1;E9PQQ2;E9PI07;E9PPL8;Q708E3;E9PKZ3;E9PN43;E9PNH6;P10242-5;E9PN92;E9PIW4;E9PMZ0;E9PJ96;P10242-3;Q708E6;E9PJT2;E9PMQ0","","+","",0.7,-0.92,-0.22
"Q9BQG0-2;Q9BQG0","+","","+",1.62,0.39,2.01
"P35749;Q3MNF1","","+","+",-0.52,-2.08,-2.59
"Q7Z406-6;Q7Z406-2;Q7Z406;G8JLL9;F2Z2U8;Q7Z406-4;F2Z2U9;Q7Z406-5;F2Z2S7","+","+","",1.61,-2.03,-0.43
"P35579;P35579-2","+","+","+",0.68,-1.6,-0.92
"O14950;P19105","+","","+",-0.74,0.13,-0.6
"G3V1V0;P60660;P60660-2;F8W1R7;F8VZV5;G3V1Y7","","+","+",-0.18,-0.48,-0.66
"P14649;F8W1I5","","","+",0.07,1.63,1.69
"P24844;Q9BUF9","+","","+",-1.53,-0.3,-1.83
"Q15746;Q15746-6;Q15746-2;Q15746-3;Q15746-4;Q15746-5;Q15746-7;B4DUE3","+","+","+",-1.02,-0.94,-1.96
"Q96JP2","","+","+",0.25,1.61,1.86
"Q92614;Q92614-4;F8W6U1;Q92614-3;Q92614-2;Q92614-5;F8W6Y3;E9PQN8","+","+","",0.76,-0.96,-0.2
"Q9UBC5;F5GWY8;G3V342","+","+","+",-1.13,-1.07,-2.2
"O43795;E9PDF6;O43795-2","+","","",0.51,-0.64,-0.14
"O94832","","+","",0,-0.72,-0.71
"O00160;H0Y2Q6","+","","",-0.82,-0.04,-0.86
"B0I1T2;B0I1T2-4","+","","+",-1.52,0.16,-1.36
"F8W6H6;Q9Y4I1-3;G3V394;Q9Y4I1;F8WE88;Q9Y4I1-2;E7ERV5","","+","+",-0.18,-0.94,-1.12
"Q9ULV0","+","+","",0.42,-0.89,-0.47
"Q9NQX4","+","+","+",1.17,-2.08,-0.91
"E7EW20;Q9UM54-6;Q9UM54;Q9UM54-1;Q9UM54-4;Q9UM54-2;Q9UM54-5","+","+","",0.73,-0.92,-0.19
"C9J6C0;Q6PIF6;Q6PIF6-2;B9A063","","+","+",-0.16,-1.45,-1.61
"Q9NZM1;F8W8J4;Q9NZM1-6;Q9NZM1-2;Q9NZM1-5","+","+","",1.01,-1.49,-0.49
"Q8NFW9;G3XAI8;Q32M42;B7Z2H1;Q32M41","","","+",-0.25,-1.47,-1.72
"B8ZZ87;Q6NZ67","+","","",-1.28,1.02,-0.26
"Q9Y5N5;Q9Y5N5-2","","","+",0.74,0.81,1.55
"P41227;A6NM98;C9JN83;A8MWP7;F8W808;Q6P4J0","","+","+",0.14,0.57,0.71
"Q9BXJ9;F5H5A7;Q9BXJ9-4","","+","+",0.11,0.6,0.7
"Q6N069;Q6N069-2;Q6N069-3;Q6N069-4","","+","+",-0.34,1.08,0.75
"P61599;A8MZB2","","+","+",0.26,1.42,1.68
"Q14CX7;Q14CX7-2","","+","+",0.34,0.77,1.11
"O95777;C9JNV3;F2Z2Y6;C9JIZ0","","","+",0.32,0.33,0.66
"Q86UY6;B4DR03;F5H2C9","","+","+",0.12,1.66,1.78
"E7EQ69;B0AZT5","","+","+",0.3,0.58,0.88
"Q6IA69;B3KUU4","+","","",-1.28,0.35,-0.93
"A6NCK0;Q13564;A6NFN4;A8MU28","+","","+",0.73,-0.1,0.64
"P17050","","+","+",-0.56,-0.62,-1.18
"Q9UJ70;C9JEV6","+","","+",-0.62,-0.17,-0.79
"P54802;H0Y3D8","+","","",-1.69,0.74,-0.95
"P43490","","+","+",0.12,0.84,0.96
"Q9NR45","+","+","+",-0.78,-0.7,-1.48
"B7Z9C2;F8VV59;B3KV44;F8W118;F8VRJ2","","+","+",-0.17,1.62,1.46
"P54920","+","","",-0.68,0.24,-0.44
"Q9H115;B4DK44;B4DGP9;Q4G0M0","+","","",-1.48,0.85,-0.63
"Q99747;B4DFC9","","+","",0.38,-1.03,-0.65
"Q96I59;G3V178","","","+",0.36,0.22,0.59
"P49321;P49321-3;F5H3J2;B4DS57","","","+",0.49,0.4,0.88
"P18440","","","+",-0.17,-0.66,-0.83
"Q9H0A0;E7ESU4;E9PMN9","+","","+",1.49,-0.11,1.39
"A2RRP1;A2RRP1-2","","+","",0.13,-0.49,-0.37
"Q6ZS30;C9JGK5;Q6ZS30-1;D1MPS9","+","+","+",-0.58,-0.77,-1.35
"Q6ZNJ1;Q6ZNJ1-3;Q6ZNJ1-2;H0Y764","+","+","",1.11,-0.72,0.4
"O60934;F5H3R2","+","","+",0.81,-0.01,0.81
"P13591;P13591-1;P13591-4;P13591-3;P13591-5;E9PLH7;P13591-6","+","","+",-2.32,-1.35,-3.67
"Q15021;F5GZJ1;F6SSY4;E7EN77","","+","+",-0.17,1.92,1.75
"P42695;G3V1A9","+","","+",1.2,0.55,1.75
"Q9BPX3","","+","+",0.17,1.83,1.99
"Q86XI2;Q86XI2-2;H0Y6U5;E7EUH9;F5H7R2;B4DHE5","+","","+",1.37,0.99,2.35
"Q15003;E9PHA2;C9J470;B4E189","","+","+",0.1,1.17,1.27
"Q09161","","+","+",0.29,0.81,1.1
"P52298;E9PAR5","","","+",0.44,0.43,0.87
"A6NI72;P14598;P14598-2","+","","+",-1.09,-0.17,-1.26
"P16333","","","+",-0.22,-0.17,-0.39
"P55160;B4DUT5;F8W050","+","","+",-1.26,-0.68,-1.94
"P19338;E7EX81;Q9BQ02","+","","+",0.73,0.24,0.97
"Q969V3;Q969V3-2","","+","",-0.22,0.48,0.26
"Q15596;E7EWM1","+","+","",1.29,-0.81,0.48
"Q9HCD5","+","","+",0.76,0.52,1.28
"O75376;O75376-2;E7EVK1","+","+","",1.11,-1,0.11
"Q9Y618;Q9Y618-3;C9JFD3;C9JJF6;Q9Y618-4;C9J0Q5;Q9Y618-5;C9J239;C9JE98;C9J7T7;C9JQE8","+","","",1.04,-0.32,0.72
"Q92542;Q92542-2;F6Y097;E7ENA9","+","","+",0.99,0.15,1.14
"Q9NXR1;Q9NXR1-2","+","","",0.88,-0.1,0.78
"Q92597;E9PDL6;B7Z446;B3KR80;B7Z505;F5H654;E7ESM1","","+","+",-0.17,-0.5,-0.67
"Q9UN36;B4DE86;Q9UN36-2;G3V3N4;Q9UN36-3;Q9UN36-5;Q9UN36-4;G3V4S9;H0YJT9;G3V578;G3V5H8;G3V5L7","","+","+",-0.73,-1.48,-2.21
"Q5TH30;Q9UGV2;Q9UGV2-2;Q9UGV2-3;F8WBF9;B7Z341","","+","",-1.1,1.59,0.48
"E7ESZ7;C9JGP9;O95299;Q8WXC9","","","+",-0.61,-0.52,-1.13
"Q86Y39;C9JT23;Q86Y39-2","+","","+",-1.66,0.21,-1.45
"Q9UI09;F8VRD8","+","","+",-1.23,-0.13,-1.36
"Q9P0J0;E7ENQ6","+","","",-0.88,-0.01,-0.88
"O43678;D6RJD6","","","+",-0.39,-0.69,-1.08
"O95167","+","","+",-1.97,-0.4,-2.37
"Q16718;Q5H9R2;C9IZN5;F8WAS3","+","","+",-1.04,0.04,-1
"P56556","","+","+",-0.1,-0.72,-0.82
"O95182","","","+",-0.91,-0.64,-1.55
"P51970;F5H7V7","","","+",-0.66,-0.3,-0.95
"Q16795","+","","",-1.33,0.63,-0.7
"Q9P032","+","","",0.39,-0.26,0.13
"O96000;Q96II6","","","+",-0.49,-0.11,-0.6
"O43676;C9JKQ2","+","","+",-1.6,0.48,-1.12
"O95168;C9JXQ9;B2RUY3;F2Z3P9","+","","+",-1.26,-0.3,-1.55
"O43674;E7EWP0;O43674-2;H0Y886","","","+",-0.45,-0.4,-0.85
"P17568","","+","",0.31,-1,-0.69
"O95169;Q5W145;Q5W143;E9PQ68;E9PME4","","","+",-0.87,-0.54,-1.41
"Q9Y6M9;E9PH64;E9PF49;E7EWZ0","+","","+",-1.04,-0.14,-1.18
"O95298;E9PRB2;E9PQ53;E9PM14","","","+",-0.62,-0.35,-0.97
"P28331;B4DUC1;E7ENF3;B4DPG1;B4DJ81","+","","+",-0.99,-0.21,-1.2
"O75306","+","","",-1.45,0.64,-0.81
"O75489","+","","",-0.78,0.1,-0.68
"O43181","","","+",-0.9,-0.66,-1.56
"O43920","","+","+",0,-1.51,-1.5
"P49821;G3V0I5;P49821-2;E7ETQ4","+","","+",-1.26,0.07,-1.2
"E7EPT4;P19404","+","","+",-1.08,-0.2,-1.28
"G3V3F1","+","","",0.87,-0.09,0.78
"Q96PU5;Q96PU5-7;Q96PU5-5;Q96PU5-2;Q96PU5-6;Q96PU5-3;Q96PU5-8;Q96PU5-4;Q3LSM7;F5H602","","","+",-0.73,-0.04,-0.78
"Q7Z3B1;B4DI94","+","","+",-1.82,-0.07,-1.89
"P51956;Q6ZN64;P51956-2;F8VS47;G3V202","","","+",0.55,0.68,1.23
"Q8TDX7","+","","",-0.88,0.29,-0.59
"Q8TD19;B3KY50","+","+","",0.38,-0.76,-0.39
"Q92859;B7ZKN0;B7ZKM9;Q92859-2;E7EUX3;H0YNI3","+","+","",0.78,-1.06,-0.28
"Q99519;E9PIF4","","+","",-1.28,2.04,0.75
"P21359;P21359-2;H0Y465;P21359-4","+","","+",0.96,0.19,1.15
"E9PHR7;A2RRB4;O94916;O94916-3;O94916-2","+","","+",1.64,0.34,1.98
"Q14938-3;Q14938-5;F8W8H9;Q14938;C9JSM5;Q14938-4;C9JWJ8;Q14938-2;F5H5Z3","+","","",0.87,-0.41,0.46
"Q00653-4;Q00653;Q00653-3","+","","",0.71,-0.33,0.38
"Q6P4R8-2;Q6P4R8;Q6P4R8-3;E9PQ59","+","+","",-0.77,0.7,-0.07
"Q9Y697;Q9Y697-2;F5GYK5;F2Z2E7","+","","+",0.44,0.15,0.59
"Q12986;Q12986-2;Q12986-3;F5GXD0","+","","",0.63,-0.3,0.33
"Q6ZNB6;Q6ZNB6-2","+","","",0.74,-0.27,0.47
"Q13952;Q13952-3;E9PF96;B4DUS6;Q13952-2;F8VWM3;Q5T6K5;Q5T6K9;E9PI99;Q5T6K7;E9PIG7;B4DW63;E9PL11","","+","",0,0.36,0.36
"Q8NEJ9;Q8NEJ9-2;H0YJ17","+","","+",1.47,0.04,1.51
"Q96IV0;Q96IV0-2;B4DJE9;Q96IV0-3","","+","+",-0.06,-0.82,-0.88
"Q6T4R5","","","+",0.65,0.48,1.13
"P14543;P14543-2","","","+",-0.56,-0.55,-1.11
"Q14112;Q14112-2;E7EPP3;H0YJV3;H0Y3N6","+","","+",-1.06,-0.13,-1.18
"Q9Y221;Q9Y221-2","","+","",-0.9,3.28,2.37
"Q6KC79;Q6KC79-2","+","","",0.47,-0.13,0.33
"Q86X76-3;Q86X76;Q86X76-4;Q86X76-2;B1AQP4","+","","+",-0.76,-0.15,-0.91
"Q8N5F7;Q5M9Q1","+","","",1.37,0.2,1.57
"G3V1N1;O15226","+","+","+",1.02,1.36,2.38
"Q9BYT8;F8W713;E9PCB6","+","","+",0.97,0.41,1.38
"Q9NX02;Q9NX02-2;Q9NX02-4;Q9NX02-3","+","","+",-2.52,0.34,-2.18
"C9JA08;Q96D46;F5GYG3;B4DKU1","+","+","+",0.67,0.79,1.46
"Q32Q12;P22392-2","","+","",-0.16,0.46,0.3
"F6XY72","+","+","",-2.99,2.7,-0.29
"Q13232","+","","",-1.02,0.11,-0.92
"O75414;C9JQB1;C9J9V6;O75414-2","+","","",1.2,-0.41,0.79
"Q9C002;H0YKW5","+","+","+",-1.2,-1.6,-2.81
"P30419;P30419-2","+","+","",-0.66,1.36,0.7
"P40261","","+","",-0.76,1.07,0.31
"Q13423","+","","",-0.63,0.01,-0.62
"Q9H6W3;Q9H6W3-2","+","","",1.1,-0.41,0.69
"Q8NC60","+","","",0.9,-0.43,0.47
"Q9ULX3","","","+",0.33,1.01,1.34
"Q9Y3T9","+","","+",2.05,-0.24,1.81
"A6NJZ9;Q8WTT2;F5H677","+","+","+",2.57,-0.89,1.69
"Q9BVI4","+","","+",1.8,0.27,2.07
"Q9H8H0;B7Z5V9","+","","+",1.41,0.33,1.74
"Q9H6R4;Q9H6R4-4;G8JLK7;Q9H6R4-2;F5H6M7;Q9H6R4-3","+","","+",1.17,0.35,1.52
"Q9UMY1","+","","+",1.02,0.4,1.42
"Q76FK4;A6NJK7;Q76FK4-4;F5H101;F8WE42;Q76FK4-2;Q76FK4-3;F5GWN9","+","","",1.44,-0.23,1.22
"Q5SY16","+","","+",1.08,-0.22,0.86
"Q14978-2;Q14978-3;Q14978","+","","+",1.51,0.13,1.64
"Q5C9Z4","+","","",1.17,-0.7,0.48
"Q5JPE7;Q5JPE7-2;Q4G177","+","","",0.51,-0.13,0.38
"Q15233;F5GYZ3;C9JYS8","+","+","+",0.59,0.36,0.95
"Q9NPE3","+","","",1.31,0.13,1.45
"P78316;P78316-2;E9PFK5;F5H653","+","","+",2.65,-0.32,2.33
"Q9Y3C1;D6RGD3;E7ERV7;D6RIC3","+","+","+",0.85,0.89,1.74
"Q3KQS4;P46087;P46087-2;Q05BA7","+","","+",1.63,0.33,1.96
"O00567;H0YDU4","+","","+",1.67,-0.34,1.33
"Q9Y2X3","+","","+",1.5,-0.25,1.25
"Q9Y314","","+","+",-0.07,1.23,1.16
"E7EPT9;Q8IVI9;Q8IVI9-2;Q8IVI9-3","","+","",0.44,-1.78,-1.34
"Q9Y5S8;A6NGA6;Q9Y5S8-3","","","+",0.74,0.64,1.38
"O15118;F5GZD4;B4DET3","+","","",1.34,-0.65,0.69
"G3V3D1;E7EMS2;G3V3E8;P61916;H0YIZ1;B4DQV7;G3V2V8","+","","+",-1.21,0.21,-0.99
"P55786;E9PLK3;B7Z463;F5H6U8;F5H0W3","+","+","",-0.53,0.35,-0.18
"P06748;Q9BYG9","+","","+",0.52,0.38,0.9
"O75607","","","+",2.25,1.01,3.26
"O95478","+","","+",1.03,0.88,1.91
"Q15738;C9JDR0","","+","",-0.09,1.12,1.03
"P46459;F5H2E1","","+","+",-0.14,-0.59,-0.72
"Q8WV22","+","","",1.21,-0.28,0.93
"Q08J23;B4DQW2","+","","+",0.49,0.41,0.9
"Q96P11-2;C9JJU9;B4DP79;Q96P11;G3V0G9","+","","+",0.93,0.54,1.47
"Q8TEA1","","+","+",0.26,0.85,1.11
"Q8TCD5","","","+",-0.29,-0.34,-0.62
"C9JKC4;Q969T7","","","+",0.3,0.42,0.73
"E9PAL9;Q9H857;Q9H857-2;C9JTZ6;Q9H857-3;Q9H857-4","","+","",-0.51,1.26,0.74
"P21589;B3KQI8;H0Y7R7","","+","+",-0.39,1.41,1.02
"P21675-4;P21675-3;B1Q2X3;P21675-2;P21675","+","","",1.37,-0.13,1.24
"P78549","+","","+",1.12,0.11,1.23
"Q9Y5Y2","+","","+",-1.62,0.63,-0.99
"Q8TB37;B4DWB0;Q8TB37-2;F8W0A2","+","","",0.56,-0.73,-0.17
"Q02818","+","","+",-0.48,-0.17,-0.65
"P80303;P80303-2;E7EV42;E9PKG6;E9PLE9;E9PLR0","+","","+",-0.84,-0.66,-1.5
"Q9H1E3;Q9H1E3-2","+","+","",-0.98,1.46,0.48
"Q9Y266","","","+",0.26,0.53,0.79
"Q96RS6","+","","+",0.97,0.59,1.56
"Q8IVD9","","","+",0.36,0.61,0.97
"P36639;P36639-3;P36639-4","","","+",0.27,0.5,0.77
"Q96DE0;F5GYJ1;E9PED4","+","","+",-1.35,0.72,-0.63
"Q9BRJ7;Q9BRJ7-2","+","","",-1.03,0.7,-0.33
"A8MXV4","","+","",-0.26,1.29,1.04
"P50583","+","+","",1.97,-2.01,-0.04
"O43809;Q5HYH5","+","+","",-1.11,1.77,0.66
"O95989","","+","",-0.6,0.97,0.37
"P53370;P53370-2","","+","+",-0.19,-1.64,-1.83
"Q9BW91;Q9BW91-2;D6RAW2","+","","",-0.49,-0.05,-0.54
"Q14980","+","+","",1.86,-1.79,0.07
"P49757;P49757-3;P49757-2;P49757-4;B1P2N5;B1P2N6;B1P2N7;B1P2N8;G3V3Z8","","+","+",0.17,-1.05,-0.88
"P57740;B4DZ67","+","","+",1.4,-0.41,0.99
"Q8WUM0;F5H5C2;A6NGS4;Q5T8N1","+","","+",0.92,-0.12,0.79
"P49790;F6QR24;Q4LE47","+","","+",1.44,-0.3,1.14
"O75694;B4DLT2;O75694-2;E9PF10","+","","+",0.86,0.16,1.03
"Q12769;G3V198;E9PR16","+","","+",1.24,-0.02,1.22
"Q5SRE5;F8W973;Q5SRE5-2","+","","+",0.54,0.15,0.69
"Q92621","+","","+",1.07,-0.06,1.01
"Q8TEM1;Q8TEM1-2","+","","+",0.99,0.6,1.59
"P35658;P35658-2;P35658-5;P35658-3;P35658-4;Q5JUP9;F5H131","+","+","+",1.08,-0.47,0.61
"Q8NFH5;B4DYB4;B4DP57","+","","+",0.71,0.04,0.76
"Q8NFH4;F8VTY2","+","","+",0.71,0.21,0.92
"Q8NFH3;B4E2F0","+","","+",0.72,0.47,1.19
"Q7Z3B4;B4DT35;E7EUM5","+","","+",0.7,0,0.69
"P37198","+","","+",0.77,-0.04,0.73
"Q9BW27;B4DMQ3;B4DPW1;F5H0B4","+","","+",0.97,0.07,1.04
