Swiss.ID,Gene,AD.NC.FC,AD.NC.FDR,AC.AD.FC,AC.AD.FDR,AC.NC.FC,AC.NC.FDR
Q96CB9,NSUN4,1.88,0.013,0.46,0.001,0.86,0.395
Q13057,COASY,1.89,0.025,0.65,0.005,1.22,0.296
Q9NX95,SYBU,1.91,0.247,0.53,0,1.02,0.951
Q9Y3D9,MRPS23,2.06,0.03,0.57,0.005,1.18,0.478
Q02978,SLC25A11,2.12,0.144,0.6,0.007,1.28,0.314
Q96C57,C12orf43,2.38,0.036,0.55,0.002,1.31,0.216
Q8N2F6,ARMC10,2.38,0.016,0.6,0.002,1.43,0.056
Q9HBL0,TNS1,2.43,0.042,0.51,0.006,1.23,0.333
P82970,HMGN5,2.82,0.086,0.65,0.008,1.84,0.113
P61160,ACTR2,0.69,0,1.51,0,1.04,0.756
P01024,C3,0.69,0,1.77,0,1.23,0
Q71DI3,HIST2H3A,0.69,0.003,1.7,0,1.17,0.414
P02647,APOA1,0.69,0,2.07,0,1.43,0
P0C0L4,C4A,0.69,0,1.67,0,1.15,0.034
P00747,PLG,0.7,0,3.64,0,2.54,0
P49585,PCYT1A,0.71,0.001,1.6,0,1.14,0.124
Q00341,HDLBP,0.75,0,1.62,0,1.21,0.018
P35579,MYH9,0.76,0,1.98,0,1.5,0
P18085,ARF4,0.77,0.006,1.69,0,1.31,0.001
Q8TEM1,NUP210,0.78,0,1.9,0,1.48,0
P11387,TOP1,0.81,0,1.75,0,1.41,0
P37268,FDFT1,0.83,0.002,2.05,0,1.7,0
P49327,FASN,0.85,0.009,1.7,0,1.45,0
P35580,MYH10,0.92,0.006,1.85,0,1.7,0
P17844,DDX5,1.14,0,1.64,0,1.86,0
P02751,FN1,1.17,0,3.33,0,3.88,0
P05164,MPO,1.22,0,3.76,0,4.58,0
P11388,TOP2A,1.22,0,2.33,0,2.85,0
O60506,SYNCRIP,1.24,0.001,1.53,0,1.9,0
O14979,HNRPDL,1.3,0.001,1.73,0,2.24,0
P50454,SERPINH1,1.31,0.002,2.6,0,3.4,0
P20042,EIF2S2,1.35,0,1.57,0,2.12,0
P35659,DEK,1.36,0,1.55,0,2.11,0
P19338,NCL,1.4,0,1.89,0,2.65,0
P05026,ATP1B1,0.67,0,0.56,0,0.37,0
P36871,PGM1,0.67,0,0.65,0,0.44,0
Q9H8H3,METTL7A,0.68,0,0.57,0,0.39,0
P80365,HSD11B2,0.69,0,0.2,0,0.14,0
Q16134,ETFDH,0.72,0.007,0.48,0,0.34,0
P01871,IGHM,0.73,0,0.57,0,0.41,0
P24043,LAMA2,0.75,0,0.54,0,0.4,0
Q96LZ7,FAM82A1,0.83,0.001,0.52,0.001,0.43,0
P28331,NDUFS1,0.83,0,0.59,0,0.49,0
Q9ULV0,MYO5B,0.91,0,0.63,0,0.58,0
Q16891,IMMT,1.11,0,0.64,0,0.71,0
P49748,ACADVL,1.14,0,0.41,0,0.47,0
P35749,MYH11,1.14,0,0.61,0,0.7,0
P12111,COL6A3,1.15,0,0.62,0,0.71,0
P00367,GLUD1,1.16,0.005,0.58,0,0.67,0
P51608,MECP2,1.17,0.007,0.66,0,0.77,0.019
O94826,TOMM70A,1.18,0,0.65,0,0.76,0
Q9GZM7,TINAGL1,1.19,0.001,0.64,0,0.76,0
Q8NE86,CCDC109A,1.19,0.006,0.6,0,0.72,0
Q9Y512,SAMM50,1.2,0.001,0.62,0,0.75,0
Q9BPX6,CBARA1,1.2,0.006,0.6,0,0.72,0
P24752,ACAT1,1.21,0,0.61,0,0.74,0.001
Q6NVY1,HIBCH,1.22,0.009,0.53,0,0.65,0
Q99996,AKAP9,1.22,0.006,0.56,0,0.68,0
P05166,PCCB,1.23,0,0.53,0,0.65,0
Q9H490,PIGU,1.23,0,0.56,0,0.69,0.018
Q13505,MTX1,1.24,0,0.65,0,0.8,0.001
P05165,PCCA,1.24,0.002,0.56,0,0.7,0
Q9UIS9,MBD1,1.25,0.004,0.65,0,0.82,0.021
Q9Y4W6,AFG3L2,1.25,0.002,0.43,0,0.53,0
P22695,UQCRC2,1.25,0.001,0.46,0,0.57,0
Q8IYU8,EFHA1,1.25,0,0.59,0,0.74,0
Q49A26,GLYR1,1.26,0,0.58,0,0.73,0
Q14315,FLNC,1.27,0,0.59,0,0.74,0
P23786,CPT2,1.28,0.003,0.52,0,0.67,0
P83111,LACTB,1.28,0.007,0.63,0,0.81,0.071
O95831,AIFM1,1.28,0,0.62,0,0.79,0
O94905,ERLIN2,1.28,0,0.66,0,0.84,0
Q8IXM3,MRPL41,1.29,0.001,0.66,0,0.86,0.111
P22830,FECH,1.3,0,0.48,0,0.62,0.002
Q9H9J2,MRPL44,1.3,0.001,0.63,0.001,0.82,0.047
P22392,NME2,1.3,0.002,0.51,0,0.67,0.003
P09622,DLD,1.31,0,0.59,0,0.77,0
P35232,PHB,1.31,0,0.63,0,0.83,0.001
P01842,IGLC1,1.32,0.009,0.61,0,0.81,0
P22570,FDXR,1.32,0.007,0.54,0,0.72,0.037
P16219,ACADS,1.33,0.001,0.32,0,0.42,0
Q9UHQ9,CYB5R1,1.33,0,0.5,0,0.66,0.005
Q8N4A0,GALNT4,1.33,0.001,0.54,0,0.72,0
P23229,ITGA6,1.35,0,0.65,0,0.88,0.011
Q9HBL7,C9orf46,1.37,0,0.45,0,0.62,0
Q9NQ50,MRPL40,1.38,0.005,0.6,0,0.82,0.059
P07305,H1F0,1.38,0,0.43,0,0.59,0
O75390,CS,1.39,0,0.65,0,0.91,0.192
Q8TAE8,GADD45GIP1,1.39,0.002,0.56,0,0.78,0.005
Q5SSJ5,HP1BP3,1.4,0,0.55,0,0.77,0.006
Q9Y6N5,SQRDL,1.4,0,0.42,0,0.59,0
Q8N5N7,MRPL50,1.4,0.003,0.66,0,0.92,0.607
Q15124,PGM5,1.4,0.007,0.38,0,0.53,0
Q76MJ5,ERN2,1.41,0,0.5,0,0.71,0
Q96E11,MRRF,1.42,0.001,0.57,0,0.8,0.001
P54868,HMGCS2,1.42,0,0.38,0,0.54,0
Q9NZN4,EHD2,1.43,0,0.48,0,0.68,0
Q9GZY8,MFF,1.43,0.004,0.52,0,0.74,0.026
P11182,DBT,1.44,0,0.41,0,0.59,0
Q6NZI2,PTRF,1.44,0,0.47,0,0.68,0
P30084,ECHS1,1.44,0,0.63,0,0.9,0.177
Q9BUR5,APOO,1.44,0,0.56,0,0.81,0
P99999,CYCS,1.45,0,0.56,0,0.81,0.002
P11310,ACADM,1.45,0,0.59,0,0.85,0.017
Q8NFV4,ABHD11,1.46,0.002,0.56,0,0.81,0.108
Q4G176,ACSF3,1.47,0.001,0.47,0,0.68,0.001
P21796,VDAC1,1.47,0,0.6,0,0.89,0.009
P11171,EPB41,1.47,0,0.47,0,0.69,0.002
Q99623,PHB2,1.48,0,0.65,0,0.96,0.523
Q96EY1,DNAJA3,1.48,0,0.64,0,0.95,0.402
Q9UJS0,SLC25A13,1.48,0,0.64,0,0.96,0.467
Q9P0P8,C6orf203,1.49,0.004,0.54,0.001,0.8,0.005
Q9NR28,DIABLO,1.49,0.003,0.53,0,0.79,0.049
Q7KZN9,COX15,1.5,0,0.66,0,0.99,0.839
Q6PI48,DARS2,1.5,0,0.52,0,0.78,0.017
Q96EY8,MMAB,1.5,0,0.47,0,0.7,0
Q14CN2,CLCA4,0.15,0.105,3.4,0.007,0.5,0.117
O14967,CLGN,0.24,0.137,5.96,0.002,1.44,0.679
P20592,MX2,0.42,0.013,1.8,0.003,0.76,0.359
Q969X1,TMBIM1,0.53,0.026,1.7,0,0.89,0.509
Q8TE68,EPS8L1,0.55,0.19,2.03,0.007,1.11,0.592
Q14624,ITIH4,0.6,0.375,3,0.005,1.79,0.302
P19827,ITIH1,0.6,0.174,4.35,0.006,2.62,0.013
P15153,RAC2,0.62,0.117,2.7,0,1.67,0.143
P82094,TMF1,0.63,0.544,1.78,0.01,1.12,0.864
P02774,GC,0.66,0.362,2.63,0.001,1.74,0.303
O00469,PLOD2,0.68,0.042,3.03,0,2.05,0.013
Q14195,DPYSL3,0.68,0.012,2.11,0.001,1.45,0.105
P53597,SUCLG1,0.69,0.12,1.66,0.007,1.15,0.565
P08603,CFH,0.7,0.054,2.79,0.003,1.96,0.005
A0AV96,RBM47,0.71,0.058,1.85,0,1.31,0.051
P68431,HIST1H3A,0.73,0.018,2.08,0,1.52,0.006
Q9Y5Y2,NUBP2,0.75,0.124,2.28,0.01,1.71,0.125
P21589,NT5E,0.76,0.012,2.1,0,1.6,0
P01011,SERPINA3,0.76,0.089,2.09,0.002,1.59,0.008
Q12913,PTPRJ,0.77,0.26,2.49,0.003,1.91,0.053
Q96D15,RCN3,0.78,0.111,3.79,0.001,2.95,0.289
Q14694,USP10,0.78,0.033,1.78,0,1.39,0.002
Q99867,TUBB4Q,0.78,0.032,1.52,0.001,1.19,0.139
P04003,C4BPA,0.79,0.04,4.86,0,3.82,0
O43175,PHGDH,0.79,0.249,2.15,0,1.71,0.013
Q13459,MYO9B,0.8,0.063,1.83,0.001,1.47,0.029
O00170,AIP,0.8,0.155,1.56,0,1.26,0.107
Q13951,CBFB,0.8,0.074,1.62,0.008,1.31,0.039
P46734,MAP2K3,0.82,0.01,1.97,0.009,1.62,0.09
P13639,EEF2,0.82,0.015,1.55,0,1.27,0
P43487,RANBP1,0.83,0.185,1.66,0.007,1.38,0.237
Q16880,UGT8,0.83,0.304,1.86,0.001,1.55,0.159
Q99615,DNAJC7,0.84,0.299,1.67,0.005,1.4,0.208
Q15185,PTGES3,0.84,0.203,1.56,0.003,1.31,0.228
P05107,ITGB2,0.84,0.236,2.06,0,1.73,0
