Accession.No.,Gene.Symbol,UniProt,Log2.I.N,Log2.II.N
IPI00017292,CTNNB1,Q8NEW9;A8K1L7;Q8NI94;Q9H391;P35222,NA,4.25
IPI00182469,CTNND1,Q9UP71;Q9UP72;Q9UP73;O60714;Q7KZJ3;Q6RBX8;Q68DU0;O60713;O60716;Q96FS1;O60715;O15088;Q6DHZ7;O60935;A8K939,NA,1.97
IPI00295741,CTSB,Q8TAC7;Q96D87;Q5HYG5;P07858;B3KQR5;Q503A6;B3KRR5;Q6LAF9,1.35,1.28
IPI00297487,CTSH,Q6IBC3;Q68D46;Q9BUM7;B2RBK0;P09668;Q96NY6;Q6LAF8,1.76,NA
IPI00002745,CTSZ,Q9UQV5;Q9UQV6;Q9UBR2;Q5U000;B2RC40;O75331,NA,-1.7
IPI00551024,DAK,Q9UFX5;Q3LXA3;Q9BVA7;Q9H895;Q2L9C1;Q53EQ9,NA,2.89
IPI00216951,DARS,Q53R85;A8K3J2;Q32Q69;P14868;Q9BW52;Q53HV4;Q2TNI3;Q68CR9;Q53YC5;Q53T60,NA,4.5
IPI00300567,DCI,Q7Z2L7;A8K512;Q7Z2L6;P42126;Q9BW05;Q9BUB8;Q13290;Q9UDG6;Q96DC0,0.79,NA
IPI00010896,DDAH2,O00299;Q502X1;Q53FB0;Q15089;Q5SRT3,1.35,NA
IPI00017617,DDX5,B5BU21;Q7Z2V5;Q53Y61;O75681;Q59E92;P17844,NA,4.01
IPI00465084,DES,Q8IZR6;Q45VM8;Q8TD99;Q45VM7;Q45VM6;Q549R8;Q8NES2;Q549R7;Q9GZR6;Q8NEU6;Q8TCX2;Q2PUK1;Q5RLN1;Q5RLN0;Q8IZR1;Q5RLN2;Q8TAC4;Q15787;Q9UJ80;Q9UHN5;P17661;Q549R9;Q9H319;Q53SB5,-2.79,-4.43
IPI00003269,DKFZp686D0972,Q562X8;B2RPJ1;Q562R2;Q562S9;Q562R1,NA,2.65
IPI00032406,DNAJA2,O14711;O60884;B2R7L7;Q9P1B8,NA,3.2
IPI00059476,DPEP1,P16444;Q96AK2;Q6I9V1,NA,5.23
IPI00013933,DSP,Q6ZP16;B2RTT2;P15924;O75993;Q4LE79;Q9UHN4;Q14189,NA,2.68
IPI00062037,DYNLL2,Q96FJ2;B2R5B4,2.06,NA
IPI00019495,DYNLT1,Q5VTU4;P63172;Q15763,1.1,3.83
IPI00292858,ECGF1,A8MW15;Q8WVB7;P19971;B2RBL3;Q13390,NA,2.82
IPI00396485,EEF1A1,Q96CD8;Q6IPT9;Q96RE1;Q96C29;Q53G89;Q6NSH7;Q14222;Q53G85;Q16577;Q53GE9;Q5JR01;P04720;Q8TBL1;Q53HR1;Q6IPN6;Q6IQ15;Q53HM9;Q9H2I7;Q53HR5;P68104;Q5VTE0;Q96EB3;Q2F837;Q6IPS9;Q53GA1;Q8IUB0;Q9NZS6;Q6P082;Q6NS35;Q6P4C9;P04719;Q53HQ7;Q504Z0,NA,1.12
