Accession.No.,Gene.Symbol,UniProt,Log2.I.N,Log2.II.N
IPI00419942,TPSB2,P20231;Q6B051;Q9UQI1;Q6NZY1;Q86TM8;Q9UQI7;P15157;Q9UQI6;O95827;Q9H2Y4;Q15664;Q6B052;Q15663;Q96RZ7;Q6FHB8;Q9H2Y5;Q96RZ6;Q15661;Q86UA5,NA,-2.17
IPI00009943,TPT1,Q96EE2;P13693;Q86YH5;Q7Z4J4;Q6YLS2;Q9UC70;Q8TBK7;Q5W0H4;B2R7E5,NA,3.28
IPI00030275,TRAP1,Q53G55;Q5CAQ4;Q53FS6;Q59EK6;Q9BV61;O43642;Q9UHL5;Q8N9Z3;Q12931;O75235,2.93,4.44
IPI00438229,TRIM28,Q7Z632;O00677;Q93040;Q96IM1;Q13263,NA,3.89
IPI00218343,TUBA1C,Q9BQE3;Q8N532;Q53GA7,NA,2.2
IPI00007750,TUBA4A,P68366;P05215;B3KNQ6,1.25,NA
IPI00011654,TUBB,NA,1.58,2.21
IPI00007752,TUBB2C,Q96HX0;Q8IWP6;Q8IZ29;P05217;P68371;Q8N6N5;A2BFA2,NA,1.15
IPI00023598,TUBB4,Q969E5;P04350;B3KQP4,NA,1.02
IPI00027107,TUFM,P49411;O15276,0.8,1.02
IPI00550917,TWF2,Q9HD68;Q9HD69;C3W5P5;Q9NYC3;B3Y661;Q9NYC2;Q9HD70;Q6UVZ2;Q9NR96,4.91,NA
IPI00401264,TXNDC4,Q6UW14;O60319;Q4VXC1;Q8WX67;Q5VWZ7;Q9BS26,NA,1.61
IPI00645078,UBE1,Q5JRS0;Q712V1;Q5JRR9;Q5JRR8;Q5JRR6;P22314;Q8WY81;Q96E13,NA,1.99
IPI00003949,UBE2N,Q16781;Q53Y81;P61088,NA,0.85
IPI00019599,UBE2V1,Q9GZT0;Q9UM50;Q9GZW1;A5PLL7;Q5TGE1;Q5TGE3;Q5TGE2;Q13532;Q9H4J4;Q9UM48;Q9UM49;Q96H34;Q9H4J3;Q13404;Q9UKL1;Q13403,NA,1.6
IPI00011250,UCHL3,Q6IBE9;B2R970;Q5TBK8;P15374,1.5,1.48
IPI00329331,UGP2,Q16851;Q07131;Q0P6K2;Q9BU15;Q86Y81;Q53QE9,-1.06,-1.76
IPI00305383,UQCRC2,B3KSN4;Q9BQ05;P22695,-1.86,NA
IPI00026964,UQCRFS1,P47985;P0C7P4;Q9UPH2;A8K519;Q6NVX5,NA,-1.83
IPI00024664,USP5,P45974;Q96J22,0.77,NA
IPI00334159,VBP1,Q6FH24;Q5JT81;Q15765;B2R8L5;Q86X96;P61758;O55228,NA,1.29
IPI00291175,VCL,Q5SWX2;P18206;Q5JQ13;Q16450;B3KXA2;Q8IXU7;Q7Z3B8,-0.56,-0.5
IPI00022774,VCP,Q969G7;Q2TAI5;Q0V924;Q9NTC4;Q9HAP0;Q0IIN5;Q9HAP1;B2R5T8;Q96IF9;P55072,NA,1.39
IPI00216308,VDAC1,B3KVK4;Q9UPL0;Q5FVE7;Q9UIQ5;P21796,NA,1.61
IPI00024145,VDAC2,Q6IB40;Q9Y5I6;Q7L3J5;Q5VWK3;Q5JSD2;P45880;Q5JSD1;Q9BWK8;Q5VWK1,NA,1.41
IPI00216026,VDAC2,Q6IB40;Q9Y5I6;Q7L3J5;Q5VWK3;Q5JSD2;P45880;Q5JSD1;Q9BWK8;Q5VWK1,NA,1.55
IPI00031804,VDAC3,Q9UIS0;Q9Y277,NA,0.97
IPI00218852,VIL1,Q53F91;B2R9A7;Q96AC8;Q53S11;P09327,NA,1.78
IPI00746388,VIL2,NA,1.85,2.41
IPI00031655,VPS25,B2R581;Q9BRG1,NA,5.05
IPI00170796,VPS29,Q9NRP1;Q9UBQ0;Q9H0W0;Q6FIF8;Q8N0S8;Q502Y5;Q9NRU7;Q6IAH3;Q5JPE4,NA,2.54
IPI00295400,WARS,A6NID3;Q53XB6;A6NGN1;Q502Y0;Q9UDL3;P78534;Q9UDI5;P78535;P23381,2,3.13
IPI00220834,XRCC5,Q0Z7V0;Q7M4N0;A8K3X5;Q53T09;Q53TC2;Q4VBQ5;Q9UCQ1;P13010;Q9UCQ0;Q53HH7,2.46,1.73
IPI00465430,XRCC6,NA,NA,1.69
IPI00216319,YWHAH,Q9H4N8;Q04917,NA,2.24
IPI00018146,YWHAQ,P27348;Q53S41;Q5TZU8;Q9UP48;Q567U5;Q53RR5,NA,4.7
IPI00021263,YWHAZ,Q2F831;Q86V33;Q6NUR9;Q6LD62;A8K1N0;Q6GPI2;Q6P3U9;P29213;Q5XJ08;Q32P43;Q6IN74;D0PNI1;P29312;P63104,NA,2.54
IPI00029647,ZG16,B9EK72;O60844;B2R4Z3,NA,-4.02
