Accession,Gene.Symbol,Entry,"Entry name",,Fold.change,P.value
IPI00013163,MNDA,P41218,MNDA_HUMAN,,15.01,0.000265
IPI00026970,SUPT16H,Q9Y5B9,SP16H_HUMAN,,8.1,0.000277
IPI00299547,LCN2,P80188,NGAL_HUMAN,,5.58,0.000292
IPI00017617,DDX5,P17844,DDX5_HUMAN,,6.48,0.000403
IPI00295663,CELA3A,P09093,CEL3A_HUMAN,,-9.18,0.000451
IPI00031008,TNC,P24821,TENA_HUMAN,,6.4,0.000489
IPI00007175,NIP7,Q9Y221,NIP7_HUMAN,,Inf,0.000513
IPI00843910,FUCA1,P04066,FUCO_HUMAN,,-5.98,0.000522
IPI00000846,CHD4,Q14839,CHD4_HUMAN,,7.36,0.000556
IPI00031519,DNMT1,P26358,DNMT1_HUMAN,,11.55,0.00057
IPI00028357,XPO4,Q9C0E2,XPO4_HUMAN,,15.1,0.000581
IPI00010720,CCT5,P48643,TCPE_HUMAN,,5.46,0.000582
IPI00012340,SRSF9,Q13242,SRSF9_HUMAN,,10.6,0.000649
IPI00012645,SPTBN2,O15020,SPTN2_HUMAN,,Inf,0.000667
IPI00032292,TIMP1,P01033,TIMP1_HUMAN,,Inf,0.00072
IPI00026944,NID1,P14543,NID1_HUMAN,,Inf,0.000737
IPI00013871,RRM1,P23921,RIR1_HUMAN,,Inf,0.000781
IPI00386533,EIF4G1,Q04637,IF4G1_HUMAN,,6.74,0.000806
IPI00010949,SIAE,Q9HAT2,SIAE_HUMAN,,-9.77,0.000846
IPI00149849,COG4,Q9H9E3,COG4_HUMAN,,Inf,0.000851
IPI00002894,POLD1,P28340,DPOD1_HUMAN,,16.24,0.00088
IPI00221106,SF3B2,Q13435,SF3B2_HUMAN,,14.13,0.00091
IPI00414909,NAGA,P17050,NAGAB_HUMAN,,-16.48,0.000921
IPI00015905,EXOSC2,Q13868,EXOS2_HUMAN,,Inf,0.000954
IPI00031517,MCM6,Q14566,MCM6_HUMAN,,10.66,0.000973
IPI00216694,PLS3,P13797,PLST_HUMAN,,10.48,0.00099
IPI00218407,ALDOB,P05062,ALDOB_HUMAN,,15.81,0.00104
IPI00556369,SMG1,Q96Q15,SMG1_HUMAN,,Inf,0.00105
IPI00909083,GSPT1,P15170,ERF3A_HUMAN,,16.56,0.0011
IPI00479786,KHSRP,Q92945,FUBP2_HUMAN,,5.95,0.0011
IPI00015953,DDX21,Q9NR30,DDX21_HUMAN,,27.44,0.00116
IPI00022246,AZU1,P20160,CAP7_HUMAN,,36.62,0.00119
IPI00296907,ACOX1,Q15067,ACOX1_HUMAN,,-37.04,0.00121
IPI00334907,PITPNB,P48739,PIPNB_HUMAN,,5.44,0.00127
IPI00021085,PGLYRP1,O75594,PGRP1_HUMAN,,17.13,0.0014
IPI00297572,AQR,O60306,AQR_HUMAN,,11.67,0.0014
IPI00011274,HNRPDL,O14979,HNRDL_HUMAN,,7.23,0.00141
IPI00293331,POP1,Q99575,POP1_HUMAN,,Inf,0.00147
IPI00332828,CES2,O00748,EST2_HUMAN,,-7.51,0.00151
IPI00007927,SMC2,O95347,SMC2_HUMAN,,29.71,0.00162
IPI00011592,DYNC1LI2,O43237,DC1L2_HUMAN,,Inf,0.00164
IPI00003927,PPID,Q08752,PPID_HUMAN,,Inf,0.00166
IPI00002926,VPS37B,Q9H9H4,VP37B_HUMAN,,Inf,0.00176
IPI00012497,ADRBK1,P25098,ARBK1_HUMAN,,Inf,0.00179
IPI00746351,DIS3,Q9Y2L1,RRP44_HUMAN,,6.99,0.00182
IPI00031960,POLR1A,O95602,RPA1_HUMAN,,9.36,0.00184
IPI00026952,PKP3,Q9Y446,PKP3_HUMAN,,13.25,0.00187
IPI00856120,LARP1B,Q659C4,LAR1B_HUMAN,,12.77,0.00201
IPI00027769,ELANE,P08246,ELNE_HUMAN,,17.28,0.00206
IPI00012035,CD46,P15529,MCP_HUMAN,,Inf,0.00208
IPI00419979,PAK2,Q13177,PAK2_HUMAN,,14.98,0.0021
IPI00303207,ABCE1,P61221,ABCE1_HUMAN,,13.77,0.0021
IPI00872664,USP14,P54578,UBP14_HUMAN,,5.5,0.00219
IPI00294879,RANGAP1,P46060,RAGP1_HUMAN,,14.23,0.00225
IPI00013862,DTYMK,P23919,KTHY_HUMAN,,Inf,0.00232
IPI00329692,NMT1,P30419,NMT1_HUMAN,,Inf,0.00232
IPI00037283,DNM1L,O00429,DNM1L_HUMAN,,5.64,0.00233
IPI00008922,IFITM2,Q01629,IFM2_HUMAN,,Inf,0.00238
IPI00304754,FERMT1,Q9BQL6,FERM1_HUMAN,,7.47,0.0024
IPI00396203,TBCD,Q9BTW9,TBCD_HUMAN,,8.15,0.00243
IPI00009071,LOC100505793/SRSF10,O75494,SRS10_HUMAN,,6.59,0.00244
IPI00008934,HMGCS2,P54868,HMCS2_HUMAN,,-5.45,0.00252
IPI00022827,SLK,Q9H2G2,SLK_HUMAN,,5.71,0.00254
IPI00008240,MARS,P56192,SYMC_HUMAN,,5.57,0.00264
IPI00217013,SMEK1,Q6IN85,P4R3A_HUMAN,,Inf,0.00267
IPI00023824,FBLN2,P98095,FBLN2_HUMAN,,5.75,0.00286
IPI00306322,COL4A2,P08572,CO4A2_HUMAN,,26.45,0.00304
IPI00018452,CPNE1,Q99829,CPNE1_HUMAN,,6.15,0.00322
IPI00329719,MYO1D,O94832,MYO1D_HUMAN,,-7.6,0.00338
IPI00293303,LGMN,Q99538,LGMN_HUMAN,,-7.14,0.00345
IPI00007163,LSM7,Q9UK45,LSM7_HUMAN,,Inf,0.00349
IPI00005154,SSRP1,Q08945,SSRP1_HUMAN,,6.77,0.00349
IPI00002745,CTSZ,Q9UBR2,CATZ_HUMAN,,-6.58,0.00352
IPI00007401,IPO8,O15397,IPO8_HUMAN,,Inf,0.00355
IPI00429538,YPEL5,P62699,YPEL5_HUMAN,,Inf,0.0037
IPI00030116,PGM3,O95394,AGM1_HUMAN,,5.69,0.00374
IPI00162563,RNF40,O75150,BRE1B_HUMAN,,10.82,0.00378
IPI00244391,XDH,P47989,XDH_HUMAN,,-6.94,0.00383
IPI00029764,SF3A3,Q12874,SF3A3_HUMAN,,8.44,0.00388
IPI00023344,SYMPK,Q92797,SYMPK_HUMAN,,9.33,0.00443
IPI00375441,FUBP1,Q96AE4,FUBP1_HUMAN,,5.36,0.00468
IPI00005613,U2AF1,Q01081,U2AF1_HUMAN,,Inf,0.00469
IPI00025874,RPN1,P04843,RPN1_HUMAN,,-12.82,0.00478
IPI00299254,EIF5B,O60841,IF2P_HUMAN,,5.42,0.00479
IPI00179953,NASP,P49321,NASP_HUMAN,,20.16,0.00481
IPI00027701,ACADS,P16219,ACADS_HUMAN,,-6.35,0.00482
IPI00414320,ANXA11,P50995,ANX11_HUMAN,,Inf,0.00504
IPI00178431,RECQL,P46063,RECQ1_HUMAN,,6.32,0.00515
IPI00073958,CNRIP1,Q96F85,CNRP1_HUMAN,,-11.46,0.00524
IPI00029601,CTTN,Q14247,SRC8_HUMAN,,5.38,0.00532
IPI00013683,TUBB3,Q13509,TBB3_HUMAN,,6.56,0.0055
IPI00022433,HSPB6,O14558,HSPB6_HUMAN,,-5.79,0.00555
IPI00002147,CHI3L1,P36222,CH3L1_HUMAN,,16.23,0.00562
IPI00646105,PYCRL,Q53H96,P5CR3_HUMAN,,Inf,0.00567
IPI00298057,PPL,O60437,PEPL_HUMAN,,22.14,0.0058
IPI00173346,PGM2L1,Q6PCE3,PGM2L_HUMAN,,20.53,0.0059
IPI00373869,C17orf49,Q8IXM2,BAP18_HUMAN,,7.77,0.00632
IPI00012895,CA12,O43570,CAH12_HUMAN,,-5.26,0.00633
IPI00290184,METTL1,Q9UBP6,TRMB_HUMAN,,Inf,0.00656
IPI00016179,S100A13,Q99584,S10AD_HUMAN,,19.67,0.00665
IPI00299635,BIRC6,Q9NR09,BIRC6_HUMAN,,5.7,0.0069
IPI00100292,NPEPL1,Q8NDH3,PEPL1_HUMAN,,17.88,0.00691
IPI00026689,CDK1,P06493,CDK1_HUMAN,,18.27,0.00724
IPI00217405,UBR1,Q8IWV7,UBR1_HUMAN,,6.82,0.0075
IPI00296353,ARHGAP18,Q8N392,RHG18_HUMAN,,Inf,0.00761
IPI00009027,REG1A,P05451,REG1A_HUMAN,,7.65,0.00778
IPI00292532,CAMP,P49913,CAMP_HUMAN,,8.54,0.00788
IPI00008994,NDRG2,Q9UN36,NDRG2_HUMAN,,-5.44,0.00797
IPI00409601,RALGAPB,Q86X10,RLGPB_HUMAN,,Inf,0.00816
IPI00554590,RAB3GAP2,Q9H2M9,RBGPR_HUMAN,,5.58,0.00823
IPI00414127,RANBP1,P43487,RANG_HUMAN,,5.64,0.0085
IPI00001458,KNTC1,P50748,KNTC1_HUMAN,,20.56,0.00855
IPI00221394,DKC1,O60832,DKC1_HUMAN,,9.65,0.00855
IPI00028064,CTSG,P08311,CATG_HUMAN,,9.76,0.00874
IPI00016613,CSNK2A1,P68400,CSK21_HUMAN,,16.9,0.009
IPI00013455,CLIP1,P30622,CLIP1_HUMAN,,8.11,0.00904
IPI00012493,RPS20,P60866,RS20_HUMAN,,8,0.00971
IPI00783378,UBE2O,Q9C0C9,UBE2O_HUMAN,,19.11,0.00978
IPI00002203,BCCIP,Q9P287,BCCIP_HUMAN,,Inf,0.00981
IPI00291783,GEMIN5,Q8TEQ6,GEMI5_HUMAN,,Inf,0.00981
IPI00019196,RPP30,P78346,RPP30_HUMAN,,Inf,0.00981
IPI00056386,LOH12CR1,Q969J3,L12R1_HUMAN,,Inf,0.00988
IPI00020965,UBE2H,P62256,UBE2H_HUMAN,,Inf,0.00997
IPI00465045,DIP2B,Q9P265,DIP2B_HUMAN,,15.33,0.0102
IPI00607591,RAP1GDS1,P52306,GDS1_HUMAN,,6.75,0.0103
IPI00291802,LMO7,Q8WWI1,LMO7_HUMAN,,6.19,0.0104
IPI00004273,RBM25,P49756,RBM25_HUMAN,,16.65,0.0105
IPI00221234,ALDH7A1,P49419,AL7A1_HUMAN,,6.63,0.0105
IPI00000684,UAP1,Q16222,UAP1_HUMAN,,5.04,0.011
IPI00295485,HSPA4L,O95757,HS74L_HUMAN,,10.1,0.0111
IPI00014197,CDV3,Q9UKY7,CDV3_HUMAN,,8.6,0.0115
IPI00411559,SMC4,Q9NTJ3,SMC4_HUMAN,,9.34,0.0119
IPI00024320,RBM3,P98179,RBM3_HUMAN,,12.1,0.0119
IPI00604756,NRBP1,Q9UHY1,NRBP_HUMAN,,14.5,0.0122
IPI00418797,POLR1B,Q9H9Y6,RPA2_HUMAN,,14.5,0.0122
IPI00019812,PPP5C,P53041,PPP5_HUMAN,,15.07,0.0122
IPI00291560,ARG1,P05089,ARGI1_HUMAN,,20.42,0.013
IPI00008475,HMGCS1,Q01581,HMCS1_HUMAN,,16.85,0.0131
IPI00027722,CELA2A,P08217,CEL2A_HUMAN,,-5.93,0.014
IPI00896504,GNE,Q9Y223,GLCNE_HUMAN,,8.28,0.0146
IPI00182728,VPS4B,O75351,VPS4B_HUMAN,,15.29,0.0147
IPI00296713,GRN,P28799,GRN_HUMAN,,-15.9,0.0151
IPI00304808,KLK1,P06870,KLK1_HUMAN,,-15.85,0.0152
IPI00303258,LMCD1,Q9NZU5,LMCD1_HUMAN,,8.5,0.0157
IPI00000015,SRSF4,Q08170,SRSF4_HUMAN,,Inf,0.0162
IPI00251559,RNF20,Q5VTR2,BRE1A_HUMAN,,5.35,0.0163
IPI00006952,LACTB2,Q53H82,LACB2_HUMAN,,5.31,0.0164
IPI00041325,NHP2,Q9NX24,NHP2_HUMAN,,7.91,0.0165
IPI00607714,C17orf28,Q8IV36,HID1_HUMAN,,15.22,0.0166
IPI00645702,CTPS2,Q9NRF8,PYRG2_HUMAN,,13.53,0.0169
IPI00289807,TRNT1,Q96Q11,TRNT1_HUMAN,,5.8,0.0175
IPI00375462,SREK1,Q8WXA9,SREK1_HUMAN,,Inf,0.0176
IPI00025158,STAG1,Q8WVM7,STAG1_HUMAN,,Inf,0.0176
IPI00299512,NF1,P21359,NF1_HUMAN,,7.52,0.0179
IPI00024083,NAAA,Q02083,NAAA_HUMAN,,-5.32,0.018
IPI00746613,VPS13A,Q96RL7,VP13A_HUMAN,,-7.15,0.0183
IPI00396174,CCDC25,Q86WR0,CCD25_HUMAN,,8.1,0.0185
IPI00006378,CCDC72,Q9Y2S6,TMA7_HUMAN,,13.69,0.0189
IPI00291093,POLR2E,P19388,RPAB1_HUMAN,,13.11,0.0189
IPI00019178,PSPH,P78330,SERB_HUMAN,,12.87,0.019
IPI00006725,DDX23,Q9BUQ8,DDX23_HUMAN,,7.46,0.0191
IPI00215893,HMOX1,P09601,HMOX1_HUMAN,,-5.33,0.0192
IPI00031681,CDK2,P24941,CDK2_HUMAN,,13.51,0.0197
IPI00005780,OGT,O15294,OGT1_HUMAN,,5.99,0.0207
IPI00011062,CPS1,P31327,CPSM_HUMAN,,7.69,0.021
IPI00299524,NCAPD2,Q15021,CND1_HUMAN,,13.54,0.0211
IPI00385267,SRPR,P08240,SRPRA_HUMAN,,7.19,0.0214
IPI00743284,MTR,Q99707,METH_HUMAN,,-6.08,0.0221
IPI00184871,C6orf130,Q9Y530,OARD1_HUMAN,,12.64,0.0222
IPI00012426,SCPEP1,Q9HB40,RISC_HUMAN,,-8.67,0.0223
IPI00103483,COBRA1,Q8WX92,NELFB_HUMAN,,7.17,0.0224
IPI00060143,FAM3D,Q96BQ1,FAM3D_HUMAN,,-11.44,0.0237
IPI00023845,KLK6,Q92876,KLK6_HUMAN,,9.2,0.0237
IPI00003919,QPCT,Q16769,QPCT_HUMAN,,12.42,0.0237
IPI00384028,PAPOLA,P51003,PAPOA_HUMAN,,12.03,0.0258
IPI00301395,CPVL,Q9H3G5,CPVL_HUMAN,,-6.33,0.0258
IPI00219344,HPCAL1,P37235,HPCL1_HUMAN,,7.1,0.0258
IPI00024163,POLR3A,O14802,RPC1_HUMAN,,6.11,0.026
IPI00873137,COL1A2,P08123,CO1A2_HUMAN,,13.58,0.0265
IPI00025039,FBL,P22087,FBRL_HUMAN,,12.43,0.0265
IPI00009826,CPB1,P15086,CBPB1_HUMAN,,-5.04,0.0275
IPI00024719,HAT1,O14929,HAT1_HUMAN,,5.83,0.0281
IPI00009104,RUVBL2,Q9Y230,RUVB2_HUMAN,,5.64,0.03
IPI00012369,MAD2L1,Q13257,MD2L1_HUMAN,,11.3,0.0314
IPI00016736,PLCG1,P19174,PLCG1_HUMAN,,6.49,0.0316
IPI00014263,EIF4H,Q15056,IF4H_HUMAN,,11.85,0.0316
IPI00304589,TNKS1BP1,Q9C0C2,TB182_HUMAN,,5.74,0.0322
IPI00294578,TGM2,P21980,TGM2_HUMAN,,10.77,0.0324
IPI00418426,CNNM4,Q6P4Q7,CNNM4_HUMAN,,-8.56,0.0327
IPI00329213,INPP5D,Q92835,SHIP1_HUMAN,,10.83,0.0331
IPI00010304,SERPINB10,P48595,SPB10_HUMAN,,6.74,0.0332
IPI00296528,ANXA10,Q9UJ72,ANX10_HUMAN,,8.39,0.0333
IPI00025347,EMG1,Q92979,NEP1_HUMAN,,10.73,0.0362
IPI00410091,C11orf73,Q53FT3,HIKES_HUMAN,,6.85,0.0366
IPI00292150,LTBP2,Q14767,LTBP2_HUMAN,,6.15,0.0367
IPI00470891,CSDE1,O75534,CSDE1_HUMAN,,6.86,0.0369
IPI00168554,SRXN1,Q9BYN0,SRXN1_HUMAN,,6,0.037
IPI00021301,ASPA,P45381,ACY2_HUMAN,,-5.58,0.0377
IPI00024129,PPIC,P45877,PPIC_HUMAN,,-5.67,0.0377
IPI00216088,CRABP2,P29373,RABP2_HUMAN,,5.56,0.0405
IPI00828098,RNF213,Q63HN8,RN213_HUMAN,,6.28,0.0415
IPI00011898,EIF2B5,Q13144,EI2BE_HUMAN,,6.29,0.0415
IPI00181391,MGEA5,O60502,OGA_HUMAN,,7.38,0.0419
IPI00022664,RABGGTA,Q92696,PGTA_HUMAN,,7.38,0.0419
IPI00552920,EXOSC8,Q96B26,EXOS8_HUMAN,,6.39,0.042
IPI00399183,APOBR,Q0VD83,APOBR_HUMAN,,-9.42,0.0432
IPI00008301,DEFA6,Q01524,DEF6_HUMAN,,7.23,0.0434
IPI00154451,MMS19,Q96T76,MMS19_HUMAN,,5.75,0.0457
IPI00014938,SARNP,P82979,SARNP_HUMAN,,5.78,0.0465
IPI00028564,GBP1,P32455,GBP1_HUMAN,,5.27,0.0465
IPI00008730,SCGN,O76038,SEGN_HUMAN,,-10.22,0.0467
IPI00027142,POP7,O75817,POP7_HUMAN,,9.45,0.0469
IPI00006504,EIF2B3,Q9NR50,EI2BG_HUMAN,,9.41,0.0471
IPI00019463,EIF2AK2,P19525,E2AK2_HUMAN,,9.84,0.0474
IPI00333776,NRCAM,Q92823,NRCAM_HUMAN,,9.3,0.0475
IPI00552073,DHX16,O60231,DHX16_HUMAN,,6.1,0.0475
IPI00150269,PRPF4,O43172,PRP4_HUMAN,,7.46,0.0483
IPI00302151,CCDC87,Q9NVE4,CCD87_HUMAN,,-5.24,0.0488
IPI00301143,PI16,Q6UXB8,PI16_HUMAN,,-7.77,0.0489
IPI00011528,CSTF1,Q05048,CSTF1_HUMAN,,9.87,0.0489
IPI00514234,LAD1,O00515,LAD1_HUMAN,,7.22,0.0493
IPI00000057,COG2,Q14746,COG2_HUMAN,,6.09,0.0494
