"UniProt Accession","Primary Gene","LoS log2 FC","HiS log2 FC","LoT log2 FC","HiT log2 FC","Signif. LoS","Signif. HiS","Signif. LoT","Signif. HiT"
D4GQK7,atpD2,-1.327,-0.481,0.584,-1.799,1,0,0,1
D4GQW3,HVO_A0286,-0.562,-0.12,0.796,-0.799,0,0,1,1
D4GQW8,HVO_A0291,-0.477,0.395,0.881,-0.234,0,0,1,0
D4GR18,amaB3,-0.667,-1.185,0.631,-0.539,0,1,1,0
D4GR87,boa6,-0.255,-0.529,0.164,-0.875,0,0,0,1
D4GRB6,arsB4,-0.853,-0.407,1.164,-1.186,1,1,1,1
D4GRT8,HVO_A0630,-0.707,-0.505,0.918,-1.038,1,1,1,1
D4GRW2,HVO_0421,-0.24,-0.006,0.22,0.201,1,0,1,1
D4GS10,thrC1,-0.355,-0.296,0.179,-0.505,1,1,0,1
D4GSS7,HVO_1819,-0.545,-0.735,0.54,-0.541,0,1,1,0
D4GSU0,HVO_1832,-0.629,-0.726,0.273,-1.571,0,0,0,1
D4GSZ8,oadhB3,-1.226,-0.964,-0.071,-1.163,1,1,0,1
D4GSZ9,oadhA3,0.018,0.241,1.346,-0.478,0,0,1,0
D4GT24,HVO_0685,-1.057,-1.465,0.23,-1.705,1,1,0,1
D4GT26,HVO_0687,-0.928,-0.889,0.901,-1.077,1,1,1,1
D4GT74,dtdA,-1.264,-0.79,0.523,-0.4,1,1,1,0
D4GTA2,rnhA2,-0.908,-0.673,0.163,-1.687,1,1,0,1
D4GTD4,tif2c,-0.133,-0.186,0.189,-0.192,0,1,0,0
D4GTX2,HVO_2540,-0.824,-0.544,0.484,-1.448,1,1,1,1
D4GU69,agl13,-1.017,-1.003,0.057,-1.231,1,1,0,1
D4GUH4,acaB1,-0.11,-0.024,0.26,-0.036,0,0,1,0
D4GUL6,gltB,-0.946,-1.32,0.64,-1.124,1,1,1,1
D4GUQ2,tpiA2,-2.059,-1.808,0.536,-0.817,1,1,0,0
D4GUR7,HVO_2120,-0.433,0.413,0.8,-0.312,0,0,1,0
D4GUS4,HVO_2127,-3.218,-3.219,0.479,-3.453,1,1,1,1
D4GUW0,mmcA1,-0.167,-0.071,0.637,-0.063,0,0,1,0
D4GV42,thiE,-0.806,-0.369,0.267,-0.628,1,0,0,1
D4GW20,dapF,-0.674,-0.517,0.064,-1.172,1,1,0,1
D4GW34,alaS2,-0.945,-0.052,0.865,-0.656,1,0,1,1
D4GW39,gar1,-0.628,-0.785,0.183,-1.234,1,1,1,1
D4GW84,ndk,-0.043,-0.388,1.27,-0.266,0,1,1,0
D4GWH7,entB1,-0.144,-0.204,0.033,-0.312,0,0,0,1
D4GWI9,HVO_2340,-0.863,-0.618,-0.11,-1.107,1,1,0,1
D4GWM2,phoU2,-0.351,-0.288,0.171,-0.632,1,1,1,1
D4GWQ1,gcvT,-0.171,0.213,0.708,0.153,0,0,1,0
D4GWQ9,HVO_2412,-0.384,-0.046,0.363,-0.441,0,0,0,1
D4GWW2,acd3,-0.404,-0.167,0.495,-0.456,1,0,1,1
D4GX15,HVO_2793,-0.265,-0.238,0.095,-0.25,1,1,1,1
D4GXG6,HVO_1313,-0.441,-0.257,0.432,-0.611,1,0,1,1
D4GXI1,HVO_2871,-0.003,0.307,0.758,-0.18,0,0,1,0
D4GXK0,pelA,-0.691,-0.374,0.322,-0.447,1,0,0,0
D4GXR8,HVO_1369,-1.092,-1.651,1.634,-1.228,0,1,1,0
D4GY92,metY2,-0.394,-0.402,0.655,-0.123,1,1,1,0
D4GYC6,oapC,0.602,-0.14,1.598,0.251,1,0,1,0
D4GYG7,aglE,-0.184,-0.162,0.598,-0.53,0,0,1,0
D4GZ31,ssuC,-0.549,-0.937,0.186,-0.982,0,1,0,1
D4GZ33,aspC1,-0.439,-0.318,0.02,-0.714,1,1,0,1
O07118,endA,-0.701,-0.967,0.378,-0.675,1,1,1,1
D4GP87,HVO_B0085,-0.76,-1.314,-0.105,-1.223,0,1,0,1
D4GQ26,tenA1,-0.13,-2.866,1.242,-1.931,0,1,1,1
D4GQT0,HVO_A0251,0.198,-1.874,-0.296,-0.607,0,1,1,1
D4GRP9,HVO_A0589,0.31,-0.878,0.538,-0.141,0,1,1,0
D4GRR1,nosL2,-0.09,-0.811,0.761,-0.109,0,1,1,0
D4GRW3,HVO_0422,-0.635,-1.743,0.275,-0.855,0,1,0,1
D4GRY5,udg3,0.034,-1.218,-0.219,-0.72,0,1,0,1
D4GS16,HVO_0476,-0.751,-3.056,-0.349,-1.387,1,1,1,1
D4GS47,mptD,-2.167,-2.726,-0.849,-2.444,1,1,1,1
D4GS86,mtfK3,0.152,-1.759,-0.035,-0.953,1,1,0,1
D4GSF9,malE,-0.656,-1.376,0.214,-1.836,0,1,0,1
D4GSI1,HVO_0586,-0.404,-1.347,-0.409,-0.679,1,1,1,1
D4GSM6,HVO_2423,-0.025,-0.745,0.596,-0.656,0,1,1,1
D4GSQ7,guaAa1,-0.114,-2.373,0.496,-1.433,0,1,1,1
D4GST5,rps6e,0.242,-1.081,0.328,-0.537,1,1,1,1
D4GT28,HVO_0688,-1.301,-2.695,-0.415,-2.162,1,1,1,1
D4GT80,rps17e,-0.777,-3.27,-0.313,-1.707,1,1,1,1
D4GT98,rosR,-0.136,-1.957,0.848,-0.406,0,1,0,0
D4GTC9,rps24e,0.866,-1.236,1.306,0.249,1,1,1,1
D4GTI7,pdaD,0.114,-1.862,-0.397,-1.149,0,1,1,1
D4GTK8,pus10,-0.007,-0.752,0.142,-0.205,0,1,0,1
D4GTN4,HVO_2006,-0.057,-2.141,0.305,-1.3,0,1,0,0
D4GTY5,rpl24,-0.21,-1.253,0.198,-1.099,1,1,1,1
D4GTY9,rpl29,-0.309,-2.589,0.188,-1.226,1,1,1,1
D4GU86,HVO_2073,-0.069,-0.693,-0.098,-0.372,0,1,0,1
D4GUD9,deoC,-0.509,-0.898,0.414,-0.289,1,1,1,1
D4GVK4,tatAo,-0.585,-2.795,0.199,-1.077,1,1,0,1
D4GVS3,ginS,-0.415,-0.837,0.081,-0.446,0,1,0,0
D4GVT8,ppiA,0.5,-0.465,1.15,0.065,1,1,1,0
D4GVV8,tif2b2,-0.26,-1.282,0.288,-1.24,1,1,1,1
D4GW44,rpl37e,-0.673,-2.001,-0.018,-2.087,0,0,0,1
D4GWD2,HVO_1166,-0.984,-1.315,-0.452,-1.306,1,1,1,1
D4GWH6,HVO_2327,-0.756,-1.237,-0.191,-0.681,1,1,0,1
D4GWJ0,HVO_2341,-0.248,-1.021,0.147,-0.622,0,1,0,1
D4GWJ8,HVO_2349,-0.542,-1.019,-0.242,-1.055,1,1,0,1
D4GWM1,rps8e,-0.432,-1.766,-0.287,-1.224,1,1,1,1
D4GWR3,tatD,-0.63,-0.951,0.011,-0.55,0,1,0,1
D4GX12,HVO_2791,-0.173,-1.218,0.199,-0.549,0,1,0,1
D4GX17,HVO_2796,0.134,-0.337,0.059,-0.3,0,1,0,1
D4GX52,HVO_1249,0.048,-0.424,0.429,-0.018,0,0,1,0
D4GXD8,adk2,-0.016,-0.228,0.04,-0.26,0,1,0,1
D4GXH2,HVO_2867,-0.001,-1.062,0.385,-0.187,0,1,1,0
D4GXN6,mutY1,-0.353,-0.929,0.155,-0.811,1,1,0,1
D4GXR0,HVO_2907,-0.202,-0.603,-0.08,-0.524,0,0,0,1
D4GXU3,nac,-0.075,-1.139,0.227,-0.35,0,1,1,1
D4GXX8,mc1B,-0.306,-2.402,0.439,-0.398,0,1,1,1
D4GXY2,pyrD,-0.087,-0.221,0.125,-0.168,0,1,0,0
D4GY08,HVO_2955,-0.327,-0.481,-0.025,-0.42,1,1,0,1
D4GY47,HVO_1443,-0.087,-0.386,-0.37,-0.365,0,0,0,1
D4GY64,HVO_2982,-0.255,-1.987,0.435,-0.126,0,1,0,0
D4GY66,trpY,-0.222,-0.273,0.361,-0.029,0,0,1,0
D4GYC3,ferA2,-0.098,-1.272,0.448,-0.822,0,1,1,1
D4GYT0,HVO_0085,-0.695,-1.569,0.849,-1.305,0,1,0,0
D4GYU8,htpX1,0.069,-0.688,0.084,-0.535,0,1,0,1
D4GYV8,HVO_0112,0.825,-0.608,0.991,0.137,1,1,1,0
D4GYY9,HVO_1560,0.331,-1.32,0.693,-0.236,1,1,1,0
D4GZ40,HVO_1611,-0.089,-1.964,-0.359,-0.788,0,1,1,1
D4GZB7,priL,-0.291,-0.902,-0.136,-0.652,1,1,0,1
D4GZF6,ferB1,-0.001,-2.659,-0.022,-1.081,0,1,0,1
D4GZG6,HVO_0221,-0.938,-1.603,0.541,-0.924,1,1,0,1
D4GZN0,coaD,0.021,-0.815,0.211,-0.313,0,1,0,0
D4GZN4,nop5,0.255,-0.637,0.497,-0.248,1,1,1,1
D4H012,HVO_0386,0.16,-1.448,0.492,-0.313,0,1,1,0
L9UM07,HVO_0463A,-0.857,-2.881,-0.368,-1.779,1,1,1,1
L9VDP5,HVO_1841A,-0.839,-1.563,0.011,-1.393,0,0,0,1
Q48331,atpF,0.409,-0.931,0.746,0.249,1,1,1,1
D4GP27,HVO_B0026,0.055,-0.544,-0.179,-0.372,0,1,0,1
D4GP89,HVO_B0087,0.591,0.064,0.362,0.088,1,0,0,0
D4GP91,dppF12,0.479,0.288,0.334,-0.086,1,0,1,0
D4GPZ2,HVO_B0345,0.204,0.644,0.316,0.207,0,1,0,0
D4GRF0,cbiA,0.447,-0.079,0.114,-0.002,1,0,0,0
D4GSD8,HVO_1814,0.448,-0.34,0.044,-0.607,1,0,0,1
D4GSE8,mutLb,0.546,0.061,0.099,-0.361,1,0,0,1
D4GSQ2,leuA1,0.222,-0.496,0.38,-0.603,0,0,0,1
D4GT99,HVO_2481,0.079,-0.538,0.013,-0.56,0,1,0,0
D4GUK8,sufB2,0.294,0.138,0.112,-0.013,1,0,0,0
D4GUW8,HVO_2639,0.45,0.516,0.467,0.16,0,1,0,0
D4GWT7,HVO_2762,0.175,-0.04,-0.027,-0.108,1,0,0,0
D4GXM4,tdk,0.277,-0.737,-0.183,-0.998,1,1,1,1
D4GXY9,pheT,0.272,0.034,0.322,0.108,1,0,1,0
D4GY49,HVO_2975,0.407,-0.06,-0.18,-0.343,1,0,1,1
D4GZH7,HVO_0232,0.962,-0.919,0.182,-1.864,0,0,0,1
D4GX51,HVO_1248,-1.675,-2.104,-1.278,-1.437,1,1,0,0
D4GP12,soxA1,-0.618,-0.23,-0.842,-0.497,1,0,1,1
D4GP72,HVO_B0070,-1.193,0.301,-0.601,-0.542,1,0,1,0
D4GPE3,HVO_B0142,-0.882,-0.125,-0.886,-0.642,1,0,1,0
D4GPE9,HVO_B0148,-0.517,0.897,-0.872,0.144,0,1,1,0
D4GPF6,HVO_B0154,-0.022,0.671,-0.064,0.096,0,1,0,0
D4GPP0,fdh,-1.859,-0.134,-1.93,-1.936,1,0,1,1
D4GPQ1,suhB3,-0.913,0.166,-1.176,0.272,1,0,1,0
D4GQC4,acd6,0.341,0.588,-0.54,-0.06,1,1,1,0
D4GQG3,HVO_A0133,0.139,1.285,-2.266,-0.45,0,1,1,0
D4GQH9,trmB1,-0.111,0.2,-0.828,-0.01,0,1,1,0
D4GQK9,sph1,0.159,0.353,-0.373,0.312,0,1,1,0
D4GR01,HVO_A0324,-0.631,0.623,-1.381,0.595,0,0,1,0
D4GR05,kdgK2,-0.462,0.245,-0.333,-0.19,0,0,1,0
D4GRE8,HVO_A0485,-0.018,0.257,-0.266,-0.059,0,1,1,0
D4GRP4,guaB2,-1.124,0.721,-0.972,-0.675,1,0,1,1
D4GRQ1,HVO_A0591,-0.054,1.011,-0.331,0.29,0,1,0,0
D4GRX4,npdG,-0.68,0.176,-0.771,0.197,1,0,1,1
D4GRZ0,pheA,-0.934,-0.128,-0.769,-0.284,1,0,1,1
D4GSK5,HVO_0609,-0.191,0.944,-0.242,0.32,0,1,0,0
D4GSN2,adh1,0.038,0.305,-0.55,0.16,0,0,1,0
D4GSQ1,HVO_0643,-0.619,1.499,0.304,0.225,0,1,0,0
D4GSQ3,maeB2,0.057,0.574,-0.252,0.374,0,1,1,1
D4GSV9,HVO_1856,-0.336,0.475,0.299,0.116,0,1,0,0
D4GT00,HVO_0670,-0.283,0.528,-0.036,0.125,0,1,0,0
D4GT40,gptA2,-0.021,0.447,-0.251,0.005,0,1,1,0
D4GTF0,serS,0.461,0.463,-0.392,0.208,1,1,1,0
D4GTF7,HVO_1928,0.042,0.466,-0.651,0.263,0,1,1,0
D4GTK5,secD,-0.211,0.279,-0.485,-0.053,1,1,1,0
D4GTQ4,HVO_0760,-0.503,0.002,-0.609,-0.281,1,0,1,1
D4GTW5,HVO_2533,-0.194,1.668,-1.344,0.853,0,1,1,1
D4GU34,HVO_2021,0.37,1.225,-0.738,1.104,0,1,0,1
D4GU43,HVO_2029,-0.875,0.194,-1.354,-0.186,1,0,1,1
D4GU70,agl11,-0.656,0.623,-0.965,-0.214,1,1,1,1
D4GUA4,HVO_0801,-0.311,0.358,-0.517,0.399,1,1,1,1
D4GUG0,ppc,-0.247,0.17,-0.502,0.069,1,1,1,0
D4GUN0,HVO_2082,0.011,1.427,-0.023,0.194,0,1,0,0
D4GUN2,HVO_2084,-0.813,0.095,-1.65,0.019,0,0,1,0
D4GUP0,nhaC4,-0.925,1.547,-0.07,0.039,0,1,0,0
D4GUP3,HVO_2096,-0.97,1.18,-1.289,0.868,1,1,1,1
D4GUX6,qor1,-0.217,0.509,-1.527,0.359,0,1,1,1
D4GUY2,ilvD,-0.169,0.394,0.262,0.21,0,1,1,1
D4GUZ0,drg,0.222,0.385,-0.097,0.085,1,1,0,0
D4GUZ3,HVO_0914,-0.244,0.635,-0.63,-0.14,1,1,1,1
D4GV06,HVO_2650,0.223,0.347,-0.112,0.141,0,1,0,0
D4GV30,cpx,-0.583,-0.118,-0.82,-0.334,1,0,1,1
D4GV57,kdgA1,-0.232,0.762,-0.468,0.168,0,1,1,0
D4GV60,HVO_0953,-0.66,-0.005,-0.691,-0.36,1,0,1,0
D4GV66,HVO_0959,0.181,1.042,-0.506,0.267,0,1,0,0
D4GV80,aspC3,0.173,0.449,-0.232,0.038,1,1,1,0
D4GV93,HVO_2160,-1.011,0.319,-1.213,-0.119,1,1,1,0
D4GV94,HVO_2161,-0.919,-0.128,-1.82,-0.033,1,0,1,0
D4GV96,HVO_2163,-0.729,0.41,-0.857,-0.229,1,1,1,1
D4GVA3,HVO_2170,-1.332,-0.08,-1.225,-0.272,1,0,1,0
D4GVL3,HVO_1037,-0.798,0.568,-2.017,0.205,1,1,1,0
D4GVL6,HVO_1040,-1.011,0.446,-0.256,-0.197,1,0,0,0
D4GVN6,HVO_2681,-0.592,0.031,-0.876,-0.009,1,0,1,0
D4GVQ2,trmB,-0.172,0.508,-0.306,-0.218,0,1,1,0
D4GVS0,graD1,-0.456,0.566,-0.845,-0.159,1,1,1,0
D4GVT4,purNH,0.161,0.284,-0.255,0.083,0,1,0,0
D4GVU4,HVO_2228,-0.399,0.315,-0.997,0.136,0,0,1,0
D4GVU5,HVO_2229,-0.636,0.233,-0.306,0.067,1,0,1,0
D4GVX1,HVO_2255,-1.231,0.213,-0.642,-0.627,1,0,0,0
D4GW10,HVO_2707,0.37,1,0.161,0.102,1,1,1,0
D4GW14,HVO_2708,0.65,1.144,0.185,0.538,1,1,0,1
D4GW24,dapD,-0.338,0.963,0.084,0.343,1,1,0,1
D4GW26,dapB,-0.129,0.876,0.311,-0.282,0,1,0,0
D4GW28,dapA,-0.117,0.927,0.763,0.316,0,1,1,0
D4GWA9,HVO_2751,-0.692,1.695,-1.361,0.471,0,1,1,0
D4GWY5,cirA,-0.366,0.063,-1.378,-0.325,1,0,1,1
D4GX07,moaA,1.209,1.73,0.184,0.585,1,1,0,1
D4GX18,HVO_1232,-0.618,1.276,0.148,0.586,0,1,0,0
D4GXH3,aacC,0.08,0.462,-0.613,0.319,0,0,1,0
D4GXM6,hflX,-0.215,0.457,-1.004,0.015,0,0,1,0
D4GY34,HVO_2967,-0.538,0.782,-0.935,0.505,0,1,1,0
D4GY54,fbp1,-0.332,0.269,-0.761,0.237,0,0,1,0
D4GY90,HVO_1464,-0.92,0.467,-1.32,-0.576,0,0,1,0
D4GYB0,HVO_1475,0.193,0.694,-0.369,0.754,0,1,0,1
D4GYE6,pfkB,-0.703,0.012,-1.157,-0.076,1,0,1,0
D4GYE7,glpR,-0.116,0.497,-0.433,0.062,0,1,0,0
D4GYH5,aglM,0.175,0.642,-0.301,0.363,1,1,1,1
D4GYJ2,HVO_1548,-0.155,0.243,-0.264,0.053,0,0,1,0
D4GYZ3,HVO_1564,0.904,1.9,-0.085,1.392,1,1,0,1
D4GZI5,HVO_0240,0.038,0.344,0.184,0.149,0,1,1,0
D4GZJ1,HVO_0246,-1.233,0.087,-0.497,-0.02,1,0,0,0
D4GZM1,HVO_1656,-0.132,0.183,-0.427,0.147,1,1,1,1
D4GZR5,HVO_0285,-0.4,0.189,-0.556,-0.075,1,0,1,0
D4GZT6,HVO_0307,-0.427,0.026,-0.828,0.159,1,0,1,0
D4GZY5,hom1,-0.36,0.54,-0.612,-0.025,1,1,1,0
D4H038,HVO_1693,0.263,0.43,-0.191,-0.028,0,1,0,0
D4H055,amyA2,0.025,0.528,-0.328,-0.066,0,1,0,0
D4H074,HVO_1735,0.3,0.787,-1.349,0.637,1,1,1,1
D4H078,HVO_1739,-0.468,0.197,-0.943,-0.135,0,0,1,0
Q5UT56,panB,-0.226,0.98,-0.148,0.404,1,1,0,1
D4GP41,xacF,-1.263,0.72,-0.731,-1.267,1,1,1,1
D4GP42,xacR,-1.002,0.573,0.389,-0.86,1,1,0,1
D4GP46,iucA,-2.341,-0.637,-2.55,-2.372,1,0,1,1
D4GP47,bdb,-0.888,0.443,-1.215,-0.932,1,0,1,1
D4GP49,HVO_B0047,-2.693,-1.117,-4.105,-2.319,1,1,1,1
D4GP71,aldH5,-1.299,-0.001,-0.76,-0.88,1,0,1,1
D4GPB9,sph2,-0.241,-0.072,-0.534,-0.212,1,0,1,1
D4GPJ9,HVO_B0198,-2.339,-0.954,-3.084,-3.149,1,1,1,1
D4GPK2,HVO_B0201,-0.325,0.494,0.015,-0.963,0,0,0,1
D4GPM9,tsgA9,-1.415,0.1,-0.556,-1.135,1,0,0,0
D4GPN9,ridA2,-2.217,0.346,-0.991,-1.001,1,0,1,0
D4GPT0,HVO_B0283,-1.772,-0.518,-1.638,-1.549,1,1,1,1
D4GPW8,HVO_B0321,-0.625,0.498,-0.625,-0.221,1,1,1,0
D4GPX0,HVO_B0323,-1.769,-0.555,-1.386,-2.26,1,0,1,1
D4GQ44,HVO_A0012,-0.884,-0.544,-1.981,-1.178,1,1,1,1
D4GQA6,HVO_A0074,-0.676,-0.412,-1.048,-1.124,0,0,1,1
D4GQJ0,HVO_A0161,-0.251,0.272,-0.624,-1.501,1,0,1,1
D4GQJ1,HVO_A0162,-0.397,-0.222,-0.848,-1.666,0,0,1,1
D4GQN4,cas6,-0.295,-0.19,-1.161,-0.999,0,0,1,1
D4GQS1,HVO_A0242,-1.161,0.421,-0.883,-1.013,1,0,0,1
D4GQU3,HVO_A0266,-0.108,0.024,-0.419,-0.623,0,0,1,1
D4GQZ9,HVO_A0322,-2.141,-0.214,-3.462,-3.686,1,0,1,1
D4GR03,bgaH,-0.436,-0.07,-1.303,-1.325,0,0,1,1
D4GR09,HVO_A0332,-0.472,-0.032,0.022,-1.304,0,0,0,1
D4GR24,HVO_A0350,-0.416,1.152,-1.539,-2.858,0,1,1,1
D4GRG9,paaA,-1.299,-0.318,-0.969,-1.279,1,0,1,1
D4GRI4,acaB4,-0.687,0.991,-0.943,-0.266,1,1,1,0
D4GRI5,HVO_A0523,-1.119,0.361,-0.835,-0.588,1,0,1,1
D4GRI6,hbd4,-1.026,0.816,-1.277,-0.507,1,1,1,1
D4GRI7,fadA5,-1.116,0.884,-0.971,-1.041,1,1,1,1
D4GRI9,HVO_A0527,-0.628,-0.017,-0.31,-0.74,1,0,0,1
D4GRJ8,hyuB1,-0.995,0.285,-1.103,-0.515,1,0,1,0
D4GRJ9,hyuA1,-0.65,0.749,-0.67,-0.944,1,0,1,1
D4GRL3,acs9,-1.947,-0.069,-1.547,-2.235,1,0,1,1
D4GRM0,hutH,-0.356,2.13,-0.764,-0.603,0,1,1,0
D4GRM1,hutI,-0.184,2.422,-0.424,-0.503,0,1,0,0
D4GRM3,hutU,-0.028,2.404,-0.335,-0.601,0,1,0,0
D4GRS7,HVO_A0619,-0.374,-0.122,-0.598,-0.378,1,0,1,0
D4GS23,HVO_0483,-1.031,-0.184,-0.698,-1.182,1,0,1,1
D4GS44,cre1,-1.023,0.614,-0.691,-0.807,1,0,0,1
D4GS83,trxB5,-2.122,-0.963,-2.36,-1.916,1,1,1,1
D4GSE4,HVO_0547,-0.596,-0.117,-0.24,-1.351,0,0,0,1
D4GSN5,HVO_2430,-0.706,-0.031,-0.816,-0.482,1,0,1,1
D4GSN8,HVO_2431,-0.492,0.004,-0.787,-0.457,0,0,1,0
D4GSQ0,HVO_2435,-0.781,-0.055,-0.613,-0.711,1,0,1,1
D4GSV0,pepF,-0.301,-0.053,-0.65,-0.973,1,0,1,1
D4GSW6,HVO_1863,-0.526,0.369,-0.856,-1.063,1,1,1,1
D4GSY9,HVO_1888,-0.872,0.106,-1.181,-0.732,1,0,1,1
D4GT61,pabA,-1.308,-0.486,-0.429,-1.405,1,0,0,1
D4GTK2,HVO_1973,-0.653,-0.04,-1.046,-0.896,1,0,1,1
D4GTK4,secF,-0.747,-0.252,-1.326,-1.062,1,1,1,1
D4GTL7,HVO_1988,-1.061,2.043,-1.134,-0.577,1,1,1,1
D4GU26,cetZ5,0.08,0.713,-0.287,-1.077,0,1,0,1
D4GU29,HVO_2016,-0.537,0.118,-1.244,-0.698,1,0,1,1
D4GU33,HVO_2020,-0.067,-0.322,-0.617,-1.457,0,0,0,1
D4GU54,HVO_2040,-0.129,0.875,-0.101,-1.86,0,1,0,1
D4GU62,agl9,-1.615,-0.09,-0.922,-1.63,1,0,1,1
D4GU71,agl14,-0.777,-0.086,-1.502,-1.104,1,0,1,1
D4GU72,agl12,-0.006,0.545,-0.094,-0.167,0,1,0,0
D4GU73,agl8,-0.627,0.228,-0.796,-2.921,0,0,1,1
D4GU82,HVO_2069,-0.635,0.982,-0.547,-0.391,1,1,1,0
D4GU83,HVO_2070,-0.749,0.731,-0.449,-0.464,1,1,1,1
