SOM.Cluster,Protein.Name,NCBI.Ref.Seq,Entry,Entry.name,Day3,Day6,Day9
"Cluster 5",Rrp7a,NM_029101.4,Q9D1C9,RRP7A_MOUSE,-0.426,-0.369,-0.125
"Cluster 5",Ndc80,NM_023294.2,Q9D0F1,NDC80_MOUSE,0.086,-0.291,-1.153
"Cluster 5",Aatf,NM_019816.1,Q9JKX4,AATF_MOUSE,-0.196,-0.18,-0.248
"Cluster 5",Med22,NM_011513.2,Q62276,MED22_MOUSE,-0.299,-0.285,-0.196
"Cluster 5",Vti1b,NM_016800.3,Q91XH6,Q91XH6_MOUSE,-0.112,-0.621,-0.239
"Cluster 5",Ewsr1,NM_007968.2,Q61545,EWS_MOUSE,-0.27,-0.24,-0.306
"Cluster 5",Men1,NM_001168488.1,O88559,MEN1_MOUSE,-0.617,-0.108,-0.552
"Cluster 5",Timm8b,NM_013897.2,P62077,TIM8B_MOUSE,-0.13,-0.229,-0.322
"Cluster 5",Txlna,NM_001005506.2,Q6PAM1,TXLNA_MOUSE,-0.034,-0.116,-0.475
"Cluster 5",Stoml2,NM_023231.2,Q99JB2,STML2_MOUSE,-0.049,-0.123,-0.507
"Cluster 5",Ddrgk1,NM_029832.2,Q80WW9,DDRGK_MOUSE,0.061,-0.393,-0.416
"Cluster 5",LOC100047016,XM_001477228.1,NA,NA,-0.034,-0.397,-0.115
"Cluster 5",Otub1,NM_134150.2,Q7TQI3,OTUB1_MOUSE,-0.302,-0.603,-0.553
"Cluster 5",Ube2j1,NM_019586.3,Q9JJZ4,UB2J1_MOUSE,-0.387,-0.007,-0.628
"Cluster 5",Fmr1,NM_008031.2,P35922,FMR1_MOUSE,0.077,-0.365,-0.483
"Cluster 5",Ppcs,NM_026494.3,Q8VDG5,PPCS_MOUSE,-0.171,-0.234,-0.261
"Cluster 5",Ascc1,NM_026937.1,Q9D8Z1,ASCC1_MOUSE,-0.284,-0.525,-0.392
"Cluster 5",Ccdc86,NM_023731.3,Q9JJ89,CCD86_MOUSE,-0.09,-0.314,-0.272
"Cluster 5",Samm50,NM_178614.4,Q8BGH2,SAM50_MOUSE,-0.155,-0.254,-0.324
"Cluster 5",Surf6,NM_009298.3,P70279,SURF6_MOUSE,-0.127,-0.388,-0.361
"Cluster 5",Fahd1,NM_023480.2,Q8R0F8,FAHD1_MOUSE,-0.144,-0.332,-0.465
"Cluster 5",Rrs1,NM_021511.2,Q9CYH6,RRS1_MOUSE,-0.241,-0.264,-0.241
"Cluster 5",Imp3,NM_133976.2,Q921Y2,IMP3_MOUSE,-0.39,-0.186,-0.297
"Cluster 5",Rdbp,NM_138580.2,P19426,NELFE_MOUSE,-0.159,-0.836,-0.142
"Cluster 5",Prkcd,NM_011103.2,P28867,KPCD_MOUSE,-0.173,0.078,-0.481
"Cluster 5",Trim25,NM_009546.2,Q61510,TRI25_MOUSE,-0.011,-0.155,-0.474
"Cluster 5",Alad,NM_008525.3,P10518,HEM2_MOUSE,-0.163,-0.169,-0.268
"Cluster 5",Lactb2,NM_145381.2,Q99KR3,LACB2_MOUSE,-0.344,-0.284,-0.303
"Cluster 5",Ard1b,NM_001033191.2,Q3UX61,NAA11_MOUSE,-0.337,-0.097,-0.343
"Cluster 5",2700029M09Rik,NM_028299.1,Q8CFE2,HPF1_MOUSE,-0.124,-0.258,-0.274
"Cluster 5",Atp6v1a,NM_007508.5,P50516,VATA_MOUSE,-0.258,-0.239,-0.228
"Cluster 5",Fnbp4,NM_018828.2,Q6ZQ03,FNBP4_MOUSE,0.036,-0.512,-0.388
"Cluster 5",Adam10,NM_007399.3,O35598,ADA10_MOUSE,-0.205,-0.256,-0.625
"Cluster 5",Nagk,NM_019542.2,Q9QZ08,NAGK_MOUSE,-0.117,-0.155,-0.374
"Cluster 5",Wars,NM_001164488.1,P32921,SYWC_MOUSE,-0.034,-0.141,-0.424
"Cluster 5",Naga,NM_008669.4,Q9QWR8,NAGAB_MOUSE,0.063,0.019,-0.784
"Cluster 5",Ccbl2,NM_173763.3,Q71RI9,KAT3_MOUSE,-0.087,-0.254,-0.414
"Cluster 5",Mia3,NM_177389.3,Q8BI84,MIA3_MOUSE,-0.245,-0.241,-0.334
"Cluster 5",Ppm1a,NM_008910.3,P49443,PPM1A_MOUSE,-0.242,-0.233,-0.314
"Cluster 5",Gm1947,XM_911488.2,NA,NA,-0.36,-0.313,-0.158
"Cluster 5",Mvd,NM_138656.2,Q99JF5,MVD1_MOUSE,-0.483,-0.223,-0.16
"Cluster 5",Sod2,NM_013671.3,P09671,SODM_MOUSE,-0.185,-0.104,-0.35
"Cluster 5",Uap1l1,NM_001033293.2,Q3TW96,UAP1L_MOUSE,-0.18,-0.261,-0.247
"Cluster 5",Cirbp,NM_007705.2,P60824,CIRBP_MOUSE,-0.504,-0.607,-0.489
"Cluster 5",Dlg1,NM_007862.2,Q811D0,DLG1_MOUSE,-0.103,-0.781,-0.473
"Cluster 5",H1fx,NM_198622.1,Q80ZM5,Q80ZM5_MOUSE,-0.157,-0.277,-0.384
"Cluster 5",Hells,NM_008234.3,Q60848,HELLS_MOUSE,-0.153,-0.246,-0.739
"Cluster 5",Ddx54,NM_028041.2,Q8K4L0,DDX54_MOUSE,-0.322,-0.806,-0.315
"Cluster 5",Anp32b,NM_130889.2,Q9EST5,AN32B_MOUSE,0.019,-0.244,-0.317
"Cluster 5",Gbf1,NM_178930.3,Q6DFZ1,Q6DFZ1_MOUSE,-0.135,-0.091,-0.418
"Cluster 5",Arl6ip5,NM_022992.2,Q8R5J9,PRAF3_MOUSE,-0.18,-0.166,-0.334
"Cluster 5",Cog5,NM_001163126.1,Q8C0L8,COG5_MOUSE,-0.151,-0.709,-0.506
"Cluster 5",Hist2h2aa1,NM_013549.1,Q6GSS7,H2A2A_MOUSE,-0.694,-0.287,-0.849
"Cluster 5",Hist1h2ad,NM_178188.3,P22752,H2A1_MOUSE,-0.311,-0.258,-0.4
"Cluster 5",Chchd6,NM_025351.3,Q91VN4,MIC25_MOUSE,-0.193,-0.219,-0.305
"Cluster 5",2610027L16Rik,NM_026403.3,Q8BMC4,NOP9_MOUSE,0.002,-0.266,-0.465
"Cluster 5",2700094K13Rik,NM_001033166.2,Q3UQA7,SELH_MOUSE,-0.222,-0.024,-0.433
"Cluster 5",Coro7,NM_030205.4,Q9D2V7,CORO7_MOUSE,-0.281,-0.595,-0.7
"Cluster 5",Napg,NM_028017.1,Q9CWZ7,SNAG_MOUSE,-0.138,-0.654,-0.164
"Cluster 5",Hist1h1d,NM_145713.3,P43277,H13_MOUSE,-0.12,-0.335,-0.437
"Cluster 5",BC005624,NM_144885.2,Q3TQI7,CI078_MOUSE,-0.034,-0.413,-0.546
"Cluster 5",Tceb3,NM_013736.4,Q8CB77,ELOA1_MOUSE,0.169,-0.203,-0.454
"Cluster 5",BC006779,NM_183162.2,E9QAM5,HELZ2_MOUSE,0.135,-0.171,-0.477
"Cluster 5",Ate1,NM_001029895.2,Q9Z2A5,ATE1_MOUSE,0.182,-0.507,-0.476
"Cluster 5",Eefsec,NM_023060.3,Q9JHW4,SELB_MOUSE,-0.043,-0.103,-0.563
"Cluster 5",Cyth3,NM_011182.4,O08967,CYH3_MOUSE,-0.042,-0.473,-0.376
"Cluster 5",Raver1,NM_027911.3,Q9CW46,RAVR1_MOUSE,-0.193,-0.197,-0.426
"Cluster 5",Dynll1,NM_019682.4,P63168,DYL1_MOUSE,-0.574,-0.196,-0.165
"Cluster 5",Grn,NM_008175.4,P28798,GRN_MOUSE,-0.034,-0.196,-0.421
"Cluster 5",Cops2,NM_009939.2,P61202,CSN2_MOUSE,-0.174,-0.289,-0.184
"Cluster 5",Txnl1,NM_016792.4,Q8CDN6,TXNL1_MOUSE,-0.039,-0.109,-0.453
"Cluster 5",Naa10,NM_001177965.1,Q3V4D5,Q3V4D5_MOUSE,-0.229,-0.265,-0.423
"Cluster 5",Cpsf2,NM_016856.3,O35218,CPSF2_MOUSE,0.029,-0.178,-0.499
"Cluster 5",Vdac3,NM_011696.1,Q60931,VDAC3_MOUSE,-0.097,-0.446,-0.165
"Cluster 5",Ppp1r2,NM_025800.3,Q9DCL8,IPP2_MOUSE,-0.181,-0.393,-0.093
"Cluster 5",Ahctf1,NM_026375.2,Q8CJF7,ELYS_MOUSE,-0.256,-0.111,-0.282
"Cluster 5",Tfam,NM_009360.4,P40630,TFAM_MOUSE,-0.373,-0.223,-0.122
"Cluster 5",Pcyt2,NM_024229.2,Q922E4,PCY2_MOUSE,-0.507,-0.126,-0.333
"Cluster 5",Hspa14,NM_015765.2,Q99M31,HSP7E_MOUSE,-0.248,-0.133,-0.356
"Cluster 5",Sfrs9,NM_025573.3,Q9D0B0,SRSF9_MOUSE,-0.213,-0.352,-0.194
"Cluster 5",Bax,NM_007527.3,Q07813,BAX_MOUSE,-0.369,-0.373,-0.108
"Cluster 5",Dnajc7,NM_019795.4,Q9QYI3,DNJC7_MOUSE,-0.165,-0.094,-0.369
"Cluster 5",Dynlrb1,NM_025947.3,P62627,DLRB1_MOUSE,-0.158,-0.354,-0.202
"Cluster 5",Dnajc11,NM_172704.3,Q5U458,DJC11_MOUSE,-0.045,-0.456,-0.56
"Cluster 5",Ranbp3,NM_027933.2,Q9CT10,RANB3_MOUSE,-0.031,-0.246,-0.323
"Cluster 5",Nup214,NM_172268.2,Q80U93,NU214_MOUSE,-0.267,-0.32,-0.13
"Cluster 5",Psmd9,NM_026000.2,Q9CR00,PSMD9_MOUSE,-0.302,-0.302,-0.593
"Cluster 5",Fnbp1l,NM_153118.2,E9PUK3,E9PUK3_MOUSE,-0.248,-1.013,-0.386
"Cluster 5",Mtx2,NM_016804.4,O88441,MTX2_MOUSE,-0.232,-0.213,-0.377
"Cluster 5",H1f0,NM_008197.3,P10922,H10_MOUSE,-0.174,-0.24,-0.204
"Cluster 5",Nit1,NM_012049.1,Q8VDK1,NIT1_MOUSE,-0.29,-0.275,-0.246
"Cluster 5",Phpt1,NM_029293.2,Q9DAK9,PHP14_MOUSE,-0.343,-0.385,-0.372
"Cluster 5",Trub1,NM_029839.3,Q8C0D0,TRUB1_MOUSE,-0.174,-0.156,-0.386
"Cluster 5",Fuca1,NM_024243.4,Q99LJ1,FUCO_MOUSE,-0.177,-0.225,-0.883
"Cluster 5",LOC100046289,XM_001476829.1,NA,NA,-0.259,-0.422,-0.658
"Cluster 5",Rbck1,NM_019705.3,Q9WUB0,HOIL1_MOUSE,-0.162,-0.29,-0.235
"Cluster 5",Comt1,NM_007744.3,O88587,COMT_MOUSE,-0.086,-0.217,-0.34
"Cluster 5",LOC100046302,XM_001475985.1,NA,NA,-0.745,-0.282,-0.034
"Cluster 5",Abcb9,NM_019875.2,Q9JJ59,ABCB9_MOUSE,-0.221,-0.276,-0.409
"Cluster 5",Galnt7,NM_144731.4,Q80VA0,GALT7_MOUSE,-0.336,-0.572,-0.248
"Cluster 5",Bdh2,NM_027208.2,Q8JZV9,BDH2_MOUSE,-0.245,-0.66,-0.733
"Cluster 5",Dpy30,NM_024428.4,Q99LT0,DPY30_MOUSE,-0.388,-0.442,-0.037
"Cluster 5",Atp6v1f,NM_025381.2,Q9D1K2,VATF_MOUSE,-0.154,-0.48,-0.111
"Cluster 5",Saps3,NM_029456.2,Q922D4,PP6R3_MOUSE,-0.242,-0.533,-0.16
"Cluster 5",Uqcrq,NM_025352.2,Q9CQ69,QCR8_MOUSE,-0.261,-0.344,-0.578
"Cluster 5",Atp6v1b2,NM_007509.3,P62814,VATB2_MOUSE,-0.122,-0.213,-0.261
"Cluster 5",Cirh1a,NM_011574.2,Q8R2N2,UTP4_MOUSE,-0.108,-0.671,-0.307
"Cluster 5",Snw1,NM_025507.2,Q9CSN1,SNW1_MOUSE,-0.2,-0.348,-0.24
"Cluster 5",Naprt1,NM_172607.3,Q8CC86,PNCB_MOUSE,-0.301,-0.106,-0.443
"Cluster 5",Cytsa,NM_153406.3,Q2KN98,CYTSA_MOUSE,0.001,-0.583,-0.663
"Cluster 5",Nucb1,NM_001163662.1,Q02819,NUCB1_MOUSE,-0.215,-0.826,-0.9
"Cluster 5",Ctsl,NM_009984.3,P06797,CATL1_MOUSE,0.045,-0.155,-0.494
"Cluster 5",Acadsb,NM_025826.4,Q9DBL1,ACDSB_MOUSE,-0.245,-0.155,-0.32
"Cluster 5",Prkra,NM_011871.2,Q9WTX2,PRKRA_MOUSE,-0.605,-0.727,-1.214
"Cluster 5",Ttc7b,NM_001033213.1,E9Q6P5,TTC7B_MOUSE,-0.329,-0.358,-0.313
"Cluster 5",Nsmce1,NM_026330.3,Q9D720,NSE1_MOUSE,-0.29,-0.936,-0.276
"Cluster 5",Efhd2,NM_025994.3,Q8C845,Q8C845_MOUSE,-0.119,-0.409,-0.216
"Cluster 5",Ints4,NM_027256.2,Q8CIM8,INT4_MOUSE,0.018,-0.442,-0.461
"Cluster 5",Fam129a,NM_022018.3,Q3UW53,NIBAN_MOUSE,0.06,-0.269,-0.407
"Cluster 5",Clic5,NM_172621.2,Q8BXK9,CLIC5_MOUSE,-0.054,-0.332,-0.459
"Cluster 5",Srrm2,NM_175229.3,Q8BTI8,SRRM2_MOUSE,-0.493,-0.63,-0.196
"Cluster 5",Mrps35,NM_145573.2,Q8BJZ4,RT35_MOUSE,-0.293,-0.366,-0.109
"Cluster 5",Ppt1,NM_008917.2,O88531,PPT1_MOUSE,-0.13,-0.305,-0.552
"Cluster 5",Heatr1,NM_144835.4,G3X9B1,G3X9B1_MOUSE,-0.216,-0.167,-0.35
"Cluster 5",Dtymk,NM_001105667.1,P97930,KTHY_MOUSE,-0.09,-0.047,-0.656
"Cluster 5",Cryz,NM_009968.2,P47199,QOR_MOUSE,-0.127,-0.339,-0.281
"Cluster 5",Chchd2,NM_024166.6,Q9D1L0,CHCH2_MOUSE,-0.263,-0.571,-0.329
"Cluster 5",Mtch1,NM_019880.3,Q791T5,MTCH1_MOUSE,-0.193,-0.261,-0.172
"Cluster 5",Fbxo4,NM_134099.2,Q8CHQ0,FBX4_MOUSE,0.273,-0.457,-0.517
"Cluster 5",Nab2,NM_008668.2,Q61127,NAB2_MOUSE,-0.191,-0.314,-0.142
"Cluster 5",Tfg,NM_019678.2,Q9Z1A1,Q9Z1A1_MOUSE,0.022,-0.173,-0.448
"Cluster 5",Ube2c,NM_026785.2,Q9D1C1,UBE2C_MOUSE,-0.044,-0.024,-0.983
"Cluster 5",Gm6749,XM_892026.3,NA,NA,-0.24,-0.241,-0.207
"Cluster 5",Bop1,NM_013481.1,P97452,BOP1_MOUSE,-0.22,-0.275,-0.186
"Cluster 5",Gstt2,NM_010361.2,Q61133,GSTT2_MOUSE,-0.261,-0.131,-0.269
"Cluster 5",D2Wsu81e,NM_172660.3,Q3UHX9,CI114_MOUSE,-0.363,-0.153,-0.304
"Cluster 5",Zc3hav1,NM_028864.2,Q3UPF5,ZCCHV_MOUSE,-0.467,-0.419,-0.305
"Cluster 5",Txnrd2,NM_013711.3,Q9JLT4,TRXR2_MOUSE,-0.261,-0.18,-0.313
"Cluster 5",Cndp2,NM_023149.2,Q9D1A2,CNDP2_MOUSE,-0.188,-0.251,-0.193
"Cluster 5",Dpp7,NM_031843.2,Q9ET22,DPP2_MOUSE,-0.096,-0.174,-0.911
"Cluster 5",Bola2,NM_175103.3,Q8BGS2,BOLA2_MOUSE,-0.333,-0.489,-0.182
"Cluster 5",LOC100048613,XM_001480380.1,NA,NA,-0.883,-0.826,-0.141
"Cluster 5",Rbmx2,NM_173376.3,Q8R0F5,RBMX2_MOUSE,-0.538,-0.367,-0.441
"Cluster 5",Arpp19,NM_021548.4,P56212,ARP19_MOUSE,-0.337,-0.15,-0.256
"Cluster 5",Cbl,NM_007619.2,P22682,CBL_MOUSE,-0.152,-0.348,-0.444
"Cluster 5",Amdhd2,NM_172935.4,Q8JZV7,NAGA_MOUSE,-0.289,-0.488,-0.715
"Cluster 5",Vps33a,NM_029929.3,Q9D2N9,VP33A_MOUSE,-0.125,-0.22,-0.274
"Cluster 5",Smyd5,NM_144918.2,Q3TYX3,SMYD5_MOUSE,-0.004,-0.231,-0.335
"Cluster 5",Nmt2,NM_008708.1,O70311,NMT2_MOUSE,-0.046,-0.551,-0.193
"Cluster 5",Fam120a,NM_001033268.2,Q6A0A9,F120A_MOUSE,-0.264,-0.246,-0.302
"Cluster 5",Thg1l,NM_001080969.2,Q9CY52,THG1_MOUSE,-0.353,-0.212,-0.347
"Cluster 5",Lyrm4,NM_201358.2,Q8K215,LYRM4_MOUSE,-0.267,-0.128,-0.341
"Cluster 5",Elp3,NM_028811.2,Q9CZX0,ELP3_MOUSE,-0.01,-0.122,-0.415
"Cluster 5",Nfkb1,NM_008689.2,P25799,NFKB1_MOUSE,-0.116,-0.481,-0.167
"Cluster 5",Gpnmb,NM_053110.4,Q99P91,GPNMB_MOUSE,-0.215,-0.201,-0.486
"Cluster 5",Lgals3bp,NM_011150.2,Q07797,LG3BP_MOUSE,-0.633,-1.187,-0.903
"Cluster 5",Kri1,NM_145416.3,F6WIU1,F6WIU1_MOUSE,-0.23,-0.178,-0.309
"Cluster 5",LOC100043974,XM_001472808.1,NA,NA,0.078,-0.206,-0.398
"Cluster 5",Atp6v0d1,NM_013477.3,P51863,VA0D1_MOUSE,-0.131,-0.231,-0.228
"Cluster 5",Lcp1,NM_008879.3,Q61233,PLSL_MOUSE,-0.119,-0.435,-0.381
"Cluster 5",Unc84a,NM_024451.1,Q9D666,SUN1_MOUSE,-0.188,-0.089,-0.358
"Cluster 5",Ebna1bp2,NM_026932.4,Q9D903,EBP2_MOUSE,-0.078,-0.386,-0.434
"Cluster 5",Mfap1a,NM_026220.4,Q9CQU1,MFAP1_MOUSE,-0.612,-0.362,-0.151
"Cluster 5",R3hcc1,NM_001146012.1,Q8BSI6,R3HC1_MOUSE,-0.076,-0.405,-0.662
"Cluster 5",Aga,NM_001005847.1,Q64191,ASPG_MOUSE,-0.236,-0.214,-0.331
"Cluster 5",Timm10,NM_013899.2,P62073,TIM10_MOUSE,-0.179,-0.451,-0.187
"Cluster 5",Stat6,NM_009284.2,P52633,STAT6_MOUSE,-0.283,-0.236,-0.528
"Cluster 5",C1rb,NM_001113356.1,Q8CFG9,C1RB_MOUSE,-0.133,-0.689,-0.45
"Cluster 5",Qsox2,NM_153559.2,Q3TMX7,QSOX2_MOUSE,-0.065,-0.534,-0.518
"Cluster 5",Rbm28,NM_133925.2,Q8CGC6,RBM28_MOUSE,-0.258,-0.155,-0.453
"Cluster 5",Dhx16,NM_026987.2,NA,NA,-0.4,-0.171,-0.436
"Cluster 5",Zfp598,NM_183149.1,Q80YR4,ZN598_MOUSE,-0.236,-0.918,-0.639
"Cluster 5",Nudcd2,NM_026023.4,Q9CQ48,NUDC2_MOUSE,0.025,-0.317,-0.28
"Cluster 5",Tor1a,NM_144884.2,Q9ER39,TOR1A_MOUSE,-0.287,-0.41,0.055
"Cluster 5",Nle1,NM_145431.2,Q8VEJ4,NLE1_MOUSE,-0.133,-0.419,-0.478
"Cluster 5",Atad1,NM_026487.3,Q9D5T0,ATAD1_MOUSE,-0.146,-0.118,-0.39
"Cluster 5",Plod2,NM_011961.3,Q9R0B9,PLOD2_MOUSE,-0.037,-0.356,-0.401
"Cluster 5",Mdp1,NM_023397.4,Q9D967,MGDP1_MOUSE,-0.612,-0.288,-0.486
"Cluster 5",Snx8,NM_172277.2,Q8CFD4,SNX8_MOUSE,-0.354,-0.259,-0.281
"Cluster 5",Mtap1s,NM_173013.3,Q8C052,MAP1S_MOUSE,0.039,-0.289,-0.333
"Cluster 5",Prpf3,NM_027541.4,Q922U1,PRPF3_MOUSE,-0.197,-0.009,-0.451
"Cluster 5",Rpap3,NM_028003.2,Q9D706,RPAP3_MOUSE,-0.179,-0.495,-0.461
"Cluster 5",Dbil5,NM_021294.2,O09035,DBIL5_MOUSE,-0.106,-0.281,-0.231
"Cluster 5",Hat1,NM_026115.4,Q8BY71,HAT1_MOUSE,0.054,-0.359,-0.281
"Cluster 5",Xab2,NM_026156.2,Q9DCD2,SYF1_MOUSE,-0.245,-0.262,-0.427
"Cluster 5",Iah1,NM_026347.3,Q9DB29,IAH1_MOUSE,-0.094,-0.15,-0.334
"Cluster 5",Adam17,NM_009615.5,Q9Z0F8,ADA17_MOUSE,-0.06,-0.292,-0.208
"Cluster 5",Rabgef1,NM_019983.2,Q9JM13,RABX5_MOUSE,-0.292,-0.125,-0.236
"Cluster 5",Hist2h3b,NM_178215.1,P84228,H32_MOUSE,-0.133,-0.167,-0.309
"Cluster 5",Rbm8a,NM_025875.2,Q9CWZ3,RBM8A_MOUSE,-0.313,-0.449,-0.725
"Cluster 5",Smarce1,NM_020618.4,O54941,SMCE1_MOUSE,-0.04,-0.185,-0.628
"Cluster 5",Slc16a1,NM_009196.3,P53986,MOT1_MOUSE,-0.203,-0.272,-0.426
"Cluster 5",Mtor,NM_020009.2,Q9JLN9,MTOR_MOUSE,0.095,-0.378,-0.483
"Cluster 5",Supv3l1,NM_181423.2,Q80YD1,SUV3_MOUSE,-0.46,-0.105,-0.172
"Cluster 5",Cdc42ep1,NM_027219.3,Q91W92,BORG5_MOUSE,-0.343,-0.292,-0.549
"Cluster 5",Tollip,NM_023764.3,Q9QZ06,TOLIP_MOUSE,-0.369,-0.17,-0.46
"Cluster 5",Mybbp1a,NM_016776.2,Q7TPV4,MBB1A_MOUSE,-0.185,-0.301,-0.295
"Cluster 5",Kif15,NM_010620.1,Q6P9L6,KIF15_MOUSE,-0.248,-0.118,-0.27
"Cluster 5",Unc84b,NM_194342.2,Q8BJS4,SUN2_MOUSE,-0.155,-0.138,-0.352
"Cluster 5",Fkbp5,NM_010220.3,Q64378,FKBP5_MOUSE,-0.115,-0.229,-0.266
"Cluster 5",Cfdp1,NM_011801.1,O88271,CFDP1_MOUSE,-0.063,-0.331,-0.245
"Cluster 5",Atg2b,NM_029654.4,Q80XK6,ATG2B_MOUSE,-0.318,-0.196,-0.512
"Cluster 5",Uaca,NM_028283.2,Q8CGB3,UACA_MOUSE,-0.092,-0.567,-0.129
"Cluster 5",Cno,NM_133724.3,Q8VED2,BL1S4_MOUSE,-0.318,-0.163,-0.232
"Cluster 5",Nfkb2,NM_019408.3,Q9WTK5,NFKB2_MOUSE,-0.29,-0.404,-0.624
"Cluster 5",Stam,NM_011484.2,P70297,STAM1_MOUSE,-0.1,-0.108,-0.564
"Cluster 5",Nosip,NM_025533.3,Q9D6T0,NOSIP_MOUSE,0.051,-0.481,-0.198
"Cluster 5",Pwp1,NM_133993.3,Q99LL5,PWP1_MOUSE,-0.05,-0.656,-0.146
"Cluster 5",H2afv,NM_029938.1,Q3THW5,H2AV_MOUSE,-0.204,-0.21,-0.294
"Cluster 5",Arhgef7,NM_017402.4,Q9ES28,ARHG7_MOUSE,-0.33,-0.179,-0.172
"Cluster 5",Mcm4,NM_008565.3,P49717,MCM4_MOUSE,-0.193,-0.094,-0.512
"Cluster 5",Becn1,NM_019584.3,O88597,BECN1_MOUSE,-0.163,-0.557,-0.22
"Cluster 5",Ubr2,NM_146078.3,Q6WKZ8,UBR2_MOUSE,-0.235,-0.133,-0.285
"Cluster 5",Zfp259,NM_011752.2,Q62384,ZPR1_MOUSE,-0.158,-0.275,-0.251
"Cluster 5",Bxdc1,NM_023323.3,Q9JJ80,RPF2_MOUSE,-0.01,-0.389,-0.189
"Cluster 5",Hmbs,NM_013551.2,P22907,HEM3_MOUSE,0.068,-0.375,-0.251
"Cluster 5",Atf1,NM_007497.3,P81269,ATF1_MOUSE,-0.155,-0.66,-0.509
"Cluster 5",Wapal,NM_001004436.3,Q65Z40,WAPL_MOUSE,-0.196,0.031,-0.478
"Cluster 5",Nolc1,NM_001039351.1,NA,NA,-0.038,-0.292,-0.357
"Cluster 5",Cherp,NM_138585.3,Q8CGZ0,CHERP_MOUSE,-0.187,-0.137,-0.428
"Cluster 5",Hist1h1c,NM_015786.2,P15864,H12_MOUSE,-0.143,-0.628,-0.532
"Cluster 5",Gtf2f2,NM_026816.3,Q8R0A0,T2FB_MOUSE,-0.181,-0.468,-0.679
"Cluster 5",Slc25a22,NM_026646.3,Q9D6M3,GHC1_MOUSE,-0.075,-0.302,-0.428
"Cluster 5",Rcl1,NM_021525.2,Q9JJT0,RCL1_MOUSE,-0.229,-0.303,-0.258
"Cluster 5",Zcchc3,NM_175126.4,Q8BPK2,Q8BPK2_MOUSE,-0.166,-0.107,-0.399
"Cluster 5",Mtpn,NM_008098.4,P62774,MTPN_MOUSE,0.039,-0.398,-0.271
"Cluster 5",Mcm7,NM_008568.2,Q61881,MCM7_MOUSE,-0.11,-0.262,-0.562
"Cluster 5",Csda,NM_139117.2,Q9JKB3,YBOX3_MOUSE,-0.316,-0.589,-0.72
"Cluster 5",LOC635583,XM_910675.3,NA,NA,-0.231,-0.574,-0.622
"Cluster 5",Cisd1,NM_134007.4,Q91WS0,CISD1_MOUSE,0.021,-0.397,-0.252
"Cluster 5",Gm13072,XM_892701.3,NA,NA,0.209,-0.376,-0.38
"Cluster 5",Anln,NM_028390.3,Q8K298,ANLN_MOUSE,0.04,-0.061,-0.764
"Cluster 5",Nfix,NM_010906.2,P70257,NFIX_MOUSE,-0.381,-0.257,-0.432
"Cluster 5",Vdac1,NM_011694.4,Q60932,VDAC1_MOUSE,-0.012,-0.264,-0.314
"Cluster 5",Atp6v0a1,NM_016920.2,Q9Z1G4,VPP1_MOUSE,-0.168,-0.235,-0.286
"Cluster 5",Gm7418,XM_001475485.1,NA,NA,-0.468,-0.065,-0.549
"Cluster 5",Atxn3,NM_029705.3,Q9CVD2,ATX3_MOUSE,-0.453,-0.199,-0.119
"Cluster 5",D6Wsu116e,NM_026585.3,Q6PGL7,FAM21_MOUSE,-0.072,-0.408,-0.395
"Cluster 5",Gaa,NM_008064.3,P70699,LYAG_MOUSE,-0.341,-0.446,-0.576
"Cluster 5",Cox5a,NM_007747.2,P12787,COX5A_MOUSE,-0.204,-0.043,-0.415
"Cluster 5",Gm6265,XM_001478216.1,NA,NA,-0.089,-0.234,-0.519
"Cluster 5",Aprt,NM_009698.2,P08030,APT_MOUSE,-0.244,-0.144,-0.317
"Cluster 5",Tmf1,NM_001081111.2,B9EKI3,TMF1_MOUSE,0.377,-0.542,-0.692
"Cluster 5",Epdr1,NM_134065.4,Q99M71,EPDR1_MOUSE,-0.406,-0.419,-0.798
"Cluster 5",Ndufb8,NM_026061.2,Q9D6J5,NDUB8_MOUSE,-0.347,-0.16,-0.287
"Cluster 5",Pml,NM_178087.4,Q60953,PML_MOUSE,-0.106,-0.2,-0.305
"Cluster 5",Arfgef2,NM_001085495.2,A2A5R2,BIG2_MOUSE,0.119,-0.479,-0.578
"Cluster 5",Pet112l,NM_144896.4,Q99JT1,GATB_MOUSE,-0.239,0.086,-0.56
"Cluster 5",Tnpo3,NM_177296.4,Q6P2B1,TNPO3_MOUSE,0.068,-0.229,-0.361
"Cluster 5",Ccdc50,NM_026202.3,Q810U5,CCD50_MOUSE,-0.189,-0.474,-0.422
"Cluster 5",Gcn1l1,NM_172719.2,E9PVA8,GCN1_MOUSE,-0.352,-0.076,-0.255
"Cluster 5",Ptrh2,NM_175004.2,Q8R2Y8,PTH2_MOUSE,-0.312,-0.486,-0.413
"Cluster 5",Upb1,NM_133995.3,Q8VC97,BUP1_MOUSE,-0.149,-0.416,-0.1
"Cluster 5",Add3,NM_013758.3,Q9QYB5,ADDG_MOUSE,-0.354,-0.087,-0.372
"Cluster 5",Lemd2,NM_146075.2,Q6DVA0,LEMD2_MOUSE,-0.093,-0.282,-0.299
"Cluster 5",Comtd1,NM_026965.2,Q8BIG7,CMTD1_MOUSE,-0.165,-0.498,-0.292
