"gene number",Entry,"Entry name","transcriptomic suc/no stress","transcriptomic NaCl/ no stress","proteomic suc/ no stress","proteomic NaCl/ no stress"
CC_0257,Q9ABH0,SAHH_CAUCR,-3.22,-4.54,-2.5,-2.42
CC_0360,Q9AB71,Q9AB71_CAUCR,-1.91,-2.51,,
CC_0482,Q9AAW1,METE_CAUCR,-2.9,-2.95,-2.4,-2.47
CC_1969,Q9A6W3,Q9A6W3_CAUCR,-1.89,-3.28,-2.02,-2.05
CC_2082,Q9A6L1,Q9A6L1_CAUCR,,-1.18,,
CC_2137,Q9A6F7,Q9A6F7_CAUCR,-3.34,-3.94,,
CC_2138,Q9A6F6,Q9A6F6_CAUCR,,-4.05,,
CC_2211,Q9A683,ARLY_CAUCR,,-1.5,,
CC_2223,Q9A671,HIS81_CAUCR,,,-1.61,-1.39
CC_2238,Q9A656,Q9A656_CAUCR,,-1.48,,
CC_3044,P55186,ILVD_CAUCR,,,,-1.15
CC_3215,Q9A3I9,Q9A3I9_CAUCR,-2,,,
CC_3216,Q9A3I8,Q9A3I8_CAUCR,-2.02,-2.54,-1.36,-1.73
CC_3606,Q9A2F9,Q9A2F9_CAUCR,-2.22,-2.59,-2.06,-1.95
CC_3607,Q9A2F8,Q9A2F8_CAUCR,,,-2.64,-2.22
CC_3734,Q9A232,HIS7_CAUCR,-1.53,-2.33,,
CC_2796,Q9A4N4,RUTC_CAUCR,,1.91,,
CC_2797,Q9A4N3,RUTD_CAUCR,,1.41,,
CC_2798,Q9A4N2,RUTA_CAUCR,1.09,1.87,,
CC_0086,Q9ABY4,PUR9_CAUCR,-2.3,,,
CC_1620,Q9A7U9,GUAA_CAUCR,,-1.41,,
CC_1699,Q9A7M2,NDK_CAUCR,-1.32,-1.93,,
CC_2491,Q9A5F9,PUR71_CAUCR,,-1.07,,
CC_2900,Q9A4D6,CARB_CAUCR,,-2.05,-1.8,-2.19
CC_3103,Q9A3U9,PURA_CAUCR,,-1.1,,
CC_0076,Q9ABZ4,Q9ABZ4_CAUCR,,,1.25,1.01
CC_0353,Q9AB78,Q9AB78_CAUCR,,1.5,,
CC_0427,Q9AB07,Q9AB07_CAUCR,1.24,1.55,,
CC_0510,Q9AAT4,Q9AAT4_CAUCR,1.21,1.83,1.58,1.68
CC_0511,Q9AAT3,Q9AAT3_CAUCR,,1.93,2.31,2.44
CC_0922,Q9A9Q2,Q9A9Q2_CAUCR,1.25,,,
CC_0942,Q9A9N4,Q9A9N4_CAUCR,,1.75,2.93,2.76
CC_0944,Q9A9N2,Q9A9N2_CAUCR,3.07,3.2,,
CC_0947,Q9A9M9,Q9A9M9_CAUCR,1.41,1.94,,
CC_1311,Q9A8P2,Q9A8P2_CAUCR,,1.14,1.33,
CC_1380,H7C7H2,H7C7H2_CAUCR,,1.58,,
CC_2254,Q9A641,Q9A641_CAUCR,,1.14,,
CC_2405,Q9A5P2,Q9A5P2_CAUCR,1.3,1.77,,
CC_3454,Q9A2V2,Q9A2V2_CAUCR,1.95,,,
CC_0814,Q9A9Z7,Q9A9Z7_CAUCR,1.94,2.08,,
CC_0970,Q9A9L0,Q9A9L0_CAUCR,,3.19,,
CC_0991,Q9A9I9,Q9A9I9_CAUCR,2.23,2.82,1.76,2.38
CC_0999,Q9A9I1,Q9A9I1_CAUCR,1.53,2.25,,
CC_1099,Q9A995,Q9A995_CAUCR,,1.47,,
CC_1103,Q9A991,Q9A991_CAUCR,1.78,1.97,,
CC_1133,Q9A961,Q9A961_CAUCR,4.81,,,
CC_1136,Q9A958,Q9A958_CAUCR,7.01,,5.5,
CC_1275,Q9A8S6,Q9A8S6_CAUCR,,1.8,,
CC_1363,Q9A8J0,HPPA_CAUCR,2.77,3.25,,
CC_1628,Q9A7U2,Q9A7U2_CAUCR,2.54,,,
CC_1750,Q9A7H3,Q9A7H3_CAUCR,,,,1.03
CC_1774,Q9A7E9,Q9A7E9_CAUCR,2.38,2.55,,
CC_2091,Q9A6K2,Q9A6K2_CAUCR,,1.59,,
CC_2287,Q9A608,Q9A608_CAUCR,2.35,,2.61,3.6
CC_2320,Q9A5X7,Q9A5X7_CAUCR,1.72,1.47,,
CC_2347,Q9A5V0,Q9A5V0_CAUCR,,1.98,,
CC_2485,Q9A5G5,Q9A5G5_CAUCR,2.35,2.95,,
CC_3127,Q9A3S5,Q9A3S5_CAUCR,,2.14,1.12,2.05
CC_3161,Q9A3P1,Q9A3P1_CAUCR,3.52,4.51,,
CC_3336,Q9A370,Q9A370_CAUCR,1.73,2.78,,
CC_3461,Q9A2U5,Q9A2U5_CAUCR,3.08,3.81,,
CC_0254,Q9ABH3,Q9ABH3_CAUCR,-1.35,-2.09,,
CC_0286,Q9ABE2,Q9ABE2_CAUCR,-2.55,-2.7,,
CC_1517,Q9A847,Q9A847_CAUCR,-3.75,-3.19,,
CC_1518,Q9A846,Q9A846_CAUCR,-3.58,-3.51,,
CC_1519,Q9A845,Q9A845_CAUCR,-3.43,-3.35,,
CC_1597,Q9A7X2,Q9A7X2_CAUCR,-1.21,,,
CC_1598,Q9A7X1,CYSA_CAUCR,-2.84,-3.07,,
CC_1666,Q9A7Q4,Q9A7Q4_CAUCR,-1.58,-1.2,,
CC_1778,Q9A7E5,Q9A7E5_CAUCR,-5.32,-4.58,,
CC_1781,Q9A7E2,Q9A7E2_CAUCR,-3.24,-3.54,,
CC_1862,Q9A764,Q9A764_CAUCR,,-1.11,,
CC_1970,Q9A6W2,Q9A6W2_CAUCR,,,-1.67,
CC_2148,Q9A6E6,Q9A6E6_CAUCR,,-1.51,,
CC_2664,Q9A507,Q9A507_CAUCR,-1.57,,,
CC_2669,Q9A502,METN_CAUCR,,-1.09,,
CC_2928,Q9A4A9,Q9A4A9_CAUCR,,-1.58,,
CC_3013,Q9A430,Q9A430_CAUCR,-1.38,-2.44,,
CC_0063,Q9AC06,Q9AC06_CAUCR,,1.58,,
CC_0419,Q9AB15,Q9AB15_CAUCR,,,1.18,1.2
CC_0557,Q9AAP0,Q9AAP0_CAUCR,,1.38,,
CC_0941,Q9A9N5,Q9A9N5_CAUCR,,1.45,,
CC_1178,Q9A916,Q9A916_CAUCR,3.75,3.72,,
CC_1452,Q9A8A2,Q9A8A2_CAUCR,2.82,3.24,,
CC_1533,Q9A831,Q9A831_CAUCR,1.34,,,
CC_1849,Q9A777,CALB_CAUCR,2.14,,,
CC_2281,Q9A614,Q9A614_CAUCR,1.05,,,
CC_2409,Q9A5N8,Q9A5N8_CAUCR,,1.55,,
CC_2515,Q9A5D5,Q9A5D5_CAUCR,2.4,1.57,,
CC_2516,Q9A5D4,Q9A5D4_CAUCR,1.42,,2.49,1.99
CC_2644,Q9A525,Q9A525_CAUCR,3.83,5.49,,
CC_2843,Q9A4I8,Q9A4I8_CAUCR,1.3,,,
CC_2873,Q9A4G1,Q9A4G1_CAUCR,2.07,,,
CC_2997,Q9A446,Q9A446_CAUCR,,1.51,,
CC_3029,Q9A414,Q9A414_CAUCR,,1.79,,
CC_3043,O31066,KATG_CAUCR,2.59,2.89,,
CC_3088,Q9A3W3,Q9A3W3_CAUCR,1.23,1.75,,
CC_3262,Q9A3E2,Q9A3E2_CAUCR,,1.27,,
CC_3580,Q9A2I1,Q9A2I1_CAUCR,3.21,3.5,3.23,2.91
CC_3758,Q9A213,Q9A213_CAUCR,2.55,1.88,,
CC_0575,Q9AAM2,Q9AAM2_CAUCR,,-1.25,,
CC_1730,Q9A7J3,Q9A7J3_CAUCR,,-1.6,,
CC_1777,Q9A7E6,Q9A7E6_CAUCR,-4.28,-4.07,,
CC_1934,Q9A6Z2,Q9A6Z2_CAUCR,,-1.39,,
CC_2139,Q9A6F5,Q9A6F5_CAUCR,-2.82,-3.3,,
CC_2918,Q9A4B8,Q9A4B8_CAUCR,-1.59,-2.39,-1.63,-1.56
CC_2919,Q9A4B7,Q9A4B7_CAUCR,,-1.3,,
CC_0201,Q9ABM6,Q9ABM6_CAUCR,1.76,1.59,,
CC_0747,Q9AA59,Q9AA59_CAUCR,1.97,,,
CC_1007,P35828,SLAP_CAUCR,1.67,1.45,,
CC_1695,Q9A7M6,Q9A7M6_CAUCR,,1.54,,
CC_1958,Q9A6W8,Q9A6W8_CAUCR,1.65,1.57,,
CC_2294,Q9A603,Q9A603_CAUCR,,,1.63,
CC_3229,Q9A3H5,Q9A3H5_CAUCR,1.72,1.89,,
CC_3489,Q9A2R7,Q9A2R7_CAUCR,1.76,1.9,,
CC_1782,Q9A7E1,Q9A7E1_CAUCR,-3.31,-3.34,,
CC_3501,Q9A2Q5,Q9A2Q5_CAUCR,-4.43,-4.59,,
CC_3629,Q9A2D6,Q9A2D6_CAUCR,,-1.25,,
CC_0624,Q99QH1,Q99QH1_CAUCR,1.43,1.68,,
CC_2200,Q9A694,Q9A694_CAUCR,2.31,3.19,,
CC_2681,Q9A4Z1,Q9A4Z1_CAUCR,,1.42,,
CC_3597,H7C7J2,H7C7J2_CAUCR,2.59,3.34,3.23,3.37
CC_0035,Q9AC31,RS15_CAUCR,,-2,,
CC_0036,P58063,TRUB_CAUCR,,-1.39,,
CC_0037,Q9AC30,RBFA_CAUCR,-1.29,-1.92,,
CC_0049,P58088,TRMB_CAUCR,-2.55,-3.67,,
CC_0197,P58167,RL19_CAUCR,,-1.36,,
CC_0318,Q9ABB3,RL27_CAUCR,,-1.57,,
CC_0319,Q9ABB2,RL21_CAUCR,,-1.68,,
CC_0460,Q9AAY2,SYC_CAUCR,,-1.51,,
CC_0485,Q9AAV8,RL25_CAUCR,,,-1.85,-2.92
CC_0496,P58060,RL10_CAUCR,-2.08,-4.02,-8.5,-1.47
CC_0497,Q9AAU7,RL7_CAUCR,-1.67,,,
CC_0640,Q9AAG0,RL1_CAUCR,-1.47,-2.17,-1.67,-1.01
CC_0641,Q9AAF9,RL11_CAUCR,,-2.68,,
CC_0661,Q9AAE1,RL28_CAUCR,,-1.14,,
CC_0701,Q9AAA5,SYI_CAUCR,,-1.43,-1.49,-1.31
CC_0721,Q9AA85,EFP_CAUCR,,-1.79,,
CC_0741,Q9AA65,Q9AA65_CAUCR,,-2.48,,-1.09
CC_1045,Q9A9E3,RL20_CAUCR,,-1.81,,
CC_1046,Q9A9E2,RL35_CAUCR,,-1.7,,
CC_1196,Q9A8Z9,SSRP_CAUCR,,-1.32,,
CC_1240,Q99QM0,EFTU_CAUCR,,-1.91,,
CC_1247,Q9A8V4,RS10_CAUCR,-1.53,-2.76,,
CC_1248,Q9A8V3,RL3_CAUCR,,-2.81,-2.12,-1.6
CC_1249,Q9A8V2,RL4_CAUCR,-1.4,-2.97,,
CC_1250,Q9A8V1,RL23_CAUCR,-1.32,-2.74,,
CC_1251,Q9A8V0,RL2_CAUCR,-1.55,-2.79,,
CC_1252,Q9A8U9,RS19_CAUCR,-1.68,-3.46,,
CC_1253,Q9A8U8,RL22_CAUCR,-1.91,-3.03,,
CC_1254,Q9A8U7,RS3_CAUCR,-1.6,-3.22,,
CC_1255,Q9A8U6,RL16_CAUCR,-1.72,-3.16,,
CC_1256,Q9A8U5,RL29_CAUCR,-1.8,-3.53,,
CC_1257,Q9A8U4,RS17_CAUCR,-1.95,-3.68,,
CC_1258,Q9A8U3,RL14_CAUCR,-1.85,-3.59,,
CC_1259,Q9A8U2,RL24_CAUCR,-1.94,-3.71,,
CC_1260,Q9A8U1,RL5_CAUCR,-1.94,-3.88,-2.3,-1.36
CC_1261,Q9A8U0,RS14_CAUCR,-1.69,-3.34,,
CC_1262,Q9A8T9,RS8_CAUCR,-1.83,-3.3,,
CC_1263,Q9A8T8,RL6_CAUCR,-2.29,-3.67,,
CC_1264,Q9A8T7,RL18_CAUCR,-2.12,-3.52,,
CC_1265,Q9A8T6,RS5_CAUCR,-1.88,-3.03,,
CC_1266,Q9A8T5,RL30_CAUCR,-2,-3.29,,
CC_1267,Q9A8T4,RL15_CAUCR,-1.49,-2.55,,
CC_1270,Q9A8T1,RS13_CAUCR,,-1.94,,
CC_1271,Q9A8T0,RS11_CAUCR,,-1.77,,
CC_1273,Q9A8S8,RL17_CAUCR,,-2.07,,
CC_1341,Q9A8L2,SYGA_CAUCR,,-1.48,,
CC_1376,Q9A8H7,Q9A8H7_CAUCR,,-2.85,,
CC_1377,Q9A8H6,RS9_CAUCR,-1.22,-2.89,,
CC_1587,Q9A7Y2,QUEA_CAUCR,,-1.44,,
CC_1667,Q9A7Q3,RL9_CAUCR,-1.22,-2.25,-1.71,-1.46
CC_1668,Q9A7Q2,RS18_CAUCR,-1.2,,,
CC_1669,Q9A7Q1,RS6_CAUCR,-1.3,-3,,
CC_1721,Q9A7K2,RL32_CAUCR,,-1.5,,
CC_1874,Q9A752,RF2_CAUCR,,-1.39,,
CC_1892,Q9A734,SYDND_CAUCR,,-1.51,,
CC_1922,Q9A704,EFTS_CAUCR,,,-1.7,-1.41
CC_1923,Q9A703,RS2_CAUCR,,-2.58,,
CC_2343,Q9A5V4,IF1_CAUCR,,-1.31,,
CC_2459,Q9A5I8,RL33_CAUCR,,-1.83,,
CC_2511,Q9A5D9,RS4_CAUCR,,-2.19,,
CC_2529,Q9A5C1,SYA_CAUCR,,-1.41,,
CC_3199,Q99QM0,EFTU_CAUCR,,,-1.31,-1.21
CC_3200,Q9A3K4,EFG_CAUCR,,-2,-1.38,-1.21
CC_3201,Q9A3K3,RS7_CAUCR,,-2.15,,
CC_3202,Q9A3K2,RS12_CAUCR,-1.35,-2.33,,
CC_3275,Q9A3C9,RL31_CAUCR,,-1.95,,
CC_3297,Q9A3A7,RS21_CAUCR,-1.23,-1.88,,
CC_3321,Q9A383,RL36_CAUCR,,-1.43,,
CC_3587,Q9A2H4,Q9A2H4_CAUCR,-1.15,-2.32,-1.47,-1.82
CC_3651,Q9A2B4,RIMM_CAUCR,,-1.83,,
CC_3652,P58122,RS16_CAUCR,-1.55,-3.34,,
CC_1572,Q9A7Z5,ATE_CAUCR,,1.58,,
CC_1986,Q9A6U7,Q9A6U7_CAUCR,1.55,1.55,,
CC_2104,Q9A6J0,Q9A6J0_CAUCR,,1.47,,
CC_2468,Q9A5H9,Q9A5H9_CAUCR,,,2.97,2.22
CC_2539,Q9A5B1,Q9A5B1_CAUCR,,,1.01,
CC_2746,Q9A4T4,Q9A4T4_CAUCR,1.37,1.7,,
CC_2840,Q9A4J1,Q9A4J1_CAUCR,1.25,,,
CC_3287,Q9A3B7,Q9A3B7_CAUCR,,2.14,,
CC_3584,Q9A2H7,Q9A2H7_CAUCR,,,1.81,2.09
CC_3672,Q9A294,Q9A294_CAUCR,,1.7,,
CC_3702,Q9A264,Q9A264_CAUCR,,1.4,,
CC_0010,P20442,DNAK_CAUCR,-1.27,-1.51,-1.25,-1.06
CC_0011,P22305,DNAJ_CAUCR,-1.7,-2.19,,
CC_0685,P0CAT9,CH60_CAUCR,-2.22,-2.58,-1.84,-1.79
CC_0686,P0CAU0,CH10_CAUCR,-2.21,-2.82,,
CC_1268,Q9A8T3,Q9A8T3_CAUCR,-1.25,-1.88,,
CC_1476,Q9A887,Q9A887_CAUCR,-1.34,-1.59,,
CC_1582,Q9A7Y7,Q9A7Y7_CAUCR,,-1.35,,
CC_1885,Q9A741,LFTR_CAUCR,,-1.47,,
CC_1964,P0CAX0,TIG_CAUCR,,-1.59,-1.52,-1.4
CC_1991,Q9A6U2,Q9A6U2_CAUCR,,-1.25,,
CC_1992,Q9A6U1,Q9A6U1_CAUCR,,-1.37,,
CC_2258,Q9A637,Q9A637_CAUCR,,-1.52,,
CC_3679,Q9A287,Q9A287_CAUCR,-1.4,-1.58,,
CC_3731,Q9A235,Q9A235_CAUCR,,1.31,,
CC_0034,Q9AC32,PNP_CAUCR,,-1.41,-1.45,-1.65
CC_0044,Q9AC23,Q9AC23_CAUCR,,,,-1.55
CC_0502,Q9AAU2,RPOB_CAUCR,,-1.54,,-1.55
CC_0503,Q9AAU1,RPOC_CAUCR,,-1.51,,
CC_0835,Q9A9X6,Q9A9X6_CAUCR,-1.55,-2.2,,
CC_1272,Q9A8S9,RPOA_CAUCR,,-1.84,-1.09,
CC_1580,Q9A7Y8,Q9A7Y8_CAUCR,,,-1.21,-1.43
CC_1665,Q9A7Q5,Q9A7Q5_CAUCR,-1.14,,,
CC_1847,Q9A779,Q9A779_CAUCR,,-1.44,,
CC_1877,Q9A749,Q9A749_CAUCR,,-1.41,,
CC_3205,Q9A3J9,Q9A3J9_CAUCR,,-1.59,,
CC_3760,Q9A211,Q9A211_CAUCR,-1.52,-2.15,,
CC_0081,Q9ABY9,Q9ABY9_CAUCR,,1.45,,
CC_0284,Q9ABE4,Q9ABE4_CAUCR,,2.23,,
CC_1649,Q9A7S1,Q9A7S1_CAUCR,,1.52,,
CC_2576,Q9A581,Q9A581_CAUCR,1.31,2.11,,
CC_2883,Q9A4F1,Q9A4F1_CAUCR,2.25,2.58,,
CC_3475,Q9A2T1,Q9A2T1_CAUCR,1.2,1.57,,
CC_3476,Q9A2T0,Q9A2T0_CAUCR,,1.23,,
CC_3477,Q9A2S9,Q9A2S9_CAUCR,,1.25,1.81,3.21
CC_3596,Q9A2G7,Q9A2G7_CAUCR,,1.82,,
CC_0294,Q9ABD5,Q9ABD5_CAUCR,-1.73,-1.54,,
CC_1339,Q9A8L4,Q9A8L4_CAUCR,,-1.81,,
CC_1776,Q9A7E7,Q9A7E7_CAUCR,-2.99,,,
CC_1968,Q9A6W4,Q9A6W4_CAUCR,-1.45,-2.04,,
CC_2527,Q9A5C3,Q9A5C3_CAUCR,,-1.11,,
CC_3047,P52324,RPOD_CAUCR,,-1.27,,
CC_3623,Q9A2E2,Q9A2E2_CAUCR,-1.12,,,
CC_0074,Q9ABZ6,Q9ABZ6_CAUCR,,1.25,,
CC_0125,Q9ABU5,Q9ABU5_CAUCR,,1.71,,
CC_0127,Q9ABU3,Q9ABU3_CAUCR,,1.43,,
CC_0128,Q9ABU2,Q9ABU2_CAUCR,,1.4,,
CC_0280,Q9ABE8,Q9ABE8_CAUCR,2.05,2.35,,
CC_0501,Q9AAU3,Q9AAU3_CAUCR,,1.77,,
CC_0512,Q9AAT2,Q9AAT2_CAUCR,,1.28,,
CC_0550,Q9AAP6,Q9AAP6_CAUCR,,1.95,,
CC_0554,Q9AAP3,Q9AAP3_CAUCR,1.54,2.1,,
CC_0555,Q9AAP2,Q9AAP2_CAUCR,1.29,,,
CC_0556,Q9AAP1,Q9AAP1_CAUCR,1.25,1.85,,
CC_0558,Q9AAN9,Q9AAN9_CAUCR,1.58,1.94,,
CC_0559,Q9AAN8,Q9AAN8_CAUCR,1.43,2.02,,
CC_0673,Q9AAC9,Y673_CAUCR,2.18,,,
CC_0681,Q9AAC1,Q9AAC1_CAUCR,2,1.99,,
CC_0682,Q9AAC0,Q9AAC0_CAUCR,3.11,3.83,,
CC_0697,Q9AAA9,Q9AAA9_CAUCR,,1.58,,
CC_0698,Q9AAA8,Q9AAA8_CAUCR,,1.8,,
CC_0781,Q9AA27,Q9AA27_CAUCR,,1.85,,
CC_0956,Q9A9M2,Q9A9M2_CAUCR,2.91,3.15,,
CC_1115,Q9A979,Q9A979_CAUCR,,,1.28,1.89
CC_1179,Q9A915,Q9A915_CAUCR,2.71,2.78,,
CC_1453,Q9A8A1,Q9A8A1_CAUCR,2.38,2.54,,
CC_1532,Q9A832,Q9A832_CAUCR,4.75,4.13,,
CC_1629,Q9A7U1,Q9A7U1_CAUCR,3.22,2.11,3.32,
CC_1631,Q9A7T9,Q9A7T9_CAUCR,3.29,,,
CC_1633,Q9A7T7,Q9A7T7_CAUCR,3.5,2.35,,
CC_1636,Q9A7T4,Q9A7T4_CAUCR,1.58,1.59,,
CC_1650,Q9A7S0,Q9A7S0_CAUCR,,1.28,,
CC_1713,Q9A7K9,Q9A7K9_CAUCR,,1.54,,
CC_1848,Q9A778,Q9A778_CAUCR,,2.83,,
CC_2026,Q9A6Q8,Q9A6Q8_CAUCR,,1.34,,
CC_2030,Q9A6Q4,Q9A6Q4_CAUCR,,1.84,,
CC_2031,Q9A6Q3,Q9A6Q3_CAUCR,1.29,2.08,,
CC_2067,Q9A6M6,Q9A6M6_CAUCR,1.45,2.21,,
CC_2111,Q9A6I3,Q9A6I3_CAUCR,,1.97,,
CC_2122,Q9A6H2,Q9A6H2_CAUCR,,1.41,2.11,1.95
CC_2348,Q9A5U9,Q9A5U9_CAUCR,3.98,5.29,,
CC_2362,Q9A5T5,Q9A5T5_CAUCR,,,1.22,1.25
CC_2365,Q9A5T2,Q9A5T2_CAUCR,1.27,1.55,,
CC_2435,Q9A5L2,Q9A5L2_CAUCR,1.95,3.72,,
CC_2549,Q9A5A3,Q9A5A3_CAUCR,2.87,3.05,,
CC_2589,Q9A573,Q9A573_CAUCR,,1.25,,
CC_2626,Q9A539,Q9A539_CAUCR,2.03,3.08,,
CC_2645,Q9A524,Q9A524_CAUCR,1.55,2.78,,
CC_2676,Q9A4Z5,Q9A4Z5_CAUCR,,1.77,,
CC_2678,Q9A4Z3,Q9A4Z3_CAUCR,,1.52,,
CC_2745,Q9A4T5,Q9A4T5_CAUCR,1.91,2.23,,
CC_2823,Q9A4K8,Q9A4K8_CAUCR,,,,1.71
CC_2914,Q9A4C2,Q9A4C2_CAUCR,,1.55,,
CC_2964,Q9A479,Q9A479_CAUCR,,1.45,,
CC_2965,Q9A478,Y2965_CAUCR,1.47,1.85,,
CC_3178,P58114,Y3178_CAUCR,,1.57,,
CC_3207,Q9A3J7,Q9A3J7_CAUCR,1.9,2.95,,
CC_3260,Q9A3E4,Q9A3E4_CAUCR,1.84,2.51,,
CC_3265,Q9A3D9,Q9A3D9_CAUCR,,1.24,,
CC_3291,Q9A3B3,Q9A3B3_CAUCR,4.55,4.95,,
CC_3294,Q9A3B0,Q9A3B0_CAUCR,,1.53,,
CC_3335,Q9A371,Q9A371_CAUCR,3.33,4.34,,
CC_3374,Q9A332,Q9A332_CAUCR,1.33,1.31,,
CC_3375,Q9A331,Q9A331_CAUCR,,1.39,,
CC_3455,Q9A2V1,Q9A2V1_CAUCR,,1.9,,
CC_3457,Q9A2U9,Q9A2U9_CAUCR,,1.22,,
CC_3466,Q9A2U0,Q9A2U0_CAUCR,3.47,3.55,4.57,3.51
